fips,year,county,state_abbr,boom_onset_score,preboom_prior_momentum_rank_pct,total_population
33003,2025,Carroll,NH,0.9136113025499656,0.47118202539889287,52580.0
36045,2025,Jefferson,NY,0.9134045485871812,0.6418104851839792,113140.0
32005,2025,Douglas,NV,0.892143349414197,0.2591989579941387,49564.0
56033,2025,Sheridan,WY,0.8855272226050998,0.4760664278736568,32978.0
02020,2025,Anchorage,AK,0.8824259131633356,0.5835232823184631,289600.0
29213,2025,Taney,MO,0.8816333563059959,0.19667860631716053,56744.0
35015,2025,Eddy,NM,0.8708476912474156,0.16574405731032238,61436.0
55109,2025,Saint Croix,WI,0.8694004135079254,0.5014653207424292,97954.0
47113,2025,Madison,TN,0.8684355616815989,0.3083686095734289,100409.0
13095,2025,Dougherty,GA,0.8600964851826326,0.2575708238358841,82418.0
45003,2025,Aiken,SC,0.8483459682977257,0.3298599804623901,179245.0
49051,2025,Wasatch,UT,0.8451068228807719,0.34190817323347444,37858.0
37191,2025,Wayne,NC,0.8417987594762233,0.3272549658091827,120338.0
37065,2025,Edgecombe,NC,0.8400758097863543,0.31520677303809835,49124.0
18089,2025,Lake,IN,0.8398345968297726,0.5721263432106806,502955.0
25001,2025,Barnstable,MA,0.8392832529290144,0.6229241289482254,232570.0
32023,2025,Nye,NV,0.8385940730530669,0.3041354607619668,55990.0
49043,2025,Summit,UT,0.8367677463818056,0.33051123412569194,43109.0
37085,2025,Harnett,NC,0.8355961405926948,0.5639856724194073,146096.0
42089,2025,Monroe,PA,0.8243969676085457,0.41061543471182027,166523.0
24017,2025,Charles,MD,0.8228463128876637,0.38717030283295345,174478.0
30081,2025,Ravalli,MT,0.8223638869745005,0.32367307066102247,48187.0
37127,2025,Nash,NC,0.8209855272226051,0.42364050797785735,97990.0
30029,2025,Flathead,MT,0.8205720192970365,0.2702702702702703,114527.0
12127,2025,Volusia,FL,0.8171950379048931,0.11592315206773038,602772.0
02110,2025,Juneau,AK,0.817091660923501,0.4457831325301205,31572.0
49021,2025,Iron,UT,0.8142315644383183,0.3174861608596548,65936.0
56021,2025,Laramie,WY,0.8141281874569263,0.4656463692608271,101783.0
01097,2025,Mobile,AL,0.8137146795313577,0.3741452295669163,412339.0
06055,2025,Napa,CA,0.8129910406616127,0.18723542819928363,132727.0
15009,2025,Maui,HI,0.8115093039283254,0.20058612829697167,163688.0
13111,2025,Fannin,GA,0.8082701585113714,0.2289156626506024,25854.0
54061,2025,Monongalia,WV,0.8079255685733976,0.40117225659394334,108697.0
12009,2025,Brevard,FL,0.8051343900758099,0.12145880820579616,658447.0
45085,2025,Sumter,SC,0.8041006202618883,0.4448062520351677,104776.0
22073,2025,Ouachita,LA,0.8040317022742937,0.2103549332464995,157874.0
12091,2025,Okaloosa,FL,0.8037560303239145,0.13318137414522957,220483.0
12083,2025,Marion,FL,0.8029979324603722,0.1263432106805601,428905.0
49053,2025,Washington,UT,0.8029290144727774,0.23380006512536633,207943.0
49045,2025,Tooele,UT,0.8018952446588561,0.3064148485835233,84488.0
32031,2025,Washoe,NV,0.8006202618883528,0.30934549006838163,507280.0
12105,2025,Polk,FL,0.8004479669193658,0.11169000325626832,852878.0
21199,2025,Pulaski,KY,0.7996209510682288,0.1973298599804624,66842.0
50027,2025,Windsor,VT,0.7965885596140592,0.4220123738196027,57697.0
15001,2025,Hawaii,HI,0.7964162646450724,0.181048518397916,209790.0
02122,2025,Kenai Peninsula,AK,0.7941419710544453,0.3096711169000326,61259.0
24047,2025,Worcester,MD,0.7921088904203997,0.3373493975903614,54337.0
29097,2025,Jasper,MO,0.7914886285320468,0.6434386193422338,126479.0
05119,2025,Pulaski,AR,0.7883184011026877,0.39400846629762293,401209.0
28045,2025,Hancock,MS,0.7881805651274982,0.17942038423966133,46492.0
