fips,county_name,year,sec_point_in_time_hq_company_count,sec_point_in_time_hq_filing_count,sec_point_in_time_hq_companies,sec_point_in_time_hq_tickers,sec_point_in_time_hq_ciks,sec_point_in_time_hq_source_queue_rows,sec_point_in_time_hq_mean_geocode_confidence,candidate_status,production_change_allowed
08031,"Denver County, Colorado",2012,1,1,BARFRESH FOOD GROUP INC.,BRFH,0001487197,sec_pit_0039,0.92,report_only_candidate_pending_source_maturity_gate,False
08069,"Larimer County, Colorado",2012,1,1,ADVANCED ENERGY INDUSTRIES INC,AEIS,0000927003,sec_pit_0004,0.95,report_only_candidate_pending_source_maturity_gate,False
09001,"Fairfield County, Connecticut",2012,1,1,FUELCELL ENERGY INC,FCEL,0000886128,sec_pit_0178,0.88,report_only_candidate_pending_source_maturity_gate,False
09190,Western Connecticut Planning Region,2012,1,1,"Chefs' Warehouse, Inc.",CHEF,0001517175,sec_pit_0088,1.0,report_only_candidate_pending_source_maturity_gate,False
29189,"St. Louis County, Missouri",2012,1,1,BUILD-A-BEAR WORKSHOP INC,BBW,0001113809,sec_pit_0047,0.92,report_only_candidate_pending_source_maturity_gate,False
47065,Hamilton County,2012,1,1,"COVENANT LOGISTICS GROUP, INC.",CVLG,0000928658,sec_pit_0082,1.0,report_only_candidate_pending_source_maturity_gate,False
47187,"Williamson County, Tennessee",2012,1,1,"Delek Logistics Partners, LP",DKL,0001552797,sec_pit_0327,0.74,report_only_candidate_pending_source_maturity_gate,False
48113,"Dallas County, Texas",2012,1,1,Energy Transfer LP,ET,0001276187,sec_pit_0154,0.92,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2012,1,1,GENESIS ENERGY LP,GEL,0001022321,sec_pit_0397,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,"Harris County, Texas",2012,2,2,"FORUM ENERGY TECHNOLOGIES, INC.; Amplify Energy Corp.",FET; AMPY,0001401257; 0001533924,sec_pit_0374; sec_pit_0229,0.9,report_only_candidate_pending_source_maturity_gate,False
06097,"Sonoma County, California",2013,1,1,"Enphase Energy, Inc.",ENPH,0001463101,sec_pit_0159,0.92,report_only_candidate_pending_source_maturity_gate,False
13275,Thomas County,2013,1,1,FLOWERS FOODS INC,FLO,0001128928,sec_pit_0372,1.0,report_only_candidate_pending_source_maturity_gate,False
29189,"St. Louis County, Missouri",2013,1,1,BUILD-A-BEAR WORKSHOP INC,BBW,0001113809,sec_pit_0048,0.92,report_only_candidate_pending_source_maturity_gate,False
36061,New York County,2013,1,2,ClearBridge Energy Midstream Opportunity Fund Inc.,EMO,0001517518,sec_pit_0296; sec_pit_0297,1.0,report_only_candidate_pending_source_maturity_gate,False
47187,Williamson County,2013,1,1,TRACTOR SUPPLY CO /DE/,TSCO,0000916365,sec_pit_0405,1.0,report_only_candidate_pending_source_maturity_gate,False
47187,"Williamson County, Tennessee",2013,1,1,"Delek Logistics Partners, LP",DKL,0001552797,sec_pit_0132,0.74,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2013,2,2,GENESIS ENERGY LP; Chord Energy Corp,GEL; CHRD,0001022321; 0001486159,sec_pit_0188; sec_pit_0094,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,"Harris County, Texas",2013,2,2,"FORUM ENERGY TECHNOLOGIES, INC.; Amplify Energy Corp.",FET; AMPY,0001401257; 0001533924,sec_pit_0173; sec_pit_0030,0.9,report_only_candidate_pending_source_maturity_gate,False
55025,Dane County,2013,1,1,ALLIANT ENERGY CORP,LNT,0000352541,sec_pit_0214,1.0,report_only_candidate_pending_source_maturity_gate,False
05143,"Washington County, Arkansas",2014,1,2,"TYSON FOODS, INC.",TSN,0000100493,sec_pit_0407; sec_pit_0198,0.88,report_only_candidate_pending_source_maturity_gate,False
08059,Jefferson County,2014,1,1,ENERGY FUELS INC,UUUU,0001385849,sec_pit_0144,1.0,report_only_candidate_pending_source_maturity_gate,False
13275,Thomas County,2014,1,1,FLOWERS FOODS INC,FLO,0001128928,sec_pit_0171,1.0,report_only_candidate_pending_source_maturity_gate,False
25013,Hampden County,2014,1,1,EVERSOURCE ENERGY,ES,0000072741,sec_pit_0341,1.0,report_only_candidate_pending_source_maturity_gate,False
36061,New York County,2014,1,1,ClearBridge Energy Midstream Opportunity Fund Inc.,EMO,0001517518,sec_pit_0298,1.0,report_only_candidate_pending_source_maturity_gate,False
40109,"Oklahoma County, Oklahoma",2014,1,1,DEVON ENERGY CORP/DE,DVN,0001090012,sec_pit_0119,0.92,report_only_candidate_pending_source_maturity_gate,False
47037,Davidson County,2014,1,1,DOLLAR GENERAL CORP,DG,0000029534,sec_pit_0121,1.0,report_only_candidate_pending_source_maturity_gate,False
47187,Williamson County,2014,1,1,TRACTOR SUPPLY CO /DE/,TSCO,0000916365,sec_pit_0196,1.0,report_only_candidate_pending_source_maturity_gate,False
48113,Dallas County,2014,1,1,ATMOS ENERGY CORP,ATO,0000731802,sec_pit_0021,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2014,1,1,Chord Energy Corp,CHRD,0001486159,sec_pit_0095,1.0,report_only_candidate_pending_source_maturity_gate,False
55025,Dane County,2014,1,1,ALLIANT ENERGY CORP,LNT,0000352541,sec_pit_0013,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2015,1,2,Apple Inc.,AAPL,0000320193,sec_pit_0231; sec_pit_0032,0.98,report_only_candidate_pending_source_maturity_gate,False
25013,Hampden County,2015,1,1,EVERSOURCE ENERGY,ES,0000072741,sec_pit_0146,1.0,report_only_candidate_pending_source_maturity_gate,False
26075,Jackson County,2015,1,1,CMS ENERGY CORP,CMS,0000811156,sec_pit_0076,0.98,report_only_candidate_pending_source_maturity_gate,False
47037,Davidson County,2015,1,1,DOLLAR GENERAL CORP,DG,0000029534,sec_pit_0122,1.0,report_only_candidate_pending_source_maturity_gate,False
47059,"Greene County, Tennessee",2015,1,1,FORWARD AIR CORP,FWRD,0000912728,sec_pit_0175,0.92,report_only_candidate_pending_source_maturity_gate,False
47157,Shelby County,2015,1,2,FEDEX CORP,FDX,0001048911,sec_pit_0370; sec_pit_0169,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2015,2,2,"Cheniere Energy, Inc.; CENTERPOINT ENERGY INC",LNG; CNP,0000003570; 0001130310,sec_pit_0287; sec_pit_0070,1.0,report_only_candidate_pending_source_maturity_gate,False
34021,Mercer County,2016,1,1,"Clearway Energy, Inc.",CWEN,0001567683,sec_pit_0300,1.0,report_only_candidate_pending_source_maturity_gate,False
40109,"Oklahoma County, Oklahoma",2016,1,1,EXPAND ENERGY Corp,EXE,0000895126,sec_pit_0148,0.92,report_only_candidate_pending_source_maturity_gate,False
42077,"Lehigh County, Pennsylvania",2016,1,1,"Air Products & Chemicals, Inc.",APD,0000002969,sec_pit_0227,0.88,report_only_candidate_pending_source_maturity_gate,False
47059,"Greene County, Tennessee",2016,1,1,FORWARD AIR CORP,FWRD,0000912728,sec_pit_0176,0.92,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2016,1,1,"Cheniere Energy, Inc.",LNG,0000003570,sec_pit_0092,1.0,report_only_candidate_pending_source_maturity_gate,False
48329,Midland County,2016,1,1,"Diamondback Energy, Inc.",FANG,0001539838,sec_pit_0329,1.0,report_only_candidate_pending_source_maturity_gate,False
53033,King County,2016,1,1,"ALASKA AIR GROUP, INC.",ALK,0000766421,sec_pit_0212,0.95,report_only_candidate_pending_source_maturity_gate,False
05007,Benton County,2017,1,1,HUNT J B TRANSPORT SERVICES INC,JBHT,0000728535,sec_pit_0399,1.0,report_only_candidate_pending_source_maturity_gate,False
16001,Ada County,2017,1,2,MICRON TECHNOLOGY INC,MU,0000723125,sec_pit_0401; sec_pit_0192,1.0,report_only_candidate_pending_source_maturity_gate,False
34021,Mercer County,2017,1,1,"Clearway Energy, Inc.",CWEN,0001567683,sec_pit_0103,1.0,report_only_candidate_pending_source_maturity_gate,False
47157,Shelby County,2017,1,1,AUTOZONE INC,AZO,0000866787,sec_pit_0025,1.0,report_only_candidate_pending_source_maturity_gate,False
