source_lane,review_issue,review_priority,fips,state_abbr,county_name,source_id,source_name,source_year,detail,recommended_action
CMS/HCRIS,missing_net_patient_revenue,medium,45045,SC,"Greenville County, South Carolina",429801,PRISMA HEALTH UPSTATE,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,11001,DC,District of Columbia,094001,ST. ELIZABETHS HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,48085,TX,"Collin County, Texas",453317,COOK CHILDREN CARE,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,54039,WV,"Kanawha County, West Virginia",510022,CHARLESTON AREA MEDICAL CENTER  INC.,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,09009,CT,"New Haven County, Connecticut",074016,MASONICARE HEALTH CARE,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,49011,UT,"Davis County, Utah",462003,WESTERN PEAKS SPECIALTY HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,72081,PR,Lares Muno,400010,CASTANER HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,51810,VA,"Virginia Beach city, Virginia",494025,VIRGINIA BEACH PSYCHIATRIC CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40115,OK,"Ottawa County, Oklahoma",374017,WILLOW CREST HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,06071,CA,"San Bernardino County, California",053038,TOTALLY KIDS REHABILITATION HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,34005,NJ,"Burlington County, New Jersey",313302,WEISMAN CHILDRENS REHAB HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,72025,PR,Caguas Muno,400120,HOSPITAL HIMA SAN PABLO CAGUAS,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,29189,MO,"St. Louis County, Missouri",263304,SHRINERS HOSPITAL FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,72127,PR,San Juan Muno,400134,SAN JORGE CHILDRENS & WOMEN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,45045,SC,"Greenville County, South Carolina",423300,SHRINERS HOSPITAL FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,20115,KS,"Marion County, Kansas",171357,HILLSBORO COMMUNITY HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,29077,MO,"Greene County, Missouri",264033,SPRINGFIELD BEHAVIORAL HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40143,OK,"Tulsa County, Oklahoma",374012,BROOKHAVEN MEADOWBROOK HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,36097,NY,"Schuyler County, New York",331313,SCHUYLER HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,05035,AR,"Crittenden County, Arkansas",044021,WOODRIDGE OF WEST MEMPHIS LLC,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40079,OK,"Le Flore County, Oklahoma",370172,CHOCTAW NATION HEALTH CARE CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,12086,FL,"Miami-Dade County, Florida",103301,NICKLAUS CHILDRENS HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,39113,OH,"Montgomery County, Ohio",363308,SHRINERS HOSPITALS FOR CHILDREN - C,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,41005,OR,"Clackamas County, Oregon",380091,KAISER SUNNYSIDE MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,41067,OR,"Washington County, Oregon",380103,KAISER WESTSIDE MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,02050,AK,"Bethel Census Area, Alaska",020018,YK DELTA REGIONAL HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,28099,MS,"Neshoba County, Mississippi",250127,CHOCTAW HEALTH CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,35031,NM,"McKinley County, New Mexico",320062,CROWNPOINT INDIAN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,37173,NC,"Swain County, North Carolina",340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40131,OK,"Rogers County, Oklahoma",370173,CLAREMORE INDIAN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,46113,SD,Shannon County,430098,PINE RIDGE HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,04001,AZ,"Apache County, Arizona",030071,FORT DEFIANCE INDIAN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,04017,AZ,"Navajo County, Arizona",030113,USPHS HOSPITAL-WHITERIVER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,35031,NM,"McKinley County, New Mexico",320060,ZUNI COMPREHENSIVE HEALTH CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40021,OK,"Cherokee County, Oklahoma",370171,CHEROKEE NATION WW HASTINGS HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,46121,SD,"Todd County, South Dakota",430084,USPHS HOSPITAL - ROSEBUD,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,04013,AZ,"Maricopa County, Arizona",030078,PHOENIX INDIAN MEDICAL CENTER,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,01055,AL,"Etowah County, Alabama",014006,MOUNTAIN VIEW HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,04017,AZ,"Navajo County, Arizona",030084,CHINLE COMPREHENSIVE CARE FACILITY,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,06073,CA,"San Diego County, California",051990,SUNLAND HOME FOUNDATION,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,30035,MT,"Glacier County, Montana",270074,BLACKFEET COMMUNITY HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,38079,ND,"Rolette County, North Dakota",350063,QUENTIN N BURDICK MEMORIAL HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,39035,OH,"Cuyahoga County, Ohio",363304,CHILDRENS HOSPITAL FOR REHABILITATI,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,40031,OK,"Comanche County, Oklahoma",370170,LAWTON INDIAN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
