batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
173033__2023__266,"427 W MAIN STREET, GARDNER, KS, 66030",Match,Exact,"427 W MAIN ST, GARDNER, KS, 66030","-94.938640753555,38.810594560445",-94.938640753555,38.810594560445,91331638,R,20,091,20091,053709,1023,12
453314__2023__132,"2222 WELBORN STREET, DALLAS, TX, 75219",Match,Exact,"2222 WELBORN ST, DALLAS, TX, 75219","-96.81481425743,32.801966927069",-96.81481425743,32.801966927069,102908614,R,48,113,48113,000502,2020,12
054089__2024__072,"302 SILVER AVENUE, SAN FRANCISCO, CA, 94112",No_Match,,,,,,,,,,,,,3
220019__2023__218,"100 SOUTH STREET, SOUTHBRIDGE, MA, 01550",Match,Exact,"100 SOUTH ST, SOUTHBRIDGE, MA, 01550","-72.042868676532,42.077128895294",-72.042868676532,42.077128895294,40001341,L,25,027,25027,757300,1000,12
321307__2024__313,"200 HOSPITAL DRIVE, RATON, NM, 87740",Match,Exact,"200 HOSPITAL DR, RATON, NM, 87740","-104.443238989941,36.863532546322",-104.443238989941,36.863532546322,171187394,R,35,007,35007,950600,5173,12
190116__2024__092,"323 W. WALNUT STREET, BASTROP, LA, 71121",Match,Non_Exact,"323 W WALNUT AVE, BASTROP, LA, 71220","-91.917089076772,32.77522776495",-91.917089076772,32.77522776495,75378890,R,22,067,22067,950800,1019,12
114036__2023__052,"2209 PINEVIEW DRIVE, VALDOSTA, GA, 31602",Match,Exact,"2209 PINEVIEW DR, VALDOSTA, GA, 31602","-83.264603344955,30.865489211283",-83.264603344955,30.865489211283,87736098,R,13,185,13185,010403,1002,12
370113__2024__283,"1001 EAST 18TH STREET, GROVE, OK, 74344",No_Match,,,,,,,,,,,,,3
230071__2023__097,"23901 LAHSER ROAD, SOUTHFIELD, MI, 48033",Match,Exact,"23901 LAHSER RD, SOUTHFIELD, MI, 48033","-83.260448602234,42.464494865939",-83.260448602234,42.464494865939,69732690,L,26,125,26125,161800,3006,12
020001__2023__001,"3200 PROVIDENCE DRIVE, ANCHORAGE, AK, 99519",Match,Non_Exact,"3200 PROVIDENCE DR, ANCHORAGE, AK, 99508","-149.818933193942,61.18978905174",-149.818933193942,61.18978905174,638504877,R,02,020,02020,001602,1015,12
190079__2024__267,"1057 PAUL MALLARD ROAD, LULING, LA, 70070",Match,Non_Exact,"1057 PAUL MAILLARD RD, LULING, LA, 70070","-90.371812446585,29.924284952981",-90.371812446585,29.924284952981,640238669,R,22,089,22089,062900,2019,12
060027__2023__181,"4747 ARAPAHOE AVENUE, BOULDER, CO, 80303",Match,Exact,"4747 ARAPAHOE AVE, BOULDER, CO, 80303","-105.23960904924,40.014804526432",-105.23960904924,40.014804526432,220750879,L,08,013,08013,012208,2037,12
334065__2024__371,"1010 EAST AND WEST ROAD, WEST SENECA, NY, 14224",Match,Exact,"1010 E AND WEST RD, WEST SENECA, NY, 14224","-78.734755848432,42.820356829563",-78.734755848432,42.820356829563,48320949,L,36,029,36029,017302,2019,12
404004__2023__389,"STATE ROAD, CIDRA, PR, 00739",No_Match,,,,,,,,,,,,,3
404004__2023__388,"STATE ROAD #787, CIDRA, PR, 00739",No_Match,,,,,,,,,,,,,3
480001__2023__398,"9048 SUGAR ESTATE, ST. THOMAS, VI, 00801",No_Match,,,,,,,,,,,,,3
010158__2023__269,"15155 HIGHWAY 43, RUSSELLVILLE, AL, 35653",No_Match,,,,,,,,,,,,,3
450880__2023__071,"1800 PARK PLACE AVENUE, FORT WORTH, TX, 76110",Match,Exact,"1800 PARK PLACE AVE, FORT WORTH, TX, 76110","-97.346101784974,32.725849284909",-97.346101784974,32.725849284909,101885395,R,48,439,48439,123700,5000,12
490009__2024__019,"855 WEST MAIN STREET, CHARLOTTESVILLE, VA, 22908",Match,Non_Exact,"855 W MAIN ST, CHARLOTTESVILLE, VA, 22903","-78.492770917802,38.032212843899",-78.492770917802,38.032212843899,640868216,R,51,540,51540,000202,1014,12
390117__2024__292,"10455 LINCOLN HIGHWAY, EVERETT, PA, 15537",No_Match,,,,,,,,,,,,,3
230180__2024__264,"703 N. MCEWAN STREET, CLARE, MI, 48617",Match,Exact,"703 N MCEWAN ST, CLARE, MI, 48617","-84.768453891366,43.820634507795",-84.768453891366,43.820634507795,110377458,L,26,035,26035,000600,3030,12
053308__2024__112,"393 EAST TUSTIN STREET, ORANGE, CA, 92866",Match,Non_Exact,"393 S TUSTIN ST, ORANGE, CA, 92866","-117.835663467337,33.782275196522",-117.835663467337,33.782275196522,653200060,L,06,059,06059,075806,3000,12
394040__2024__403,"1 EARLYSTOWN RD, CENTRE HALL, PA, 16828",No_Match,,,,,,,,,,,,,3
404007__2023__420,"CALLE MUNOZ RIVERA 108, CABO ROJO, PR, 00623",Match,Non_Exact,"108 CLL MUNOZ RIVERA, CABO ROJO, PR, 00623","-67.144264490982,18.080326611583",-67.144264490982,18.080326611583,205846695,R,72,023,72023,830400,4023,12
213300__2024__119,"1708 WEST ROGERS AVENUE, BALTIMORE, MD, 21209",Match,Exact,"1708 W ROGERS AVE, BALTIMORE, MD, 21209","-76.653512670113,39.362151954069",-76.653512670113,39.362151954069,206431990,R,24,510,24510,271501,4008,12
113034__2023__085,"1165 SANDERS ROAD, CUMMING, GA, 30041",Match,Exact,"1165 SANDERS RD, CUMMING, GA, 30041","-84.128542581893,34.179713086381",-84.128542581893,34.179713086381,656510915,R,13,117,13117,130509,1026,12
400122__2024__418,"AVE LAS CUMBRES, GUAYNABO, PR, 00970",No_Match,,,,,,,,,,,,,3
034034__2023__062,"17300 NORTH DYSART ROAD, SURPRISE, AZ, 85378",Match,Exact,"17300 N DYSART RD, SURPRISE, AZ, 85378","-112.342237233121,33.64056799015",-112.342237233121,33.64056799015,657344058,R,04,013,04013,040507,5026,12
660001__2023__409,"LOWER NAVY HILL RD, SAIPAN, MP, 96950",No_Match,,,,,,,,,,,,,3
030016__2023__210,"1800 EAST, CASA GRANDE, AZ, 85122",No_Match,,,,,,,,,,,,,3
070017__2023__184,"435 LEWIS AVENUE, MERIDEN, CT, 06451",Match,Exact,"435 LEWIS AVE, MERIDEN, CT, 06451","-72.803717905153,41.550123371467",-72.803717905153,41.550123371467,647246118,R,09,009,09009,171600,1003,12
