boundary_name,boundary_n,review_rows,inside_rows,inside_stable_rows,inside_watch_rows,inside_do_not_promote_rows,outside_rows,outside_watch_or_block_rows,inside_stable_share,max_inside_risk_points,dominant_inside_issue,top_inside_examples,gate_status,recommended_action
top_25,25,21,11,7,4,0,10,6,0.6363636363636364,2.0,interval_uncertainty,"#19 Lucas County, Ohio (watch); #22 Cambria County, Pennsylvania (watch); #23 Douglas County, Illinois (watch); #25 Williamson County, Illinois (watch); #18 Schuylkill County, Pennsylvania (stable)",operator_acceptance_only_watch_rows_open,Use as operator-review context only; watch rows need source/model review before any policy change.
top_50,50,25,13,5,6,2,12,7,0.38461538461538464,4.0,interval_uncertainty,"#39 Allegany County, New York (do_not_promote_boundary); #47 Lunenburg County, Virginia (do_not_promote_boundary); #43 Wood County, Wisconsin (watch); #50 Northumberland County, Pennsylvania (watch); #40 Wise County, Virginia (watch)",blocked_do_not_promote_inside_band,Do not use this rank band for promotion policy; reconcile do-not-promote boundary rows first.
top_100,100,41,21,6,7,8,20,19,0.2857142857142857,6.0,interval_uncertainty,"#92 Tolland County, Connecticut (do_not_promote_boundary); #96 Westmoreland County, Pennsylvania (do_not_promote_boundary); #86 Ogemaw County, Michigan (do_not_promote_boundary); #82 Mercer County, West Virginia (do_not_promote_boundary); #88 Parke County, Indiana (do_not_promote_boundary)",blocked_do_not_promote_inside_band,Do not use this rank band for promotion policy; reconcile do-not-promote boundary rows first.
