external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
11,370056__2024,370056,2024,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 W GORE,LAWTON,OK,73502,"3401 W GORE, LAWTON, OK, 73502",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.6132,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
12,190204__2023,190204,2023,OCHSNER MEDICAL CENTER -NORTHSHORE,100 MEDICAL CENTER DRIVE,SLIDELL,LA,70461,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.4042,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
13,210034__2024,210034,2024,MEDSTAR HARBOR HOSPITAL,3001 SOUTH HANOVER STREET,BALTIMORE,MD,21225,"3001 SOUTH HANOVER STREET, BALTIMORE, MD, 21225",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.4026,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
14,190054__2023,190054,2023,IBERIA MEDICAL CENTER,2315 W MAIN STREET,NEW IBERIA,LA,70562,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.3584,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
15,474001__2023,474001,2023,BRATTLEBORO RETREAT,ANNA MARSH LANE,BRATTLEBORO,VT,05302,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.3045,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
16,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,1530 NORWAY AVENUE,HUNTINGTON,WV,25706,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2964,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
17,054089__2024,054089,2024,JEWISH HOME FOR THE AGED,302 SILVER AVENUE,SAN FRANCISCO,CA,94112,"302 SILVER AVENUE, SAN FRANCISCO, CA, 94112",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2511,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
18,343025__2023,343025,2023,CAREPARTNERS REHAB HOSPITAL,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803,"68 SWEETEN CREEK ROAD, ASHEVILLE, NC, 28803",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1886,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
19,670112__2024,670112,2024,CUMBERLAND SURGICAL HOSPITAL,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,78249,"5330 NORTH LOOP 1604 WEST, SAN ANTONIO, TX, 78249",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1776,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
20,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,MD,21740,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1617,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
21,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,190044,CROWLEY,LA,70526,"190044, CROWLEY, LA, 70526",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1455,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
22,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,11595 BURNT MILL ROAD,JACKSONVILLE,FL,32256,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1347,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
23,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,1401 EAST TRINITY MILLS ROAD,CARROLLTON,TX,75007,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1117,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
24,054149__2024,054149,2024,WILLOW ROCK CENTER,22050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.0,hold,,,,official_census_geographies_batch_context_review,census_non_exact_street_number_zip_city_state,Held by strict Census context review: not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support.,codex_official_census_context_policy,2026-06-04T17:01:04.193568+00:00
