spotcheck_priority,spotcheck_reason,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,fips,county_name,geocode_confidence,address_key
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0127,DT Cloud Star Acquisition Corp,DTSQ,2026-03-25,10-K,0001493152-26-012695,"OFFICE 51, 10 FL, 31 HUDSON YARDS",NEW YORK,NY,10001,"OFFICE 51, 10 FL, 31 HUDSON YARDS",NEW YORK,NY,10001,36061,New York County,data/raw/sec_edgar_hq/filing_documents/CIK0002017950/000149315226012695/form10-k.htm,36061,New York County,0.95,"OFFICE 51, 10 FL, 31 HUDSON YARDS|NEW YORK|NY|10001"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0128,DTE ENERGY CO,DTE,2018-02-16,10-K,0000936340-18-000082,ONE ENERGY PLAZA,DETROIT,MI,48226,ONE ENERGY PLAZA,DETROIT,MI,48226,26163,Wayne County,data/raw/sec_edgar_hq/filing_documents/CIK0000936340/000093634018000082/dteenergy2017123110k.htm,26163,Wayne County,0.98,ONE ENERGY PLAZA|DETROIT|MI|48226
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0129,DTE ENERGY CO,DTE,2026-02-17,10-K,0000936340-26-000054,One Energy Plaza,Detroit,MI,48226-1221,ONE ENERGY PLAZA,DETROIT,MI,48226,26163,Wayne County,data/raw/sec_edgar_hq/filing_documents/CIK0000936340/000093634026000054/dte-20251231.htm,26163,Wayne County,0.98,ONE ENERGY PLAZA|DETROIT|MI|48226-1221
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0323,DTE ENERGY CO,DTE,2026-04-30,10-Q,0000936340-26-000081,One Energy Plaza,Detroit,MI,48226-1221,ONE ENERGY PLAZA,DETROIT,MI,48226,26163,Wayne County,data/raw/sec_edgar_hq/filing_documents/CIK0000936340/000093634026000081/dte-20260331.htm,26163,Wayne County,0.98,ONE ENERGY PLAZA|DETROIT|MI|48226-1221
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0324,DTE ENERGY CO,DTE,2026-05-15,8-K,0000936340-26-000119,One Energy Plaza,Detroit,MI,48226-1221,ONE ENERGY PLAZA,DETROIT,MI,48226,26163,Wayne County,data/raw/sec_edgar_hq/filing_documents/CIK0000936340/000093634026000119/dte-20260515.htm,26163,Wayne County,0.98,ONE ENERGY PLAZA|DETROIT|MI|48226-1221
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0133,"Delek Logistics Partners, LP",DKL,2026-02-27,10-K,0001628280-26-012666,"310 Seven Springs Way, Suite 500",Brentwood,TN,37027,310 SEVEN SPRINGS WAY SUITE 500,BRENTWOOD,TN,37027,47037,Davidson County,data/raw/sec_edgar_hq/filing_documents/CIK0001552797/000162828026012666/dkl-20251231.htm,47037,Davidson County,1.0,"310 SEVEN SPRINGS WAY, SUITE 500|BRENTWOOD|TN|37027"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0328,"Delek Logistics Partners, LP",DKL,2026-04-29,10-Q,0001628280-26-028277,"310 Seven Springs Way , Suite 500",Brentwood,TN,37027,310 SEVEN SPRINGS WAY SUITE 500,BRENTWOOD,TN,37027,47037,Davidson County,data/raw/sec_edgar_hq/filing_documents/CIK0001552797/000162828026028277/dkl-20260331.htm,47037,Davidson County,1.0,"310 SEVEN SPRINGS WAY , SUITE 500|BRENTWOOD|TN|37027"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0135,"Diamondback Energy, Inc.",FANG,2026-02-25,10-K,0001539838-26-000010,"500 West Texas Ave., Suite 100",Midland,TX,79701,500 WEST TEXAS AVENUE SUITE 100,MIDLAND,TX,79701,48329,Midland County,data/raw/sec_edgar_hq/filing_documents/CIK0001539838/000153983826000010/fang-20251231.htm,48329,Midland County,1.0,"500 WEST TEXAS AVE., SUITE 100|MIDLAND|TX|79701"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0330,"Diamondback Energy, Inc.",FANG,2026-05-06,10-Q,0001539838-26-000077,"500 West Texas Ave., Suite 100",Midland,TX,79701,500 WEST TEXAS AVENUE SUITE 100,MIDLAND,TX,79701,48329,Midland County,data/raw/sec_edgar_hq/filing_documents/CIK0001539838/000153983826000077/fang-20260331.htm,48329,Midland County,1.0,"500 WEST TEXAS AVE., SUITE 100|MIDLAND|TX|79701"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0332,Diversified Energy Co,DEC,2026-05-21,8-K,0001922446-26-000053,1600 Corporate Drive,BIRMINGHAM,AL,35242,1600 CORPORATE DRIVE,BIRMINGHAM,AL,35242,01117,Shelby County,data/raw/sec_edgar_hq/filing_documents/CIK0001922446/000192244626000053/dec-20260520.htm,01117,Shelby County,1.0,1600 CORPORATE DRIVE|BIRMINGHAM|AL|35242
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0141,Duke Energy CORP,DUK,2026-02-26,10-K,0001326160-26-000014,525 South Tryon Street,CHARLOTTE,NC,28202,525 SOUTH TRYON STREET,CHARLOTTE,NC,28202-1803,37119,Mecklenburg County,data/raw/sec_edgar_hq/filing_documents/CIK0001326160/000132616026000014/duk-20251231.htm,37119,Mecklenburg County,1.0,525 SOUTH TRYON STREET|CHARLOTTE|NC|28202
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0335,Duke Energy CORP,DUK,2026-05-05,10-Q,0001326160-26-000026,525 South Tryon Street,CHARLOTTE,NC,28202,525 SOUTH TRYON STREET,CHARLOTTE,NC,28202-1803,37119,Mecklenburg County,data/raw/sec_edgar_hq/filing_documents/CIK0001326160/000132616026000026/duk-20260331.htm,37119,Mecklenburg County,1.0,525 SOUTH TRYON STREET|CHARLOTTE|NC|28202
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0336,Duke Energy CORP,DUK,2026-05-13,8-K,0001104659-26-060251,525 South Tryon Street,CHARLOTTE,NC,28202,525 SOUTH TRYON STREET,CHARLOTTE,NC,28202-1803,37119,Mecklenburg County,data/raw/sec_edgar_hq/filing_documents/CIK0001326160/000110465926060251/tm2614506d1_8k.htm,37119,Mecklenburg County,1.0,525 SOUTH TRYON STREET|CHARLOTTE|NC|28202
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0143,"ENERGY FOCUS, INC/DE",EFOI,2026-03-24,10-K,0001628280-26-020697,"32000 Aurora Road , Suite B",Solon,OH,44139,32000 AURORA ROAD SUITE B,SOLON,OH,44139,39035,Cuyahoga County,data/raw/sec_edgar_hq/filing_documents/CIK0000924168/000162828026020697/efoi-20251231.htm,39035,Cuyahoga County,1.0,"32000 AURORA ROAD , SUITE B|SOLON|OH|44139"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0144,ENERGY FUELS INC,UUUU,2014-03-31,40-F,0001062993-14-001698,"225 Union Blvd., Suite 600",Lakewood,CO,80228,"225 UNION BLVD., SUITE 600",LAKEWOOD,CO,80228,08059,Jefferson County,data/raw/sec_edgar_hq/filing_documents/CIK0001385849/000106299314001698/form40f.htm,08059,Jefferson County,1.0,"225 UNION BLVD., SUITE 600|LAKEWOOD|CO|80228"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0145,ENERGY FUELS INC,UUUU,2026-02-26,10-K,0001385849-26-000009,"225 Union Blvd., Suite 600",Lakewood,CO,80228,"225 UNION BLVD., SUITE 600",LAKEWOOD,CO,80228,08059,Jefferson County,data/raw/sec_edgar_hq/filing_documents/CIK0001385849/000138584926000009/efr-20251231.htm,08059,Jefferson County,1.0,"225 UNION BLVD., SUITE 600|LAKEWOOD|CO|80228"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0339,ENERGY FUELS INC,UUUU,2026-05-06,10-Q,0001385849-26-000021,"225 Union Blvd., Suite 600",Lakewood,CO,80228,"225 UNION BLVD., SUITE 600",LAKEWOOD,CO,80228,08059,Jefferson County,data/raw/sec_edgar_hq/filing_documents/CIK0001385849/000138584926000021/efr-20260331.htm,08059,Jefferson County,1.0,"225 UNION BLVD., SUITE 600|LAKEWOOD|CO|80228"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0340,ENERGY FUELS INC,UUUU,2026-05-15,8-K,0001062993-26-002713,"225 UNION BLVD., SUITE 600",LAKEWOOD,CO,80228,"225 UNION BLVD., SUITE 600",LAKEWOOD,CO,80228,08059,Jefferson County,data/raw/sec_edgar_hq/filing_documents/CIK0001385849/000106299326002713/form8k.htm,08059,Jefferson County,1.0,"225 UNION BLVD., SUITE 600|LAKEWOOD|CO|80228"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0341,EVERSOURCE ENERGY,ES,2014-11-07,10-Q,0000072741-14-000064,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,25013,Hampden County,data/raw/sec_edgar_hq/filing_documents/CIK0000072741/000007274114000064/september302014form10qedgar.htm,25013,Hampden County,1.0,300 CADWELL DRIVE|SPRINGFIELD|MA|01104
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0146,EVERSOURCE ENERGY,ES,2015-02-25,10-K,0000072741-15-000013,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,25013,Hampden County,data/raw/sec_edgar_hq/filing_documents/CIK0000072741/000007274115000013/f2014form10kedgar.htm,25013,Hampden County,1.0,300 CADWELL DRIVE|SPRINGFIELD|MA|01104
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0147,EVERSOURCE ENERGY,ES,2026-02-17,10-K,0001628280-26-008461,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,25013,Hampden County,data/raw/sec_edgar_hq/filing_documents/CIK0000072741/000162828026008461/es-20251231.htm,25013,Hampden County,1.0,300 CADWELL DRIVE|SPRINGFIELD|MA|01104
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0342,EVERSOURCE ENERGY,ES,2026-05-07,10-Q,0001628280-26-032278,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,300 CADWELL DRIVE,SPRINGFIELD,MA,01104,25013,Hampden County,data/raw/sec_edgar_hq/filing_documents/CIK0000072741/000162828026032278/es-20260331.htm,25013,Hampden County,1.0,300 CADWELL DRIVE|SPRINGFIELD|MA|01104
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0343,EXPAND ENERGY Corp,EXE,2026-04-28,10-Q,0000895126-26-000028,10000 Energy Drive,Spring,TX,77389,10000 ENERGY DRIVE,SPRING,TX,77389,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0000895126/000089512626000028/exe-20260331.htm,48201,Harris County,1.0,10000 ENERGY DRIVE|SPRING|TX|77389
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0150,"Energy Recovery, Inc.",ERII,2012-03-14,10-K,0001437749-12-002253,1717 Doolittle Drive,San Leandro,CA,94577,1717 DOOLITTLE DRIVE,SAN LEANDRO,CA,94577,06001,Alameda County,data/raw/sec_edgar_hq/filing_documents/CIK0001421517/000143774912002253/eri_10k-123111.htm,06001,Alameda County,1.0,1717 DOOLITTLE DRIVE|SAN LEANDRO|CA|94577
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0350,"Energy Recovery, Inc.",ERII,2026-05-06,10-Q,0001421517-26-000041,1717 Doolittle Drive,San Leandro,CA,94577,1717 DOOLITTLE DRIVE,SAN LEANDRO,CA,94577,06001,Alameda County,data/raw/sec_edgar_hq/filing_documents/CIK0001421517/000142151726000041/erii-20260331.htm,06001,Alameda County,1.0,1717 DOOLITTLE DRIVE|SAN LEANDRO|CA|94577
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0153,Energy Services of America CORP,ESOA,2025-12-15,10-K,0001104659-25-121185,75 West 3rd Ave,HUNTINGTON,WV,25701,75 WEST 3RD AVE.,HUNTINGTON,WV,25701,54011,Cabell County,data/raw/sec_edgar_hq/filing_documents/CIK0001357971/000110465925121185/esoa-20250930x10k.htm,54011,Cabell County,1.0,75 WEST 3RD AVE|HUNTINGTON|WV|25701
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0351,Energy Services of America CORP,ESOA,2026-05-11,10-Q,0001104659-26-058681,75 West 3rd Ave,HUNTINGTON,WV,25701,75 WEST 3RD AVE.,HUNTINGTON,WV,25701,54011,Cabell County,data/raw/sec_edgar_hq/filing_documents/CIK0001357971/000110465926058681/esoa-20260331x10q.htm,54011,Cabell County,1.0,75 WEST 3RD AVE|HUNTINGTON|WV|25701
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0352,Energy Services of America CORP,ESOA,2026-05-21,8-K,0001104659-26-065181,75 West 3rd Ave.,Huntington,WV,25701,75 WEST 3RD AVE.,HUNTINGTON,WV,25701,54011,Cabell County,data/raw/sec_edgar_hq/filing_documents/CIK0001357971/000110465926065181/tm2615351d1_8k.htm,54011,Cabell County,1.0,75 WEST 3RD AVE.|HUNTINGTON|WV|25701
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0155,Energy Transfer LP,ET,2026-02-19,10-K,0001276187-26-000013,"8111 Westchester Drive , Suite 600",Dallas,TX,75225,8111 WESTCHESTER DRIVE SUITE 600,DALLAS,TX,75225,48113,Dallas County,data/raw/sec_edgar_hq/filing_documents/CIK0001276187/000127618726000013/et-20251231.htm,48113,Dallas County,1.0,"8111 WESTCHESTER DRIVE , SUITE 600|DALLAS|TX|75225"
low,parsed street normalizes to current snapshot street,operator_spot_check_before_source_promotion,sec_pit_0354,Energy Transfer LP,ET,2026-05-07,10-Q,0001276187-26-000026,"8111 Westchester Drive , Suite 600",Dallas,TX,75225,8111 WESTCHESTER DRIVE SUITE 600,DALLAS,TX,75225,48113,Dallas County,data/raw/sec_edgar_hq/filing_documents/CIK0001276187/000127618726000026/et-20260331.htm,48113,Dallas County,1.0,"8111 WESTCHESTER DRIVE , SUITE 600|DALLAS|TX|75225"
