fips,year,county,state_abbr,announcement_anchor_event_count,announcement_anchor_weighted_event_count,announcement_anchor_capex_usd_millions,announcement_anchor_jobs_announced,announcement_anchor_event_score,announcement_anchor_latest_event_year,announcement_anchor_event_families,announcement_anchor_validation_roles,announcement_anchor_validation_families,announcement_anchor_matched_control_families,announcement_anchor_event_names,announcement_anchor_source_urls,announcement_anchor_delayed_review_event_count,announcement_anchor_historical_analog_event_count,announcement_anchor_matched_control_event_count,announcement_anchor_semiconductor_event_count,announcement_anchor_ev_auto_battery_event_count,announcement_anchor_medical_life_science_event_count,announcement_anchor_corporate_hq_event_count,announcement_anchor_facility_other_event_count,announcement_anchor_semiconductor_weighted_count,announcement_anchor_ev_auto_battery_weighted_count,announcement_anchor_medical_life_science_weighted_count,announcement_anchor_corporate_hq_weighted_count,announcement_anchor_facility_other_weighted_count,announcement_anchor_event_score_capped,announcement_anchor_has_delayed_review
45045,2024,Greenville County,SC,1,1.0,400.0,80.0,2.038841058197901,2015,facility_other,historical_analog_seed,sc_ga_manufacturing_port_spillover,,GE Greenville Advanced Manufacturing Works,https://www.gevernova.com/news/press-releases/ge-power-opens-first-advanced-manufacturing-facility-400-million-digital-industrial,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2.038841058197901,False
48091,2024,Comal County,TX,1,1.0,80.0,275.0,2.001485002038959,2016,facility_other,historical_analog_seed,austin_san_antonio_corridor,,CGT New Braunfels manufacturing facility,https://gov.texas.gov/news/post/governor_abbott_announces_new_cgt_manufacturing_facility_in_new_braunfels,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,2.001485002038959,False
32003,2024,Clark County,NV,2,1.0,1018.0,5500.0,1.985319375848166,2016,ev_auto_battery; facility_other,historical_analog_seed; matched_control_seed,nv_az_logistics_retiree_migration,nv_az_logistics_retiree_migration,Amazon North Las Vegas fulfillment center; Faraday Future North Las Vegas EV plant,https://goed.nv.gov/newsroom/abatement-biennial-report-fy22-fy24/; https://www.motortrend.com/news/faraday-future-to-invest-1-billion-in-nevada-ev-plant/,0,1,1,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,1.985319375848166,False
47011,2024,Bradley County,TN,1,1.0,120.0,130.0,1.9670987868797893,2010,facility_other,matched_control_seed,,nashville_middle_tennessee;sc_ga_manufacturing_port_spillover,Whirlpool Cleveland premium cooking plant,https://whirlpool.mediaroom.com/2010-09-01-Whirlpool-Corporation-Announces-New-Manufacturing-Facility-in-Tennessee,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.9670987868797893,False
47165,2024,Sumner County,TN,1,1.0,45.0,300.0,1.953575166123797,2014,facility_other,historical_analog_seed,nashville_middle_tennessee,,Beretta Gallatin manufacturing facility,https://tnecd.com/news/haslam-beretta-usa-announce-new-manufacturing-facility/,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.953575166123797,False
32031,2024,Washoe County,NV,1,1.0,10.0,600.0,1.8796490207333578,2014,facility_other,historical_analog_seed,nv_az_logistics_retiree_migration,,Amazon Reno fulfillment center,https://goed.nv.gov/newsroom/abatement-biennial-report-fy22-fy24/,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.8796490207333578,False
48187,2024,Guadalupe County,TX,1,1.0,85.0,75.0,1.878508063653984,2015,facility_other,historical_analog_seed,austin_san_antonio_corridor,,Niagara Bottling Seguin manufacturing facility,https://www.seguintexas.gov/ArchiveCenter/ViewFile/Item/55,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.878508063653984,False
12101,2024,Pasco County,FL,1,1.0,30.0,185.0,1.8659733878198348,2016,facility_other,historical_analog_seed,florida_affordability_spillover,,METTLER TOLEDO Pasco County product inspection facility,https://pascoedc.com/press-releases/article/mettler-toledo-announces-new-facility-to-be-built-in-pasco-county,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.8659733878198348,False
27109,2024,Olmsted County,MN,1,1.0,5000.0,0.0,1.8517393171418903,2023,medical_life_science,modern_seed,,,Mayo Clinic Rochester campus expansion,https://www.communityengagement.mayoclinic.org/bold-forward-unbound-in-rochester,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.8517393171418903,False
16001,2024,Ada County,ID,1,1.0,20.0,100.0,1.7659642954564683,2015,facility_other,historical_analog_seed,boise_treasure_valley,,SkyWest Boise maintenance facility,https://commerce.idaho.gov/content/uploads/2016/06/FINAL_SkyWestAnnouncement_090214-1-1.pdf,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.7659642954564683,False
04019,2024,Pima County,AZ,1,1.0,0.0,2000.0,1.7601402334583733,2016,facility_other,historical_analog_seed,phoenix_tucson_spillover,,Raytheon Tucson Missile Systems expansion,https://raytheon.mediaroom.com/2016-11-18-Raytheon-plans-Southern-Arizona-expansion,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.7601402334583733,False
49053,2024,Washington County,UT,1,1.0,11.0,139.0,1.7426549072397304,2015,facility_other,historical_analog_seed,utah_wasatch_spillover,,RAM Company St. George aerospace manufacturing expansion,https://business.utah.gov/news/ram-company-gears-up-for-significant-expansion/,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.7426549072397304,False
08005,2024,Arapahoe County,CO,1,1.0,0.0,1200.0,1.7090909822079983,2011,corporate_hq,historical_analog_seed,colorado_front_range,,Arrow Electronics Colorado global headquarters,https://investor.arrow.com/news/press-release-details/2011/Arrow-Electronics-Locates-Global-Headquarters-in-Colorado/default.aspx/1000/,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.7090909822079983,False
28089,2024,Madison County,MS,1,1.0,0.0,1000.0,1.690875477931522,2012,ev_auto_battery,matched_control_seed,,sc_ga_manufacturing_port_spillover,Nissan Canton Sentra production expansion,https://www.prnewswire.com/news-releases/all-new-2013-nissan-sentra-to-be-produced-in-canton-miss-1000-new-jobs-to-be-created-160705835.html,0,0,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,1.690875477931522,False
48209,2024,Hays County,TX,1,1.0,0.0,1000.0,1.690875477931522,2015,facility_other,historical_analog_seed,austin_san_antonio_corridor,,Amazon San Marcos fulfillment center,https://press.aboutamazon.com/2015/8/amazon-to-open-fifth-texas-fulfillment-center-in-san-marcos,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.690875477931522,False
48029,2024,Bexar County,TX,1,1.0,3.9,200.0,1.6892540113175656,2016,facility_other,historical_analog_seed,austin_san_antonio_corridor,,Grainger San Antonio sales facility,https://gov.texas.gov/news/post/governor_abbott_announces_grainger_expansion_in_san_antonio,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.6892540113175656,False
05131,2024,Sebastian County,AR,1,1.0,0.0,975.0,1.6883462586413092,2015,corporate_hq,matched_control_seed,,northwest_arkansas;boise_treasure_valley;colorado_front_range,ArcBest Fort Smith headquarters,https://www.arkansasedc.com/news-events/newsroom/detail/2015/04/15/arcbest-corporation-announces-groundbreaking-for-new-headquarters,0,0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.6883462586413092,False
26161,2024,Washtenaw County,MI,1,1.0,754.0,0.0,1.6626717749249025,2011,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,C.S. Mott and Von Voigtlander hospital opening,https://www.mottchildren.org/about-us/new-hospital,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.6626717749249025,False
12105,2024,Polk County,FL,1,1.0,0.0,625.0,1.6439350371100099,2015,facility_other,historical_analog_seed,florida_affordability_spillover,,Walmart Davenport ecommerce fulfillment center,https://floridajobs.org/news-center/DEO-Press/2015/09/17/governor-scott-and-walmart-announce-new-e-commerce-fulfillment-centers-more-than-625-new-jobs-in-polk-county,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.6439350371100099,False
08059,2024,Jefferson County,CO,1,1.0,0.0,570.0,1.6347389209656011,2013,facility_other,historical_analog_seed,colorado_front_range,,Trimble Rockies Westminster campus,https://www.prnewswire.com/news-releases/trimble-breaks-ground-for-new-rockies-colorado-campus-151414585.html,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.6347389209656011,False
47187,2024,Williamson County,TN,1,1.0,2.1,162.0,1.6225152312297864,2014,corporate_hq,historical_analog_seed,nashville_middle_tennessee,,Brookdale Williamson County headquarters expansion,https://tnecd.com/news/governor-haslam-commissioner-hagerty-announce-brookdale-to-expand-williamson-county-corporate-headquarters/,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.6225152312297864,False
08031,2024,Denver County,CO,1,1.0,0.0,500.0,1.6216606101084865,2012,corporate_hq,historical_analog_seed,colorado_front_range,,DaVita Denver world headquarters move,https://investors.davita.com/2012-12-26-DaVita-Celebrates-Extraordinary-2012/,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.6216606101084865,False
37063,2024,Durham County,NC,1,1.0,235.0,0.0,1.546383180502561,2012,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,Duke Cancer Center opening,https://corporate.dukehealth.org/news/dedication-duke-cancer-center-ushers-new-era-patient-care,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.546383180502561,False
40109,2024,Oklahoma County,OK,1,1.0,0.0,130.0,1.487519732320115,2014,medical_life_science,matched_control_seed,,utah_wasatch_spillover;austin_san_antonio_corridor,GE Oklahoma City oil and gas technology center,https://www.okcommerce.gov/ge-establishing-first-sector-specific-global-research-facility-in-oklahoma-2/,0,0,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.487519732320115,False
45035,2024,Dorchester County,SC,1,1.0,5.3,17.0,1.473092139129365,2015,facility_other,historical_analog_seed,sc_ga_manufacturing_port_spillover,,DC Machine Dorchester County manufacturing expansion,https://www.sccommerce.com/news/dc-machine-expanding-dorchester-county-operations,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.473092139129365,False
17043,2024,DuPage County,IL,1,1.0,100.0,0.0,1.461512051684126,2011,corporate_hq,matched_control_seed,,austin_san_antonio_corridor,Navistar Lisle world headquarters,https://news.international.com/news?item=364,0,0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.461512051684126,False
48325,2024,Medina County,TX,1,1.0,1.2,30.0,1.4222444564849415,2015,facility_other,historical_analog_seed,austin_san_antonio_corridor,,South Texas Regional Training Center Annex,https://www.eda.gov/grants/june-8-12-2015,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.4222444564849415,False
05119,2024,Pulaski County,AR,1,1.0,60.0,0.0,1.4110873864173312,2015,facility_other,matched_control_seed,,northwest_arkansas;florida_affordability_spillover,Dassault Falcon Jet Little Rock completion center expansion,https://www.arkansasedc.com/news-events/newsroom/detail/2015/11/19/dassault-falcon-jet-completes-new-little-rock-expansion,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.4110873864173312,False
19155,2024,Pottawattamie County,IA,1,0.7,300.0,50.0,1.3747255128231242,2012,facility_other,matched_control_seed,,college_medical_anchor_growth,Google Council Bluffs data center expansion,https://www.radioiowa.com/2012/04/24/google-to-build-second-data-center-in-council-bluffs/,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.7,1.3747255128231242,False
19169,2024,Story County,IA,1,1.0,12.0,0.0,1.2564949357461537,2014,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,Iowa State Economic Development Core Facility,https://www.news.iastate.edu/news/officials-break-ground-new-economic-development-hub-iowa-state-research-park,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.2564949357461537,False
40097,2024,Mayes County,OK,1,0.7,700.0,0.0,1.1586755520924212,2012,facility_other,matched_control_seed,,phoenix_tucson_spillover,Google Pryor data center second building,https://datacenters.google/locations/oklahoma/,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.7,1.1586755520924212,False
12001,2024,Alachua County,FL,1,1.0,0.0,0.0,1.0,2010,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,University of Florida Innovation Square,https://archive.news.ufl.edu/articles/2010/11/uf-officials-roll-out-plans-for-innovation-square-on-sw-second-avenue.html,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,False
16039,2024,Elmore County,ID,1,1.0,0.0,0.0,1.0,2014,facility_other,historical_analog_seed,boise_treasure_valley,,Mountain Home Air Force Base regional aerospace workforce anchor,https://commerce.idaho.gov/blog/aerospace-labor-production/,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,False
17019,2024,Champaign County,IL,1,1.0,0.0,0.0,1.0,2013,medical_life_science,matched_control_seed,,college_medical_anchor_growth,Carle Urbana emergency department expansion,https://www.illinois.gov/news/2013/august-2013.html,0,0,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,False
19103,2024,Johnson County,IA,1,1.0,0.0,0.0,1.0,2015,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,University of Iowa Stead Family Children's Hospital construction,https://now.uiowa.edu/news/2015/09/building-new-ui-childrens-hospital,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,False
37135,2024,Orange County,NC,1,1.0,0.0,0.0,1.0,2015,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,UNC Hillsborough campus opening,https://news.unchealthcare.org/2015/07/hillsborough-campus-opens/,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,False
47065,2024,Hamilton County,TN,1,1.0,0.0,0.0,1.0,2009,corporate_hq,matched_control_seed,,utah_wasatch_spillover,BlueCross BlueShield Tennessee Cameron Hill campus,https://www.bcbst.com/about/our-company/history,0,0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,False
55025,2024,Dane County,WI,1,0.7,0.0,0.0,0.7,2013,medical_life_science,historical_analog_seed,college_medical_anchor_growth,,Epic Deep Space campus auditorium,https://news.wisc.edu/uw-brings-outreach-to-epics-deep-space/,0,1,0,0,0,1,0,0,0.0,0.0,0.7,0.0,0.0,0.7,False
55101,2024,Racine County,WI,1,0.175,10000.0,13000.0,0.5019563836619271,2017,facility_other,matched_control_seed,,sc_ga_manufacturing_port_spillover,Foxconn Wisconsin LCD manufacturing campus,https://www.prnewswire.com/news-releases/foxconn-announces-launch-of-intelligent-manufacturing-ecosystem-in-us-during-white-house-event-300494861.html,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.175,0.5019563836619271,True
