provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_match_type,census_match_status,census_match_type,census_matched_address,census_candidate_score,review_issue
230193__2023,230193,2023,MCLAREN LAPEER REGION,MI,external_geocoder_required_no_local_candidate,hold,26087,"Lapeer County, Michigan",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1375 N MAIN ST, LAPEER, MI, 48446",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,TX,external_geocoder_required_no_local_candidate,hold,48049,"Brown County, Texas",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1501 BURNEY DR, BROWNWOOD, TX, 76801",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; street_token_support_missing
100320__2024,100320,2024,HCA FLORIDA POINCIANA HOSPITAL,FL,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
110128__2024,110128,2024,MEADOWS REGIONAL MEDICAL CENTER,GA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
061317__2023,061317,2023,GRAND RIVER HOSPITAL DISTRICT,CO,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
230095__2024,230095,2024,MYMICHIGAN MEDICAL CTR WEST BRAN,MI,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
170006__2024,170006,2024,VIA CHRISTI HOSPITAL PITTSBURG INC.,KS,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
380071__2023,380071,2023,WILLAMETTE VALLEY MEDICAL CENTER,OR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
524042__2023,524042,2023,MIRAMOUNT BEHAVIORAL HEALTH,WI,external_geocoder_required_no_local_candidate,hold,55025,"Dane County, Wisconsin",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"3169 DEMING WAY, MIDDLETON, WI, 53562",0.88,street_token_support_missing
190079__2024,190079,2024,ST. CHARLES PARISH HOSPITAL,LA,external_geocoder_required_no_local_candidate,accept,22089,"St. Charles Parish, Louisiana",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1057 PAUL MAILLARD RD, LULING, LA, 70070",0.88,
490143__2023,490143,2023,RIVERSIDE DOCTORS HOSPITAL WILLIAMSB,VA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
300014__2024,300014,2024,FRISBIE MEMORIAL HOSPITAL,NH,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
241355__2023,241355,2023,GLENCOE REGIONAL HEALTH SERVICES,MN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
010158__2023,010158,2023,RUSSELLVILLE HOSPITAL,AL,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
370113__2024,370113,2024,INTEGRIS GROVE HOSPITAL,OK,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
230100__2024,230100,2024,ASCENSION ST. JOSEPH HOSPITAL,MI,external_geocoder_required_no_local_candidate,hold,26069,"Iosco County, Michigan",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"200 HEMLOCK ST, TAWAS CITY, MI, 48763",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
261319__2024,261319,2024,MERCY HOSPITAL LINCOLN,MO,external_geocoder_required_no_local_candidate,accept,29113,"Lincoln County, Missouri",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1000 W CHERRY ST, TROY, MO, 63379",0.88,
150022__2023,150022,2023,FRANCISCAN HEALTH CRAWFORDSVILLE,IN,external_geocoder_required_no_local_candidate,accept,18107,"Montgomery County, Indiana",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1710 LAFAYETTE AVE, CRAWFORDSVILLE, IN, 47933",0.88,
673079__2023,673079,2023,ENCOMPASS HEALTH REHABILITATION OF W,TX,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
144028__2024,144028,2024,JOHN J MADDEN MENTAL HEALTH CENTER,IL,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
231325__2024,231325,2024,MYMICHIGAN MEDICAL CENTER GLADWIN,MI,external_geocoder_required_no_local_candidate,hold,26051,"Gladwin County, Michigan",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"515 QUARTER ST, GLADWIN, MI, 48624",0.88,street_token_support_missing
390117__2024,390117,2024,UPMC BEDFORD,PA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
361330__2023,361330,2023,HOCKING VALLEY,OH,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
451333__2024,451333,2024,MARTIN COUNTY HOSPITAL,TX,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
110236__2024,110236,2024,CHI MEMORIAL HOSPITAL - GEORGIA,GA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
251300__2023,251300,2023,S.E. LACKEY MEMORIAL HOSPITAL,MS,external_geocoder_required_no_local_candidate,accept,28123,"Scott County, Mississippi",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"330 N BROAD ST, FOREST, MS, 39074",0.88,
370178__2024,370178,2024,ADAIR COUNTY HEALTH CENTER,OK,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
291311__2023,291311,2023,DESERT VIEW REGIONAL MEDICAL CENTER,NV,external_geocoder_required_no_local_candidate,accept,32023,"Nye County, Nevada",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"360 LOLA, PAHRUMP, NV, 89048",0.88,
370015__2024,370015,2024,HILLCREST HOSPITAL PRYOR,OK,external_geocoder_required_no_local_candidate,accept,40097,"Mayes County, Oklahoma",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"111 N BAILEY ST, PRYOR, OK, 74361",0.88,
670131__2024,670131,2024,BAYLOR SCOTT & WHITE - BUDA,TX,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
110111__2023,110111,2023,UNIVERSITY HOSPITAL MCDUFFIE,GA,external_geocoder_required_no_local_candidate,accept,13189,"McDuffie County, Georgia",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"2460 WASHINGTON RD, THOMSON, GA, 30824",0.88,
110111__2024,110111,2024,UNIVERSITY HOSPITAL MCDUFFIE,GA,external_geocoder_required_no_local_candidate,accept,13189,"McDuffie County, Georgia",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"2460 WASHINGTON RD, THOMSON, GA, 30824",0.88,
140167__2023,140167,2023,IROQUOIS MEMORIAL HOSPITAL,IL,external_geocoder_required_no_local_candidate,accept,17075,"Iroquois County, Illinois",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"200 E FAIRMAN AVE, WATSEKA, IL, 60970",0.88,
141353__2023,141353,2023,IROQUOIS MEMORIAL HOSPITAL,IL,external_geocoder_required_no_local_candidate,accept,17075,"Iroquois County, Illinois",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"200 E FAIRMAN AVE, WATSEKA, IL, 60970",0.88,
181331__2024,181331,2024,MCDOWELL ARH,KY,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
341317__2023,341317,2023,LIFEBRITE COMM HOSP OF STOKES,NC,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
451396__2023,451396,2023,MID COAST MEDICAL CENTER-CENTRAL,TX,external_geocoder_required_no_local_candidate,accept,48299,"Llano County, Texas",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"200 W OLLIE ST, LLANO, TX, 78643",0.88,
511310__2024,511310,2024,SUMMERS COUNTY ARH,WV,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
371338__2024,371338,2024,HARMON MEMORIAL HOSPITAL,OK,external_geocoder_required_no_local_candidate,accept,40057,"Harmon County, Oklahoma",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"400 E CHESTNUT ST, HOLLIS, OK, 73550",0.88,
451331__2024,451331,2024,COON MEMORIAL HOSPITAL,TX,external_geocoder_required_no_local_candidate,accept,48205,"Hartley County, Texas",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1411 DENVER AVE, DALHART, TX, 79022",0.88,
390104__2024,390104,2024,UPMC KANE,PA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
011306__2024,011306,2024,TANNER MEDICAL CENTER ALABAMA INC.,AL,external_geocoder_required_no_local_candidate,accept,01111,"Randolph County, Alabama",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1032 N MAIN ST, WEDOWEE, AL, 36278",0.88,
241301__2024,241301,2024,LAKEWOOD HEALTH CENTER,MN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
171357__2023,171357,2023,HILLSBORO COMMUNITY HOSPITAL,KS,external_geocoder_required_no_local_candidate,accept,20115,"Marion County, Kansas",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"101 INDUSTRIAL RD, HILLSBORO, KS, 67063",0.88,
371331__2023,371331,2023,DRUMRIGHT REGIONAL HOSPITAL,OK,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
371303__2024,371303,2024,ROGER MILLS MEMORIAL HOSPITAL,OK,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
521300__2024,521300,2024,ASPIRUS EAGLE RIVER HOSPITAL,WI,external_geocoder_required_no_local_candidate,accept,55125,"Vilas County, Wisconsin",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"201 E HOSPITAL RD, EAGLE RIVER, WI, 54521",0.88,
670285__2023,670285,2023,KINGWOOD EMERGENCY HOSPITAL,TX,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
014006__2023,014006,2023,MOUNTAIN VIEW HOSPITAL,AL,external_geocoder_required_no_local_candidate,hold,01055,"Etowah County, Alabama",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"3001 SCENIC HWY, GADSDEN, AL, 35904",0.88,matched_address_lacks_city_support
194118__2023,194118,2023,MERCY BEHAVIORAL HOSPITAL,LA,external_geocoder_required_no_local_candidate,hold,22079,"Rapides Parish, Louisiana",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"2810 US HWY 71, LECOMPTE, LA, 71346",0.88,street_token_support_missing
244016__2023,244016,2023,PRAIRIECARE,MN,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
264020__2024,264020,2024,ROYAL OAKS HOSPITAL,MO,external_geocoder_required_no_local_candidate,accept,29083,"Henry County, Missouri",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"307 N MAIN ST, WINDSOR, MO, 65360",0.88,
414003__2023,414003,2023,EMMA P BRADLEY HOSPITAL,RI,external_geocoder_required_no_local_candidate,hold,44007,"Providence County, Rhode Island",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1011 VETERANS MEMORIAL PKWY, RIVERSIDE, RI, 02915",0.88,matched_address_lacks_city_support
453317__2023,453317,2023,COOK CHILDREN CARE,TX,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
464007__2024,464007,2024,BENCHMARK BEHAVIORAL HEALTH SYSTEM I,UT,external_geocoder_required_no_local_candidate,hold,49011,"Davis County, Utah",0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"592 W 1350 S, WOODS CROSS, UT, 84010",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; street_token_support_missing; matched_address_lacks_city_support
493300__2024,493300,2024,CUMBERLAND HOSPITAL LLC,VA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
514011__2023,514011,2023,HIGHLAND CLARKSBURG HOSPITAL INC,WV,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
110215__2024,110215,2024,PIEDMONT FAYETTE HOSPITAL INC.,GA,external_geocoder_required_no_local_candidate,hold,13113,"Fayette County, Georgia",0.89,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"1255 STATE RTE 54, FAYETTEVILLE, GA, 30214",0.88,street_token_support_missing
400109__2023,400109,2023,HOSPITAL HIMA SAN PABLO BAYAMON,PR,external_geocoder_required_no_local_candidate,hold,72021,Bayamón Muno,0.84,census_non_exact_street_number_zip_city_state,Match,Non_Exact,"70 CLL SANTA CRUZ, BAYAMON, PR, 00961",0.8,census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5
400118__2023,400118,2023,DOCTOR CENTER HOSPITAL MANATI INC.,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
404004__2023,404004,2023,FIRST HOSPITAL PANAMERICANO,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400112__2024,400112,2024,HOSPITAL UPR,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400032__2023,400032,2023,BAYAMON MEDICAL CENTER,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
650003__2023,650003,2023,GUAM REGIONAL MEDICAL CITY,GU,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
650001__2023,650001,2023,GUAM MEMORIAL HOSPITAL,GU,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400019__2023,400019,2023,HOSPITAL PAVIA SANTURCE,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
390156__2024,390156,2024,MERCY CATHOLIC MEDICAL CENTER,PA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
480001__2023,480001,2023,ROY L SCHNEIDER HOSPITAL,VI,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
394056__2024,394056,2024,TOWER BEHAVIORAL HEALTH,PA,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400048__2024,400048,2024,HOSPITAL MENONITA GUAYAMA,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400102__2023,400102,2023,DOCTORS CENTER HOSPITAL BAYAMON,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
400004__2024,400004,2024,ASOCIACION HOSPITAL DEL MAESTRO,PR,external_geocoder_required_no_local_candidate,hold,,,,census_non_exact_street_number_zip_city_state,,,,,not_external_census_context_only; census_status_not_match; census_match_type_not_non_exact; not_provider_original_attempt; census_fips_not_in_county_lookup; census_score_below_0_88; census_confidence_below_0_89; matched_address_missing_provider_zip5; leading_street_number_not_supported; street_token_support_missing; matched_address_lacks_city_support; matched_address_lacks_state_support
