review_rank,fips,county,state_abbr,year,investable_residual_model_score,p0_repeatable_residual_guardrail_score,_base_rank,guardrail_preserved_flag,guardrail_candidate_flag,p0_repeatable_anchor_mix_support,p0_repeatable_jobs_affordability_support,p0_repeatable_migration_pop_support,p0_repeatable_land_optionality_support,p0_repeatable_treatment_score,preboom_prior_momentum_rank_pct,future_growth_residual_5yr,preboom_future_growth_rank_pct_5yr,total_population,emerging_market_depth_adequacy,qa_severity
1,51730,"Petersburg city, Virginia",VA,2019,0.33923471533468114,4.0,1.0,1,0,0.45741389809815153,0.5623472437771956,0.6083095198734148,0.3375341150045518,0.48868221050111427,0.9980026631158455,0.7131116238338852,1.0,31362.0,0.8680323896173218,1
2,37113,"Macon County, North Carolina",NC,2019,0.1642307192521186,3.9986688851913477,5.0,1,0,0.49121168961242423,0.705053596791652,0.8447252202253028,0.7932071134622799,0.6911623877900755,0.5322902796271638,0.255977869070252,0.9484193011647255,34813.0,0.9922094490302247,1
3,37039,"Cherokee County, North Carolina",NC,2019,0.16341931416547575,3.9983361064891847,6.0,1,0,0.537912405750431,0.41767451369773206,0.8906263530374954,0.39046580572682865,0.5574691804489065,0.7173768308921438,0.2926845841991149,0.9657237936772046,27969.0,0.895831597225603,1
4,30047,"Lake County, Montana",MT,2019,0.1427650979889453,3.9973377703826953,9.0,1,0,0.48619304606970315,0.6923118657325688,0.8051370159569862,0.6898519325910023,0.6537990315661362,0.609520639147803,0.4680069557699348,0.9933444259567388,30013.0,0.8894491319614319,1
5,30081,"Ravalli County, Montana",MT,2019,0.14018978606153248,3.9970049916805324,10.0,1,0,0.48922292905991666,0.8413578420036775,0.8980083288068079,0.5936451426105138,0.6882517100954041,0.6780958721704394,0.40499457907148895,0.9853577371048253,42512.0,0.9599956554516513,1
6,36039,"Greene County, New York",NY,2019,0.1376023335024654,3.9960066555740434,13.0,1,0,0.6849334825687807,0.5485941100965518,0.4026470333545883,0.4281264879278339,0.5295839348134861,0.3318908122503329,0.261043909342356,0.9587354409317803,47424.0,0.941681098959389,1
7,42103,"Pike County, Pennsylvania",PA,2019,0.13671386985696077,3.99567387687188,14.0,1,0,0.45409623271618055,0.644625899114566,0.5382743310582623,0.2855172695825965,0.4785058570857637,0.5765645805592543,0.24504478807382157,0.9520798668885191,55453.0,0.9011731758485954,0
8,33003,"Carroll County, New Hampshire",NH,2019,0.13417692915913185,3.995341098169717,15.0,1,0,0.36141376351807236,0.5018146236173148,0.713497508442954,0.24039290765734514,0.44685042582565365,0.7343541944074568,0.2872217362174224,0.9697171381031614,48138.0,0.8412607650526605,1
9,13123,"Gilmer County, Georgia",GA,2019,0.13299211901858002,3.994675540765391,17.0,1,0,0.3606248737311375,0.48337161123610706,0.9201701973565091,0.38424304402983184,0.5229842269598157,0.9776964047936085,0.23912002394704135,0.9873544093178036,30414.0,0.8975837839275784,1
10,12087,"Monroe County, Florida",FL,2019,0.13122503961012402,3.9936772046589017,20.0,1,0,0.3341351101628498,0.6479923848044865,0.605944508734226,0.45384365798349663,0.49637141100059157,0.26897470039946736,0.28195855539940484,0.9201331114808652,75798.0,0.7365492941199062,0
11,50027,"Windsor County, Vermont",VT,2019,0.128481094954909,3.9923460898502494,24.0,1,0,0.6608992234511277,0.4352228138566053,0.5423419061789041,0.50988082992424,0.5469912357605919,0.3478695073235686,0.16328134259473792,0.6206322795341098,55275.0,0.8789843224577372,0
12,37189,"Watauga County, North Carolina",NC,2019,0.1282700135068829,3.9920133111480864,25.0,1,0,0.3926011472481091,0.8735160662975345,0.9214199119886011,0.3690434262838426,0.6194216186980088,0.5615845539280959,0.31327666543320276,0.9584026622296173,54925.0,0.8603957139548484,0
13,47155,"Sevier County, Tennessee",TN,2019,0.12433007380388082,3.9910149750415975,28.0,1,0,0.302432797825822,0.8821565312647983,0.8520107613222178,0.3267872824143793,0.5677737195763257,0.9657123834886817,0.1591764755636963,0.8861896838602329,97068.0,0.7110956411901014,0
14,13311,"White County, Georgia",GA,2019,0.12297240214451644,3.990682196339434,29.0,1,0,0.2564097062383774,0.8771544886663978,0.9254676097584016,0.430529965691463,0.5931119836806373,0.8219041278295606,0.209273258164265,0.9560732113144759,29489.0,0.8839326079315639,1
15,13111,"Fannin County, Georgia",GA,2019,0.12247868310051377,3.990349417637271,30.0,1,0,0.36961258918544176,0.8704442247073813,0.9282478804052618,0.4699654036591641,0.6363711296650026,0.9450732356857523,0.06131072326509435,0.8096505823627288,25395.0,0.8769389156194636,1
16,37175,"Transylvania County, North Carolina",NC,2019,0.12097693618522948,3.989683860232945,32.0,1,0,0.4097312247079019,0.8550965833791969,0.8306681938769886,0.5306449367011713,0.6367909138696417,0.7549933422103862,0.30906295125064454,0.9737104825291182,33775.0,0.9500978020641779,1
17,33009,"Grafton County, New Hampshire",NH,2019,0.1189744691041792,3.989018302828619,34.0,1,0,0.4677886663695207,0.5565078578414124,0.7315398452321911,0.443151812746233,0.5431903752131139,0.5093209054593875,0.3649997779397386,0.9806988352745424,89777.0,0.7559958050472672,0
18,35055,"Taos County, New Mexico",NM,2019,0.11860225101929417,3.988685524126456,35.0,1,0,0.35626921919904664,0.7895917181642449,0.5841130765415771,0.6080648887877723,0.5662504851552311,0.22869507323568575,-0.03355512340877409,0.13377703826955076,32786.0,0.9132544751461569,1
19,15007,"Kauai County, Hawaii",HI,2019,0.11825668729357122,3.988352745424293,36.0,1,0,0.5062151148513061,0.729124730307994,0.5249633941855797,0.22674589047002472,0.4975185090455326,0.5143142476697736,0.2781623053729911,0.7990016638935108,71769.0,0.8116783451752765,0
20,56029,"Park County, Wyoming",WY,2019,0.11494121622507,3.987687188019967,38.0,1,0,0.476972744229432,0.4985618560887581,0.7416910705429469,0.6074863048929501,0.5728415739617947,0.3332223701731025,0.2586824708598211,0.8382695507487521,29148.0,0.940000216131932,1
21,29029,"Camden County, Missouri",MO,2019,0.11404217095216704,3.9873544093178035,39.0,1,0,0.3785721026202774,0.5475288022713325,0.8922210676302262,0.38802798056224214,0.5377462574189602,0.5828894806924101,-0.019117637751057737,0.3873544093178037,45466.0,0.8596313170763462,1
22,37087,"Haywood County, North Carolina",NC,2019,0.11402913932281479,3.9870216306156405,40.0,1,0,0.3637723350809172,0.7549939657529486,0.7944750804934306,0.48397413644209175,0.5804613558934327,0.8099201065246339,0.14842619825347086,0.8289517470881863,61053.0,0.854527391366525,0
23,30029,"Flathead County, Montana",MT,2019,0.1120006078227804,3.9860232945091516,43.0,1,0,0.4965160650133845,0.8572877119923379,0.8718851600815561,0.4347183879003595,0.6516149699482274,0.7316910785619174,0.43906972138557554,0.9906821963394343,99899.0,0.7049840413927748,0
24,29131,"Miller County, Missouri",MO,2019,0.10979429761531997,3.985357737104825,45.0,1,0,0.17310991220985492,0.7326758162957877,0.7168731155877792,0.3873593791670514,0.4761529843266973,0.37716378162450065,0.2175946415287039,0.8618968386023295,25201.0,0.7602489419787005,1
25,42127,"Wayne County, Pennsylvania",PA,2019,0.10967746172196365,3.9850249584026622,46.0,1,0,0.500672694962346,0.6069065368365566,0.5786651079674721,0.2625479966414474,0.48827605297078674,0.25233022636484687,0.19876762894842337,0.9094841930116473,51422.0,0.9126473859707522,0
26,33001,"Belknap County, New Hampshire",NH,2019,0.10961210518554985,3.9846921797004993,47.0,1,0,0.5059913864463184,0.4888864548336481,0.695105448362185,0.24930859662226745,0.4865164447565219,0.783288948069241,0.30803893752585,0.9787021630615641,60887.0,0.8085037443392076,0
27,37099,"Jackson County, North Carolina",NC,2019,0.10945790296588531,3.9843594009983363,48.0,1,0,0.22562368582390216,0.8679911764767834,0.9088977713750404,0.5945364068970281,0.6153711741976456,0.35985352862849534,0.254189521243413,0.9141430948419301,42938.0,0.9706199419700217,1
28,40041,"Delaware County, Oklahoma",OK,2019,0.10861392941958714,3.984026622296173,49.0,1,0,0.30814083844905676,0.6924675213838783,0.8537619362507773,0.61191890526115,0.5918977833852429,0.2609853528628495,0.16520606979774105,0.7084858569051581,42433.0,0.960162031622136,1
29,08037,"Eagle County, Colorado",CO,2019,0.10816726074072429,3.98369384359401,50.0,1,0,0.3501486911374265,0.9084365352477212,0.8997352966645411,0.5670605343706319,0.6548495384976679,0.4800266311584554,0.4347385974448259,0.9880199667221298,54681.0,0.7864178765014431,0
30,13233,"Polk County, Georgia",GA,2019,0.10784105966122912,3.983028286189684,52.0,1,0,0.3841384215558803,0.7450386393306334,0.6933519117681789,0.3599695852188954,0.5327057420353958,0.9583888149134487,0.23635548768010373,0.9903494176372712,41908.0,0.9130329123006595,1
31,01031,"Coffee County, Alabama",AL,2019,0.10687852131666531,3.9823627287853576,54.0,1,0,0.37360718320895064,0.8796810177634914,0.8417028788701792,0.3179771740688117,0.5848712730563457,0.22237017310252996,0.021329357803443416,0.33044925124792013,51662.0,0.9319514533978757,0
32,46081,"Lawrence County, South Dakota",SD,2019,0.10438312219083186,3.9816971713810316,56.0,1,0,0.4473880086943707,0.6910288356092256,0.8690759590329766,0.47677742810653073,0.6071731939274635,0.4270972037283622,0.1429913622714759,0.6908485856905158,25478.0,0.9036228190019766,1
33,34009,"Cape May County, New Jersey",NJ,2019,0.10270315653680477,3.9813643926788687,57.0,1,0,0.3203267642474088,0.6715026033406225,0.28952876902124713,0.15759571414461335,0.3565855268131879,0.3711717709720373,0.2735060134530463,0.9234608985024958,93086.0,0.6698607205730703,1
34,29209,"Stone County, Missouri",MO,2019,0.10265891201608794,3.9810316139767057,58.0,1,0,0.25064147968411704,0.9122593866081781,0.8361326941092192,0.6195552673314937,0.6223267487533212,0.6884154460719041,0.13043588946702656,0.7497504159733777,31615.0,0.9257664408228122,1
