batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
sec_pit_0315__037,"HARTSFIELD-JACKSON ATLANTA INTL AIRPORT 1030 DELTA BOULEVARD, Atlanta, GA, 30354",Match,Non_Exact,"1030 DELTA BLVD, ATLANTA, GA, 30354","-84.423025140386,33.65805226589",-84.423025140386,33.65805226589,17349582,L,13,121,13121,010801,3029,12
sec_pit_0315__035,"5424 DELTA AIR LINES, INC. Delaware 58-0218548 1030 Delta Boulevard, Atlanta, GA, 30354",Match,Non_Exact,"1030 DELTA BLVD, ATLANTA, GA, 30354","-84.423025140386,33.65805226589",-84.423025140386,33.65805226589,17349582,L,13,121,13121,010801,3029,12
sec_pit_0405__064,"5401 VIRGINIA WAY, Brentwood, TN, 37027",Match,Exact,"5401 VIRGINIA WAY, BRENTWOOD, TN, 37027","-86.812349121708,36.03335854729",-86.812349121708,36.03335854729,607902962,L,47,187,47187,050304,2028,12
sec_pit_0405__063,"200 Powell Place, Brentwood, TN, 37027",Match,Exact,"200 POWELL PL, BRENTWOOD, TN, 37027","-86.812871163479,36.036434556194",-86.812871163479,36.036434556194,607919966,L,47,187,47187,050304,2024,12
sec_pit_0037__014,"Four Gatehall Drive, Suite 110, Parsippany, NJ, 07054",No_Match,,,,,,,,,,,,,3
sec_pit_0237__018,"12100 WILSHIRE BOULEVARD, 8TH FLOOR, Los Angeles, CA, 90025",Match,Exact,"12100 WILSHIRE BLVD, LOS ANGELES, CA, 90025","-118.467475100971,34.04401613682",-118.467475100971,34.04401613682,141568131,L,06,037,06037,267405,1000,12
sec_pit_0092__030,"845 TEXAS AVENUE SUITE 1250, Houston, TX, 77002",Match,Non_Exact,"845 TEXAS ST, HOUSTON, TX, 77002","-95.363842867798,29.760823542011",-95.363842867798,29.760823542011,96067455,L,48,201,48201,980700,1066,12
sec_pit_0237__017,"8 th Floor, Los Angeles, CA, 90025",No_Match,,,,,,,,,,,,,3
sec_pit_0037__016,"8 SYLVAN WAY, Parsippany, NJ, 07054",Match,Exact,"8 SYLVAN WAY, PARSIPPANY, NJ, 07054","-74.454878348488,40.848413195746",-74.454878348488,40.848413195746,637825681,R,34,027,34027,041802,3021,12
sec_pit_0037__015,"Four Gatehall Drive, Parsippany, NJ, 07054",No_Match,,,,,,,,,,,,,3
sec_pit_0285__020,"700 Milam Street, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0285__021,"845 TEXAS AVENUE SUITE 1250, Houston, TX, 77002",Match,Non_Exact,"845 TEXAS ST, HOUSTON, TX, 77002","-95.363842867798,29.760823542011",-95.363842867798,29.760823542011,96067455,L,48,201,48201,980700,1066,12
sec_pit_0103__033,"804 Carnegie Center, Princeton, NJ, 08540",No_Match,,,,,,,,,,,,,3
sec_pit_0103__034,"300 CARNEGIE CENTER, SUITE 300, Princeton, NJ, 08540",Match,Non_Exact,"300 CARNEGIE CENTER BLVD, PRINCETON, NJ, 08540","-74.652634064943,40.316451818886",-74.652634064943,40.316451818886,60192636,R,34,021,34021,004314,5003,12
sec_pit_0036__012,"Four Gatehall Drive, Parsippany, NJ, 07054",No_Match,,,,,,,,,,,,,3
sec_pit_0326__046,"244 5TH AVENUE 2ND FL., SUITE 2821, New York, NY, 10001",Match,Exact,"244 5TH AVE, NEW YORK, NY, 10001","-73.987454128631,40.74458672151",-73.987454128631,40.74458672151,59653461,L,36,061,36061,005800,1000,12
sec_pit_0036__013,"8 SYLVAN WAY, Parsippany, NJ, 07054",Match,Exact,"8 SYLVAN WAY, PARSIPPANY, NJ, 07054","-74.454878348488,40.848413195746",-74.454878348488,40.848413195746,637825681,R,34,027,34027,041802,3021,12
sec_pit_0326__045,"2821, New York, NY, 10001",No_Match,,,,,,,,,,,,,3
sec_pit_0397__057,"919 Milam, Suite 2100, Houston, TX, 77002",Match,Non_Exact,"919 MILAM ST, HOUSTON, TX, 77002","-95.366152162226,29.758540007111",-95.366152162226,29.758540007111,96067686,L,48,201,48201,980700,1085,12
sec_pit_0036__011,"Four Gatehall Drive, Suite 110, Parsippany, NJ, 07054",No_Match,,,,,,,,,,,,,3
sec_pit_0379__049,"43059 Delaware 39-3560171 8285 Tournament Drive, Memphis, TN, 38125",Match,Non_Exact,"8285 TOURNAMENT DR, MEMPHIS, TN, 38125","-89.787660654279,35.057487558864",-89.787660654279,35.057487558864,618109859,R,47,157,47157,021355,4029,12
sec_pit_0326__044,"2 nd Fl, 2821, New York, NY, 10001",No_Match,,,,,,,,,,,,,3
sec_pit_0285__019,"700 Milam Street, Suite 800, Houston, TX, 77002",Match,Exact,"700 MILAM ST, HOUSTON, TX, 77002","-95.364984867216,29.760235481636",-95.364984867216,29.760235481636,96067694,R,48,201,48201,980700,1063,12
sec_pit_0032__010,"ONE APPLE PARK WAY, Cupertino, CA, 95014",No_Match,,,,,,,,,,,,,3
