external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
12,474001__2023,474001,2023,BRATTLEBORO RETREAT,ANNA MARSH LANE,BRATTLEBORO,VT,05302,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2625,hold,50025,"Windham County, Vermont",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
13,514009__2024,514009,2024,MILDRED MITCHELL-BATEMAN HOSPITAL,1530 NORWAY AVENUE,HUNTINGTON,WV,25706,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2556,hold,54011,"Cabell County, West Virginia",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
14,054089__2024,054089,2024,JEWISH HOME FOR THE AGED,302 SILVER AVENUE,SAN FRANCISCO,CA,94112,"302 SILVER AVENUE, SAN FRANCISCO, CA, 94112",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.2513,accept,06075,"San Francisco County, California",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to San Francisco County, California (06075) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: San Francisco Campus for Jewish Living, 302, Silver Avenue, St. Mary's Park, Excelsior, San Francisco, California, 94112, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
15,670112__2024,670112,2024,CUMBERLAND SURGICAL HOSPITAL,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,78249,"5330 NORTH LOOP 1604 WEST, SAN ANTONIO, TX, 78249",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1777,accept,48029,"Bexar County, Texas",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Bexar County, Texas (48029) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Cumberland Surgical Hospital, 5330, North Loop 1604 West, San Antonio, Bexar County, Texas, 78249, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
16,343025__2023,343025,2023,CAREPARTNERS REHAB HOSPITAL,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803,"68 SWEETEN CREEK ROAD, ASHEVILLE, NC, 28803",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1738,accept,37021,"Buncombe County, North Carolina",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Buncombe County, North Carolina (37021) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: CarePartners Rehabilitation Hospital, 68, Sweeten Creek Road, Biltmore, Biltmore Village, Asheville, Buncombe County, North Carolina, 28803, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
17,212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,MD,21740,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1394,hold,24043,"Washington County, Maryland",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
18,190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,190044,CROWLEY,LA,70526,"190044, CROWLEY, LA, 70526",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1255,hold,22001,"Acadia Parish, Louisiana",0.6,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
19,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,11595 BURNT MILL ROAD,JACKSONVILLE,FL,32256,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1162,hold,12031,"Duval County, Florida",0.7,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
20,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,1401 EAST TRINITY MILLS ROAD,CARROLLTON,TX,75007,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.1117,hold,48113,"Dallas County, Texas",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
21,054149__2024,054149,2024,WILLOW ROCK CENTER,22050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",same_city_unresolved_after_census_external_geocoder,high,cms_county_blank,0.0,hold,06001,"Alameda County, California",0.7,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:49:26.807755+00:00
