triage_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,triage_priority,provider_volume_score,facility_id,facility_name,address,citytown,state,zip_code,countyparish,cms_hgi_fips,cms_hgi_candidate_fips,cms_hgi_county_name,cms_hgi_address_score,cms_hgi_address_checks,reviewer_decision,cms_hgi_review_issue,prior_osm_fips,prior_osm_county_name,prior_osm_confidence,prior_osm_candidate_issue,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_confidence,cms_hgi_query_url
1,650003__2023,650003,2023,GUAM REGIONAL MEDICAL CITY,GU,133 ROUTE 3,DEDEDO,96929,P1,0.7806,650003,GUAM REGIONAL MEDICAL CITY,133 ROUTE 3,DEDEDO,GU,96929,GUAM,66010,66010,Guam,1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,0.5,geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; postcode_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=650003&limit=5
2,650001__2023,650001,2023,GUAM MEMORIAL HOSPITAL,GU,850 GOVERNOR CARLOS G CAMACHO RD,OKA  TAMUNING,96911,P1,0.5496,650001,GUAM MEMORIAL  HOSPITAL AUTHORITY,85O GOV CARLOS G CAMACHO ROAD,TAMUNING,GU,96913,GUAM,66010,66010,Guam,0.7000,state_match; city_match; cms_zip_available; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=650001&limit=5
3,400048__2024,400048,2024,HOSPITAL MENONITA  GUAYAMA,PR,AVE PEDRO ALBIZU CAMPOS,GUAYAMA,00785,P1,0.353,400048,HOSPITAL MENONITA GUAYAMA,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,00785,GUAYANILLA,72059,72059,Guayanilla Muno,1.0000,state_match; city_match; zip_match; street_match; cms_county_present,hold,CMS HGI Puerto Rico city/municipio and county/parish values conflict.,72057,Guayama Muno,0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=400048&limit=5
4,480001__2023,480001,2023,ROY L SCHNEIDER HOSPITAL,VI,9048 SUGAR ESTATE,ST. THOMAS,00801,P1,0.3323,480001,"ROY LESTER SCHNEIDER HOSPITAL,THE",9048 SUGAR ESTATE,ST THOMAS,VI,00801,SAINT THOMAS ISLAND,78030,78030,St. Thomas Island,1.0000,state_match; city_match; zip_match; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=480001&limit=5
5,660001__2023,660001,2023,COMMONWEALTH HEALTH CENTER,MP,LOWER NAVY HILL RD,SAIPAN,96950,P1,0.2932,660001,COMMONWEALTH HEALTH CENTER,1 LOWER NAVY HILL ROAD (PO BOX 409CK),GARAPAN,MP,96950,SAIPAN,69110,69110,Saipan Municipality,0.6200,state_match; city_differs; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,0.42,geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=660001&limit=5
