attempt_key,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,attempt_label,attempt_query,status_code,result_count,error,attempted_at
f99d0a70b6bcc9b3f962,110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,external_geocoder_required_no_local_candidate,provider_city_zip,"PIEDMONT EASTSIDE MEDICAL CENTER, SNELLVILLE, GA, 30278",200,1,,2026-06-05T03:19:14.606762+00:00
93e4bc13cb7b809ae2b5,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,address_only,"500 ARSENAL STREET, ST.LOUIS, MO, 63119",200,1,,2026-06-05T03:19:16.265639+00:00
35fa096e2a33fe37d2b9,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,provider_address,"ST. LOUIS FORENSIC TREATMENT CENTER, 500 ARSENAL STREET, ST.LOUIS, MO, 63119",200,0,,2026-06-05T03:19:17.983361+00:00
65e3587cda2cb563f494,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,address_no_zip,"500 ARSENAL STREET, ST.LOUIS, MO",200,1,,2026-06-05T03:19:19.420710+00:00
6660397e3d3bd200f156,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,external_geocoder_required_no_local_candidate,provider_city_zip,"ST. LOUIS FORENSIC TREATMENT CENTER, ST.LOUIS, MO, 63119",200,0,,2026-06-05T03:19:21.030646+00:00
a0ea5b6ca066da650b3b,100224__2024,100224,2024,HCA FLORIDA WOODMONT HOSPITAL,FL,external_geocoder_required_no_local_candidate,address_only,"7201 UNIVERSITY DRIVE, TAMARAC, FL, 33321",200,1,,2026-06-05T03:19:22.603538+00:00
4b71c0de274da9331544,440068__2023,440068,2023,ATHENS REGIONAL MEDICAL CENTER,TN,external_geocoder_required_no_local_candidate,address_only,"1114 MADISON AVENUE, ATHENS, TN, 37303",200,2,,2026-06-05T03:19:23.109499+00:00
7812e3ededfdd3c9f58d,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,address_only,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN, 37215",200,2,,2026-06-05T03:19:23.744306+00:00
34da0c5a7057281d01e8,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,provider_address,"TRISTAR HENDERSONVILLE MEDICAL CENTE, 355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN, 37215",200,0,,2026-06-05T03:19:25.563015+00:00
6a7c69f3df5ba33965d0,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,address_no_zip,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN",200,2,,2026-06-05T03:19:27.108183+00:00
2c582cdec9651095eba5,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,external_geocoder_required_no_local_candidate,provider_city_zip,"TRISTAR HENDERSONVILLE MEDICAL CENTE, HENDERSONVILLE, TN, 37215",200,0,,2026-06-05T03:19:28.661432+00:00
adc81f5b42bbfb424219,140008__2024,140008,2024,GOTTLIEB MEMORIAL HOSPITAL,IL,external_geocoder_required_no_local_candidate,address_only,"8700 WEST NORTH AVENUE, MELROSE PARK, IL, 60160",200,0,,2026-06-05T03:19:30.359597+00:00
