cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd
054149,WILLOW ROCK CENTER,CA,22050 FAIRMONT DRIVE,SAN LEANDRO,94578,,2024,cms_county_blank,high,06001,"Alameda County, California",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,
103052,ENCOMPASS HEALTH REHABILITATION HOSP,FL,11595 BURNT MILL ROAD,JACKSONVILLE,32256,,2023,cms_county_blank,high,12031,"Duval County, Florida",10,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,50.0,798.0,17626662.0,16719427.0
190044,ACADIA GENERAL HOSPITAL,LA,190044,CROWLEY,70526,,2023,cms_county_blank,high,22001,"Acadia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,54.0,1564.0,50363732.0,53325390.0
190054,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,,2023,cms_county_blank,high,22045,"Iberia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,133.0,3965.0,90825525.0,106319014.0
212002,WESTERN MARYLAND HOSPITAL CENTER,MD,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,21740,,2024,cms_county_blank,high,24043,"Washington County, Maryland",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,60.0,14.0,23465963.0,
284003,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,,2024,cms_county_blank,high,31109,"Lancaster County, Nebraska",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,266.0,28.0,24666453.0,12927774.0
290041,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,657 TOWN CENTER DRIVE,LAS VEGAS,89114,,2023,cms_county_blank,high,32003,"Clark County, Nevada",23,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,416.0,23214.0,362460482.0,443399845.0
370056,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,,2024,cms_county_blank,high,40031,"Comanche County, Oklahoma",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,183.0,10649.0,224314285.0,339847745.0
370093,OU MEDICAL CENTER,OK,1200 CHILDRENS AVE,OKLAHOMA CITY,73104,,2024,cms_county_blank,high,40109,"Oklahoma County, Oklahoma",24,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,842.0,42672.0,1731174557.0,1965959449.0
670265,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,1401 EAST TRINITY MILLS ROAD,CARROLLTON,75007,,2024,cms_county_blank,high,48121,"Denton County, Texas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,22.0,629.0,45132104.0,36285783.0
474001,BRATTLEBORO RETREAT,VT,ANNA MARSH LANE,BRATTLEBORO,05302,,2023,cms_county_blank,high,50025,"Windham County, Vermont",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,113.0,1759.0,72243402.0,96398345.0
514009,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,1530 NORWAY AVENUE,HUNTINGTON,25706,,2024,cms_county_blank,high,54011,"Cabell County, West Virginia",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,110.0,409.0,51287750.0,16735784.0
400016,AUXILIO MUTUO HOSPITAL,PR,PONCE DE LEON,SAN JUAN,00919,,2023,cms_county_blank,medium,72127,San Juan Muno,1,same_state_zip5_unique_matched_cms_rows,0.86,operator_spot_check_then_assign_if_address_confirms,cms_county_missing_provider_geocode_review_required,488.0,17410.0,222107178.0,246596454.0
400105,BAYAMON REGIONAL HOSPITAL,PR,LAUREL #100,BAYAMON,00956,,2024,cms_county_blank,medium,72021,Bayamón Muno,1,same_state_zip5_unique_matched_cms_rows,0.86,operator_spot_check_then_assign_if_address_confirms,cms_county_missing_provider_geocode_review_required,84.0,1678.0,27144009.0,17396235.0
400006,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,1395 SAN RAFAEL ST. PDA. 20,SAN JUAN,00910,,2023,cms_county_blank,medium,72127,San Juan Muno,1,same_state_zip5_unique_matched_cms_rows,0.86,operator_spot_check_then_assign_if_address_confirms,cms_county_missing_provider_geocode_review_required,110.0,5179.0,34502937.0,38065669.0
403301,UNIVERSITY PEDIATRIC HOSPITAL,PR,PO BOX 191079,SAN JUAN,00910,,2024,cms_county_blank,medium,72127,San Juan Muno,1,same_state_zip5_unique_matched_cms_rows,0.86,operator_spot_check_then_assign_if_address_confirms,cms_county_missing_provider_geocode_review_required,,,,
400127,ADMIN DE SERVICIOS MEDICOS DE PR,PR,CENTRO MEDICO,SAN JUAN,00922,,2024,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,65.0,1632.0,143190592.0,234252304.0
400106,HOSPITAL METROPOLITANO,PR,21 #1785,RIO PIEDRAS,00922,,2023,cms_county_blank,medium,72127,San Juan Muno,1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,132.0,4353.0,33670119.0,49829173.0
400098,HOSPITAL SAN FRANCISCO,PR,DE DIEGO AVE. #371,RIO PIEDRAS,00923,RIO PIEDRAS,2023,county_text_unmatched,medium,72127,San Juan Muno,1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,county_fips_unmatched_review_required,139.0,4112.0,36023250.0,44399547.0
400015,SAN JUAN MUNICIPAL HOSPITAL,PR,RIO PIEDRAS STATION,SAN JUAN,00928,,2024,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,145.0,5355.0,88665795.0,99596842.0
