diversity_rank,source_pool_rank,diversity_lane,balance_archetype,balance_archetype_score,fips,county,state_abbr,census_region,primary_archetype,primary_archetype_score,secondary_archetype,secondary_archetype_score,energy_commodity_high_caution,qa_status,qa_flags,export_priority_rank,export_priority_score,preboom_classifier_score,investable_residual_model_score,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,total_population,short_thesis,structural_summary,support_narrative,brake_narrative,next_diligence_check
32,13,primary_archetype_slot,recovery/rebound market,73.94935987541555,39013,"Belmont County, Ohio",OH,Midwest,recovery/rebound market,73.94935987541555,amenity migration,73.31430673286256,False,unreviewed,,13,0.9231417458945548,0.5909908151233977,0.051864908299534086,0.28548282566429034,0.8860612888964715,0.0915763569846039,64692.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.5%, inside the not-hot gate. Market-depth adequacy is high (0.886).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629). Brakes: constraint pressure is moderate (0.560).,Structural support: optionality is moderate (0.629),Structural brakes: constraint pressure is moderate (0.560),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
33,16,primary_archetype_slot,recovery/rebound market,74.83254499375037,42013,"Blair County, Pennsylvania",PA,Northeast,recovery/rebound market,74.83254499375037,amenity migration,71.12700991153721,False,unreviewed,,16,0.9217372515125324,0.536002333664391,0.07121975958131155,0.19248217757615035,0.7299763963326438,0.1902300265410224,120269.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.2%, inside the not-hot gate. Market-depth adequacy is high (0.730).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is moderate (0.642); fragility/support balance is moderate (0.610). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.642); fragility/support balance is moderate (0.610),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
34,26,primary_archetype_slot,recovery/rebound market,67.59863354185711,21195,"Pike County, Kentucky",KY,South,recovery/rebound market,67.59863354185711,amenity migration,60.434752559230176,False,unreviewed,,26,0.9117977528089887,0.7097795854113551,0.023317757632308637,0.25826312378483474,0.9643794302306267,0.0648047601365439,55430.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 25.8%, inside the not-hot gate. Market-depth adequacy is high (0.964).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
35,28,primary_archetype_slot,recovery/rebound market,70.88902270517264,35006,"Cibola County, New Mexico",NM,West,recovery/rebound market,70.88902270517264,remote-work lifestyle market,65.90800409548528,False,unreviewed,,28,0.91028522039758,0.6221271175240561,0.046460620074039935,0.34996759559300067,0.649216955862457,0.1704649993789556,26686.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.649).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607). Brakes: fragility pressure is moderate (0.633).,Structural support: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607),Structural brakes: fragility pressure is moderate (0.633),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
36,29,primary_archetype_slot,recovery/rebound market,78.57196764363113,54049,"Marion County, West Virginia",WV,South,recovery/rebound market,78.57196764363113,amenity migration,70.58446825430399,False,unreviewed,,29,0.9085133967156439,0.40641439486119324,0.0571353022559442,0.3833441348023331,0.9342218773100395,0.207997791296489,55649.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.3%, inside the not-hot gate. Market-depth adequacy is high (0.934).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.665); optionality is moderate (0.634). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is moderate (0.665); optionality is moderate (0.634),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
37,53,primary_archetype_slot,recovery/rebound market,71.24364736172839,39105,"Meigs County, Ohio",OH,Midwest,recovery/rebound market,71.24364736172839,amenity migration,66.75811902312643,False,unreviewed,,53,0.8850043215211755,0.5968703331306423,0.04407155189849584,0.11471160077770577,0.5995282222344045,0.1038574365613929,21491.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.600).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.604). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.604),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
38,1,primary_archetype_slot,remote-work lifestyle market,70.42944896446389,35005,"Chaves County, New Mexico",NM,West,remote-work lifestyle market,70.42944896446389,amenity migration,69.55515961421887,False,unreviewed,,1,0.9661624891961971,0.6477902509788129,0.050145571825169453,0.09202851587815943,0.9129171771491311,0.3327727551676472,63697.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 9.2%, inside the not-hot gate. Market-depth adequacy is high (0.913).",Wave 3 support is strong; structural brakes are light. Supports: optionality is strong (0.731); fragility/support balance is strong (0.718); site-thesis support is strong (0.715). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.731); fragility/support balance is strong (0.718); site-thesis support is strong (0.715),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
39,10,primary_archetype_slot,remote-work lifestyle market,61.729380094719886,16013,"Blaine County, Idaho",ID,West,remote-work lifestyle market,61.729380094719886,amenity migration,59.53776903554632,False,unreviewed,,10,0.9292999135695764,0.43788584113811546,0.16769777982292364,0.4118600129617628,0.8820062187108225,0.2427670979635803,25261.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.2%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.778); optionality is strong (0.696); site-thesis support is strong (0.678),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
40,25,primary_archetype_slot,remote-work lifestyle market,74.95370485098402,16085,"Valley County, Idaho",ID,West,remote-work lifestyle market,74.95370485098402,amenity migration,72.27605644282222,False,unreviewed,,25,0.912294727744166,0.6124983441152013,0.049422177009275696,0.2018794556059624,0.6794799820169676,0.1553127567527407,12777.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 20.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.679).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.810); site-thesis support is moderate (0.664); optionality is moderate (0.652). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.810); site-thesis support is moderate (0.664); optionality is moderate (0.652),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
41,40,primary_archetype_slot,remote-work lifestyle market,69.13746130920944,50015,"Lamoille County, Vermont",VT,Northeast,remote-work lifestyle market,69.13746130920944,amenity migration,67.99570263641155,False,unreviewed,,40,0.8931719965427831,0.4778833907137474,0.08248798885485613,0.313350615683733,0.8758815164371483,0.0116142810719008,26248.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 31.3%, inside the not-hot gate. Market-depth adequacy is high (0.876).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is heavy (0.720); wetlands constraint is moderate (0.568).,Structural support: no major structural supports flagged,Structural brakes: constraint pressure is heavy (0.720); wetlands constraint is moderate (0.568),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
42,42,primary_archetype_slot,remote-work lifestyle market,74.38089525082452,08117,"Summit County, Colorado",CO,West,remote-work lifestyle market,74.38089525082452,amenity migration,72.20542740585218,False,unreviewed,,42,0.8924373379429559,0.49306142608969245,0.01249599649277961,0.14322747893713544,0.9323238277463718,0.1911223716153263,30882.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 14.3%, inside the not-hot gate. Market-depth adequacy is high (0.932).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.844); fragility/support balance is strong (0.697); site-thesis support is moderate (0.668). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.844); fragility/support balance is strong (0.697); site-thesis support is moderate (0.668),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
43,43,primary_archetype_slot,remote-work lifestyle market,77.24057739325266,37111,"McDowell County, North Carolina",NC,South,remote-work lifestyle market,77.24057739325266,amenity migration,77.09716963658883,False,unreviewed,,43,0.8913353500432152,0.41990520112832097,0.03754825724527424,0.4630589760207388,0.9946298732084097,0.1054820941635827,45269.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.3%, inside the not-hot gate. Market-depth adequacy is high (0.995).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.710); optionality is moderate (0.660); site-thesis support is moderate (0.612). Brakes: constraint pressure is moderate (0.574).,Structural support: scarcity/amenity balance is strong (0.710); optionality is moderate (0.660); site-thesis support is moderate (0.612),Structural brakes: constraint pressure is moderate (0.574),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
44,45,primary_archetype_slot,remote-work lifestyle market,74.69745223960253,37153,"Richmond County, North Carolina",NC,South,remote-work lifestyle market,74.69745223960253,amenity migration,74.18593962092314,False,unreviewed,,45,0.8909248055315471,0.5668769701245444,0.048813567018669686,0.41250810110174985,0.9573164812127898,-0.0921908018518161,41990.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.3%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.631). Brakes: wetlands constraint is moderate (0.638); fragility pressure is moderate (0.629); constraint complexity is moderate (0.585).,Structural support: scarcity/amenity balance is moderate (0.631),Structural brakes: wetlands constraint is moderate (0.638); fragility pressure is moderate (0.629); constraint complexity is moderate (0.585),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
45,49,primary_archetype_slot,remote-work lifestyle market,83.04483025850863,16019,"Bonneville County, Idaho",ID,West,remote-work lifestyle market,83.04483025850863,amenity migration,79.66285068845076,False,unreviewed,,49,0.8877700950734659,0.6625842000382623,0.03599021002129792,0.13836681788723265,0.696662733952822,0.0599250429343566,133644.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 13.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.697).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.789); optionality is moderate (0.659); site-thesis support is moderate (0.642). Brakes: fragility pressure is moderate (0.595); constraint complexity is moderate (0.566); constraint pressure is moderate (0.555).,Structural support: scarcity/amenity balance is strong (0.789); optionality is moderate (0.659); site-thesis support is moderate (0.642),Structural brakes: fragility pressure is moderate (0.595); constraint complexity is moderate (0.566); constraint pressure is moderate (0.555),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
46,58,primary_archetype_slot,remote-work lifestyle market,64.8947085839281,08007,"Archuleta County, Colorado",CO,West,remote-work lifestyle market,64.8947085839281,amenity migration,62.25754399741066,False,unreviewed,,58,0.8822817631806396,0.46753163703190476,0.04246675336220112,0.43486714193130266,0.6274704489296528,0.1939285265799014,14112.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 43.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.627).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.703); optionality is strong (0.673); site-thesis support is moderate (0.638). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.703); optionality is strong (0.673); site-thesis support is moderate (0.638),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
47,59,primary_archetype_slot,remote-work lifestyle market,64.58991622356275,08051,"Gunnison County, Colorado",CO,West,remote-work lifestyle market,64.58991622356275,amenity migration,62.29101530020163,False,unreviewed,,59,0.8819576490924805,0.39078438971832274,0.0858448598163841,0.2929358392741413,0.7529882313933323,0.1733423392560403,17310.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 29.3%, inside the not-hot gate. Market-depth adequacy is high (0.753).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.754); optionality is moderate (0.649); site-thesis support is moderate (0.642). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.754); optionality is moderate (0.649); site-thesis support is moderate (0.642),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
48,911,secondary_archetype_backfill,affordability spillover,65.0126624134989,48101,"Cottle County, Texas",TX,South,recovery/rebound market,75.87264394689768,affordability spillover,65.0126624134989,False,unreviewed,,911,0.5531979256698357,0.19972717280042307,-0.00019071498952831172,0.0508749189889825,0.05476334444897146,-0.0722857022147085,1263.0,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 5.1%, inside the not-hot gate. Market-depth adequacy is low (0.055).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: fragility pressure is moderate (0.558).,Structural support: no major structural supports flagged,Structural brakes: fragility pressure is moderate (0.558),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
49,607,secondary_archetype_backfill,affordability spillover,63.77054054080723,48433,"Stonewall County, Texas",TX,South,recovery/rebound market,71.0639363824662,affordability spillover,63.77054054080723,False,unreviewed,,607,0.6385479688850476,0.3266779757148353,-0.019664181216069044,0.02916396629941672,0.03644579185866548,0.037833202270787,1235.0,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 2.9%, inside the not-hot gate. Market-depth adequacy is low (0.036).",Wave 3 support is moderate; structural brakes are light. Supports: developability is moderate (0.601). Brakes: fragility pressure is moderate (0.613).,Structural support: developability is moderate (0.601),Structural brakes: fragility pressure is moderate (0.613),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
50,444,secondary_archetype_backfill,affordability spillover,61.49167562419426,48495,"Winkler County, Texas",TX,South,recovery/rebound market,62.785259139505115,affordability spillover,61.49167562419426,False,unreviewed,,444,0.6959161624891962,0.7130411286627037,-0.05941475798553552,0.017174335709656513,0.27594757074569687,0.4062531956653585,7381.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 1.7%, inside the not-hot gate. Market-depth adequacy is low (0.276).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.779); developability is strong (0.776); site-thesis support is moderate (0.657). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.779); developability is strong (0.776); site-thesis support is moderate (0.657),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
51,160,secondary_archetype_backfill,affordability spillover,60.96369874545805,30079,"Prairie County, Montana",MT,West,remote-work lifestyle market,73.61987365210109,amenity migration,72.72595175584634,False,unreviewed,,160,0.8179343128781331,0.5359481135733802,0.0095430586616765,0.5051847051198963,0.021096748001166232,0.3280192756791006,1112.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 50.5%, inside the not-hot gate. Market-depth adequacy is low (0.021).",Wave 3 support is strong; structural brakes are light. Supports: optionality is strong (0.739); fragility/support balance is strong (0.721); site-thesis support is strong (0.710). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.739); fragility/support balance is strong (0.721); site-thesis support is strong (0.710),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
52,1615,secondary_archetype_backfill,affordability spillover,59.592636790696446,06003,"Alpine County, California",CA,West,remote-work lifestyle market,78.56595272419285,amenity migration,73.92925292141642,False,unreviewed,,1615,0.3727095937770095,0.1753809855062048,-0.06665223566315884,0.1510045366169799,0.06370854663413339,-0.069520737879221,1099.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 15.1%, inside the not-hot gate. Market-depth adequacy is low (0.064).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.709). Brakes: constraint pressure is heavy (0.742); constraint complexity is moderate (0.627).,Structural support: scarcity/amenity balance is strong (0.709),Structural brakes: constraint pressure is heavy (0.742); constraint complexity is moderate (0.627),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
53,1456,secondary_archetype_backfill,affordability spillover,59.36180338633331,48081,"Coke County, Texas",TX,South,amenity migration,67.40315388909298,retirement migration,67.40315388909298,False,unreviewed,,1456,0.41078219533275717,0.20811192942742154,-0.08366406781178103,0.023331173039533377,0.11963029511398604,0.1083125260733506,3396.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 2.3%, inside the not-hot gate. Market-depth adequacy is low (0.120).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.639); developability is moderate (0.600). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.639); developability is moderate (0.600),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
54,151,secondary_archetype_backfill,affordability spillover,59.285838837458485,04011,"Greenlee County, Arizona",AZ,West,remote-work lifestyle market,76.90553924657604,amenity migration,73.92405358246239,False,unreviewed,,151,0.8241789109766637,0.700898643655955,-0.004215511076350622,0.06286454957874271,0.31606545734214364,0.2520135943742472,9410.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 6.3%, inside the not-hot gate. Market-depth adequacy is low (0.316).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.709); scarcity/amenity balance is strong (0.700); site-thesis support is strong (0.676). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.709); scarcity/amenity balance is strong (0.700); site-thesis support is strong (0.676),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
55,554,secondary_archetype_backfill,affordability spillover,59.012427061593606,35025,"Lea County, New Mexico",NM,West,remote-work lifestyle market,70.80009260945992,amenity migration,69.80861386158765,False,unreviewed,,554,0.6515557476231635,0.6683823955650146,-0.13102878521234504,0.0152300712896954,0.8644119511110137,0.4723621900376049,75151.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 1.5%, inside the not-hot gate. Market-depth adequacy is high (0.864).",Wave 3 support is strong; structural brakes are light. Supports: site-thesis support is strong (0.809); fragility/support balance is strong (0.794); optionality is strong (0.773). Brakes: no major structural brakes flagged.,Structural support: site-thesis support is strong (0.809); fragility/support balance is strong (0.794); optionality is strong (0.773),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
56,1288,secondary_archetype_backfill,college/medical institutional anchor,99.97638167217762,06037,"Los Angeles County, California",CA,West,manufacturing reshoring,81.72914651606763,remote-work lifestyle market,79.32431071290416,False,unreviewed,,1288,0.4518798617113224,0.27569036536558544,-0.11613939282609136,0.39565780946208684,0.4615928837514319,0.1173771312726513,9757179.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 39.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.462).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.852); optionality is strong (0.707); site-thesis support is strong (0.677). Brakes: fragility pressure is moderate (0.635).,Structural support: scarcity/amenity balance is strong (0.852); optionality is strong (0.707); site-thesis support is strong (0.677),Structural brakes: fragility pressure is moderate (0.635),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
57,1371,secondary_archetype_backfill,college/medical institutional anchor,99.88190836088806,17031,"Cook County, Illinois",IL,Midwest,amenity migration,82.60276879908757,retirement migration,82.60276879908757,False,unreviewed,,1371,0.4321737251512532,0.12808216780712103,-0.05675717638895437,0.4235255994815295,0.46225115965520824,0.3754866426420621,5182617.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 42.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.462).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.817); scarcity/amenity balance is strong (0.772); optionality is moderate (0.660). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.817); scarcity/amenity balance is strong (0.772); optionality is moderate (0.660),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
58,2110,secondary_archetype_backfill,college/medical institutional anchor,99.72051645410171,48201,"Harris County, Texas",TX,South,manufacturing reshoring,94.99448955931892,amenity migration,76.46210221108876,False,unreviewed,,2110,0.23714347450302506,0.048282248580567406,-0.08371002342179396,0.3914452365521711,0.4629692922034051,0.0362634081743852,5009302.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 39.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.463).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.699); fragility/support balance is moderate (0.613); site-thesis support is moderate (0.601). Brakes: wetlands constraint is heavy (0.795).,Structural support: scarcity/amenity balance is strong (0.699); fragility/support balance is moderate (0.613); site-thesis support is moderate (0.601),Structural brakes: wetlands constraint is heavy (0.795),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
59,1734,secondary_archetype_backfill,college/medical institutional anchor,99.2993229412691,48439,"Tarrant County, Texas",TX,South,amenity migration,76.99003291454895,retirement migration,76.99003291454895,False,unreviewed,,1734,0.3432800345721694,0.039119239300322975,-0.048636418282429615,0.36649384316267014,0.4686593503674473,0.2136917608649333,2230708.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 36.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.469).",Wave 3 support is strong; structural brakes are moderate. Supports: optionality is strong (0.724); scarcity/amenity balance is strong (0.720); fragility/support balance is strong (0.696). Brakes: fragility pressure is heavy (0.675).,Structural support: optionality is strong (0.724); scarcity/amenity balance is strong (0.720); fragility/support balance is strong (0.696),Structural brakes: fragility pressure is heavy (0.675),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
60,657,secondary_archetype_backfill,college/medical institutional anchor,99.18123130215713,04013,"Maricopa County, Arizona",AZ,West,remote-work lifestyle market,67.9676566722928,amenity migration,65.57476147284389,False,unreviewed,,657,0.6234442523768365,0.19658938033619489,-0.00594924784354358,0.21451717433570966,0.46269160822819655,0.2174855177829256,4673096.0,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 21.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.463).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.733); site-thesis support is strong (0.690); scarcity/amenity balance is moderate (0.652). Brakes: fragility pressure is moderate (0.553).,Structural support: optionality is strong (0.733); site-thesis support is strong (0.690); scarcity/amenity balance is moderate (0.652),Structural brakes: fragility pressure is moderate (0.553),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
61,945,secondary_archetype_backfill,college/medical institutional anchor,99.11431270666036,18097,"Marion County, Indiana",IN,Midwest,amenity migration,76.45184202651131,retirement migration,76.45184202651131,False,unreviewed,,945,0.5439282627484875,0.15934766605174233,-0.0232255890789619,0.5479585223590409,0.4857570265791923,0.1827715182900235,981628.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 54.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.486).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.717); site-thesis support is moderate (0.607). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.717); site-thesis support is moderate (0.607),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
62,405,secondary_archetype_backfill,college/medical institutional anchor,98.94898441190365,26163,"Wayne County, Michigan",MI,Midwest,amenity migration,82.60127398678671,retirement migration,82.60127398678671,False,unreviewed,,405,0.7095073465859983,0.32126159591649794,-0.016762308954959098,0.5615683732987686,0.4724351213543503,0.2694313203413261,1771063.0,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 56.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.472).",Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.784); scarcity/amenity balance is strong (0.726); site-thesis support is moderate (0.634). Brakes: wetlands constraint is moderate (0.584).,Structural support: fragility/support balance is strong (0.784); scarcity/amenity balance is strong (0.726); site-thesis support is moderate (0.634),Structural brakes: wetlands constraint is moderate (0.584),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
63,2301,secondary_archetype_backfill,college/medical institutional anchor,98.87025665249568,25017,"Middlesex County, Massachusetts",MA,Northeast,manufacturing reshoring,85.54687209742401,remote-work lifestyle market,82.24315911488169,False,unreviewed,,2301,0.11901469317199653,0.009625389165220927,-0.11426548208288027,0.677900194426442,0.47229375712045096,-0.0463016147459697,1668956.0,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 67.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.472).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.700); site-thesis support is moderate (0.609). Brakes: wetlands constraint is heavy (0.847); constraint pressure is moderate (0.601); constraint complexity is moderate (0.551).,Structural support: scarcity/amenity balance is strong (0.700); site-thesis support is moderate (0.609),Structural brakes: wetlands constraint is heavy (0.847); constraint pressure is moderate (0.601); constraint complexity is moderate (0.551),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
