blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
37,53,39105,"Meigs County, Ohio",OH,Midwest,review,very_small_market; moderate_market_depth; recent_population_decline; labor_stress,0.9718236819360415,0.5968703331306423,0.9740708729472775,0.04407155189849584,0.9515989628349178,0.11471160077770577,0.5995282222344045,0.1038574365613929,586,21491.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.600).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.604). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.604),Structural brakes: no major structural brakes flagged
38,93,47081,"Hickman County, Tennessee",TN,South,review,small_market; negative_wave3_net_support; low_structural_support,0.971780466724287,0.6159051979936367,0.9788245462402766,0.026536685444204244,0.9083837510803803,0.09397278029812055,0.7117232940389229,-0.0287953597499852,1067,25859.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 9.4%, inside the not-hot gate. Market-depth adequacy is high (0.712).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged
39,82,26131,"Ontonagon County, Michigan",MI,Midwest,review,very_small_market; thin_market_depth; recent_population_decline; labor_stress,0.9716508210890233,0.5978764589310533,0.9745030250648228,0.039292053157410384,0.945980985306828,0.13869086195722619,0.24044591258454162,0.1618801360439096,686,5824.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 13.9%, inside the not-hot gate. Market-depth adequacy is low (0.240).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.830); fragility/support balance is strong (0.730). Brakes: wetlands constraint is moderate (0.639); constraint pressure is moderate (0.608).,Structural support: scarcity/amenity balance is strong (0.830); fragility/support balance is strong (0.730),Structural brakes: wetlands constraint is moderate (0.639); constraint pressure is moderate (0.608)
40,137,30031,"Gallatin County, Montana",MT,West,advance_with_notes,moderate_market_depth,0.9706568712186691,0.7581468472422392,0.9978392394122731,-0.011391533562112293,0.7260155574762316,0.34899546338302007,0.6895124781069184,0.1025216135673803,2393,126984.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 34.9%, inside the not-hot gate. Market-depth adequacy is moderate (0.690).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.727); site-thesis support is moderate (0.632); optionality is moderate (0.631). Brakes: constraint pressure is moderate (0.582).,Structural support: scarcity/amenity balance is strong (0.727); site-thesis support is moderate (0.632); optionality is moderate (0.631),Structural brakes: constraint pressure is moderate (0.582)
41,13,39013,"Belmont County, Ohio",OH,Midwest,advance,,0.9702247191011235,0.5909908151233977,0.9706136560069144,0.051864908299534086,0.966724286949006,0.28548282566429034,0.8860612888964715,0.0915763569846039,323,64692.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.5%, inside the not-hot gate. Market-depth adequacy is high (0.886).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629). Brakes: constraint pressure is moderate (0.560).,Structural support: optionality is moderate (0.629),Structural brakes: constraint pressure is moderate (0.560)
42,197,37017,"Bladen County, North Carolina",NC,South,review,small_market; negative_wave3_net_support; low_structural_support; heavy_structural_brakes,0.9697925669835783,0.6899461833260693,0.989628349178911,0.000334977571539268,0.7912705272255834,0.18081659105638367,0.8171472430168085,-0.4088130610965992,1725,29777.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 18.1%, inside the not-hot gate. Market-depth adequacy is high (0.817).",Wave 3 support is thin; structural brakes are heavy. Supports: no major structural supports flagged. Brakes: fragility pressure is heavy (0.828); wetlands constraint is heavy (0.784); constraint complexity is heavy (0.748).,Structural support: no major structural supports flagged,Structural brakes: fragility pressure is heavy (0.828); wetlands constraint is heavy (0.784); constraint complexity is heavy (0.748)
43,35,42101,"Philadelphia County, Pennsylvania",PA,Northeast,advance_with_notes,moderate_market_depth,0.9694036300777873,0.5919137267019516,0.9714779602420052,0.04271974659059933,0.9507346585998271,0.27025275437459495,0.47593339018978864,0.2983633005511744,298,1573916.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722). Brakes: wetlands constraint is moderate (0.561).,Structural support: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722),Structural brakes: wetlands constraint is moderate (0.561)
44,151,04011,"Greenlee County, Arizona",AZ,West,review,very_small_market; thin_market_depth,0.9689282627484874,0.700898643655955,0.9917891097666378,-0.004215511076350622,0.7631806395851339,0.06286454957874271,0.31606545734214364,0.2520135943742472,2651,9410.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 6.3%, inside the not-hot gate. Market-depth adequacy is low (0.316).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.709); scarcity/amenity balance is strong (0.700); site-thesis support is strong (0.676). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.709); scarcity/amenity balance is strong (0.700); site-thesis support is strong (0.676),Structural brakes: no major structural brakes flagged
45,78,21071,"Floyd County, Kentucky",KY,South,advance_with_notes,small_market; recent_population_decline; labor_stress,0.9682800345721694,0.679201571613236,0.9887640449438202,-0.0007599528115308317,0.783923941227312,0.26830848995463386,0.8589657883309322,0.1032915192005945,1506,34532.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 26.8%, inside the not-hot gate. Market-depth adequacy is high (0.859).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.630). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.630),Structural brakes: no major structural brakes flagged
46,36,21133,"Letcher County, Kentucky",KY,South,review,very_small_market; moderate_market_depth; recent_population_decline; labor_stress,0.9675885911840968,0.5854898574460019,0.9684528954191876,0.04717604170029412,0.95980985306828,0.0829552819183409,0.5700354607716868,0.1741518766477424,2002,20139.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 8.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.570).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is moderate (0.629). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.629),Structural brakes: no major structural brakes flagged
47,84,42007,"Beaver County, Pennsylvania",PA,Northeast,advance_with_notes,moderate_market_depth,0.9675885911840968,0.635082844892798,0.9809853068280034,0.011622111327715423,0.8470181503889369,0.39436163318211276,0.6741033149784554,0.1077106656067294,130,165540.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 39.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.674).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629); fragility/support balance is moderate (0.612). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.629); fragility/support balance is moderate (0.612),Structural brakes: no major structural brakes flagged
48,113,36081,"Queens County, New York",NY,Northeast,advance_with_notes,moderate_market_depth,0.9669403630077787,0.6092331616021154,0.9762316335350043,0.020402700858079197,0.8833189282627485,0.11309138042773817,0.4779765387842736,0.1004055728201973,2484,2316841.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 11.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.770); site-thesis support is strong (0.724); optionality is moderate (0.646). Brakes: fragility pressure is moderate (0.645); wetlands constraint is moderate (0.609).,Structural support: scarcity/amenity balance is strong (0.770); site-thesis support is strong (0.724); optionality is moderate (0.646),Structural brakes: fragility pressure is moderate (0.645); wetlands constraint is moderate (0.609)
49,133,28027,"Coahoma County, Mississippi",MS,South,review,very_small_market; moderate_market_depth; negative_wave3_net_support; heavy_structural_brakes; recent_population_decline,0.966724286949006,0.5927480441416321,0.9723422644770959,0.0292959113876207,0.916162489196197,0.0012961762799740765,0.5864320433116812,-0.0964749345220763,1529,20105.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 0.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.586).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.645). Brakes: wetlands constraint is heavy (0.777); fragility pressure is moderate (0.664); constraint complexity is moderate (0.567).,Structural support: scarcity/amenity balance is moderate (0.645),Structural brakes: wetlands constraint is heavy (0.777); fragility pressure is moderate (0.664); constraint complexity is moderate (0.567)
50,86,51017,"Bath County, Virginia",VA,South,review,very_small_market; thin_market_depth,0.9659464131374244,0.5909967917550997,0.9710458081244598,0.03177381690733065,0.9200518582541054,0.4419961114711601,0.20944476463168116,0.2374029919931042,1074,4071.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 44.2%, inside the not-hot gate. Market-depth adequacy is low (0.209).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.777); optionality is strong (0.688); site-thesis support is moderate (0.663). Brakes: constraint pressure is moderate (0.580).,Structural support: scarcity/amenity balance is strong (0.777); optionality is strong (0.688); site-thesis support is moderate (0.663),Structural brakes: constraint pressure is moderate (0.580)
51,108,16007,"Bear Lake County, Idaho",ID,West,review,very_small_market; thin_market_depth,0.9651253241140881,0.5659811516105073,0.9628349178910977,0.06734534520572924,0.9857389801210026,0.28839922229423204,0.3045152504083699,0.0354731913384835,2245,6779.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.8%, inside the not-hot gate. Market-depth adequacy is low (0.305).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.852); site-thesis support is moderate (0.645); optionality is moderate (0.608). Brakes: wetlands constraint is heavy (0.702); constraint pressure is moderate (0.650); constraint complexity is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.852); site-thesis support is moderate (0.645); optionality is moderate (0.608),Structural brakes: wetlands constraint is heavy (0.702); constraint pressure is moderate (0.650); constraint complexity is moderate (0.557)
52,45,37153,"Richmond County, North Carolina",NC,South,review,small_market; negative_wave3_net_support; heavy_structural_brakes,0.9636992221261884,0.5668769701245444,0.9636992221261884,0.048813567018669686,0.9636992221261884,0.41250810110174985,0.9573164812127898,-0.0921908018518161,608,41990.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 41.3%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.631). Brakes: wetlands constraint is moderate (0.638); fragility pressure is moderate (0.629); constraint complexity is moderate (0.585).,Structural support: scarcity/amenity balance is moderate (0.631),Structural brakes: wetlands constraint is moderate (0.638); fragility pressure is moderate (0.629); constraint complexity is moderate (0.585)
53,182,28049,"Hinds County, Mississippi",MS,South,review,moderate_market_depth; negative_wave3_net_support; recent_population_decline,0.9630509939498705,0.6352575080632185,0.9814174589455489,0.001230496890812308,0.797752808988764,0.057679844458846406,0.6275939831720352,-0.0454928352788159,1260,211975.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 5.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.628).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.638). Brakes: wetlands constraint is moderate (0.627); fragility pressure is moderate (0.598).,Structural support: optionality is moderate (0.638),Structural brakes: wetlands constraint is moderate (0.627); fragility pressure is moderate (0.598)
54,57,40015,"Caddo County, Oklahoma",OK,South,advance_with_notes,small_market,0.9629213483146069,0.5770647972097463,0.9671564390665515,0.032713241742289116,0.9248055315471045,0.12346079066753078,0.7101882076511765,0.0815755850488756,1047,26337.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 12.3%, inside the not-hot gate. Market-depth adequacy is high (0.710).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.670). Brakes: fragility pressure is moderate (0.580).,Structural support: optionality is strong (0.670),Structural brakes: fragility pressure is moderate (0.580)
55,33,29029,"Camden County, Missouri",MO,Midwest,advance_with_notes,small_market,0.9628781331028522,0.5591235245458869,0.9611063094209161,0.06176221288510609,0.9788245462402766,0.17368762151652625,0.8912146565192852,0.0066626553790813,2087,44135.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.891).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.617). Brakes: wetlands constraint is moderate (0.616).,Structural support: optionality is moderate (0.617),Structural brakes: wetlands constraint is moderate (0.616)
56,12,42097,"Northumberland County, Pennsylvania",PA,Northeast,advance_with_notes,already_high_in_live_ranking,0.9614088159031979,0.550743378960796,0.9580812445980985,0.07709475999135193,0.9913569576490925,0.2427090084251458,0.8128246620345736,0.1289845661824599,50,90027.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 24.3%, inside the not-hot gate. Market-depth adequacy is high (0.813).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626). Brakes: fragility pressure is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626),Structural brakes: fragility pressure is moderate (0.557)
57,132,21013,"Bell County, Kentucky",KY,South,review,very_small_market; moderate_market_depth; recent_population_decline; labor_stress,0.9612791702679343,0.6972074867954562,0.9913569576490925,-0.016442410858889155,0.6905790838375108,0.1049902786779002,0.6701020943668363,0.2026493481970541,2768,23051.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 10.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.670).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.680); scarcity/amenity balance is moderate (0.629); site-thesis support is moderate (0.619). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.680); scarcity/amenity balance is moderate (0.629); site-thesis support is moderate (0.619),Structural brakes: no major structural brakes flagged
58,63,06033,"Lake County, California",CA,West,advance_with_notes,labor_stress,0.9606309420916161,0.590638613750321,0.9697493517718236,0.018735299659557753,0.8785652549697494,0.07841866493843162,0.8633896182144382,0.0513138782090034,1913,67764.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 7.8%, inside the not-hot gate. Market-depth adequacy is high (0.863).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.871); optionality is strong (0.671); site-thesis support is moderate (0.643). Brakes: fragility pressure is moderate (0.663); constraint complexity is moderate (0.572); wetlands constraint is moderate (0.569).,Structural support: scarcity/amenity balance is strong (0.871); optionality is strong (0.671); site-thesis support is moderate (0.643),Structural brakes: fragility pressure is moderate (0.663); constraint complexity is moderate (0.572); wetlands constraint is moderate (0.569)
59,65,42127,"Wayne County, Pennsylvania",PA,Northeast,review,negative_wave3_net_support,0.9602852203975799,0.5628031284626142,0.9619706136560069,0.03910881751238433,0.9451166810717373,0.4471808165910564,0.91740149550034,-0.0964565745341606,939,51419.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 44.7%, inside the not-hot gate. Market-depth adequacy is high (0.917).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is moderate (0.641); constraint complexity is moderate (0.600); wetlands constraint is moderate (0.564).,Structural support: no major structural supports flagged,Structural brakes: constraint pressure is moderate (0.641); constraint complexity is moderate (0.600); wetlands constraint is moderate (0.564)
60,166,19007,"Appanoose County, Iowa",IA,Midwest,review,very_small_market; moderate_market_depth; negative_wave3_net_support,0.959896283491789,0.569771445550505,0.9645635263612792,0.030215868144847995,0.9178910976663786,0.1218405703175632,0.4527073759028053,-0.0568198857066681,1125,12106.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 12.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.453).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.691). Brakes: constraint pressure is moderate (0.641); wetlands constraint is moderate (0.600); constraint complexity is moderate (0.582).,Structural support: scarcity/amenity balance is strong (0.691),Structural brakes: constraint pressure is moderate (0.641); wetlands constraint is moderate (0.600); constraint complexity is moderate (0.582)
61,204,36061,"New York County, New York",NY,Northeast,advance_with_notes,moderate_market_depth,0.9597666378565255,0.7381385144865636,0.9961106309420916,-0.02515861508668537,0.6326707000864304,0.030784186649384315,0.4931985336179595,0.2722632012231489,2886,1660664.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 3.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.493).",Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.758); scarcity/amenity balance is strong (0.747); site-thesis support is strong (0.731). Brakes: wetlands constraint is moderate (0.646).,Structural support: fragility/support balance is strong (0.758); scarcity/amenity balance is strong (0.747); site-thesis support is strong (0.731),Structural brakes: wetlands constraint is moderate (0.646)
62,21,30081,"Ravalli County, Montana",MT,West,advance_with_notes,small_market,0.9589023336214347,0.5713337141114866,0.9658599827139153,0.02391785298022391,0.8962834917891098,0.40343486714193133,0.9769130997449975,0.1245874637050692,2099,48187.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 40.3%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.682); site-thesis support is moderate (0.625); optionality is moderate (0.619). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.682); site-thesis support is moderate (0.625); optionality is moderate (0.619),Structural brakes: no major structural brakes flagged
63,61,16023,"Butte County, Idaho",ID,West,review,very_small_market; thin_market_depth,0.9585998271391529,0.5449363445063011,0.9559204840103717,0.06460509962647869,0.982713915298185,0.4364873622812703,0.18796433526484835,0.324162534601031,1784,2735.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 43.6%, inside the not-hot gate. Market-depth adequacy is low (0.188).",Wave 3 support is strong; structural brakes are light. Supports: optionality is strong (0.729); site-thesis support is strong (0.700); fragility/support balance is strong (0.697). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.729); site-thesis support is strong (0.700); fragility/support balance is strong (0.697),Structural brakes: no major structural brakes flagged
64,48,30063,"Missoula County, Montana",MT,West,advance,,0.9579948141745894,0.5777949700816263,0.9675885911840968,0.017158641838551,0.8716508210890234,0.533700583279326,0.7096121814333467,0.2010702738674933,2086,122546.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 53.4%, inside the not-hot gate. Market-depth adequacy is high (0.710).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.785); optionality is strong (0.671); site-thesis support is moderate (0.650). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.785); optionality is strong (0.671); site-thesis support is moderate (0.650),Structural brakes: no major structural brakes flagged
65,22,42061,"Huntingdon County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.95514261019879,0.5749719063588555,0.9662921348314607,0.013506016447419129,0.8547968885047537,0.2825664290343487,0.9654039848973988,0.2038669092234106,1209,43359.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 28.3%, inside the not-hot gate. Market-depth adequacy is high (0.965).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.752); fragility/support balance is moderate (0.667); optionality is moderate (0.638). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.752); fragility/support balance is moderate (0.667); optionality is moderate (0.638),Structural brakes: no major structural brakes flagged
66,205,35003,"Catron County, New Mexico",NM,West,review,very_small_market; thin_market_depth,0.9545375972342265,0.5909398246368922,0.9701815038893691,0.004848549188516603,0.8137424373379429,0.10110174983797797,0.13893721309084495,0.1065587000088139,2560,3795.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 10.1%, inside the not-hot gate. Market-depth adequacy is low (0.139).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.686); site-thesis support is moderate (0.639); scarcity/amenity balance is moderate (0.623). Brakes: fragility pressure is heavy (0.710); constraint complexity is moderate (0.551).,Structural support: optionality is strong (0.686); site-thesis support is moderate (0.639); scarcity/amenity balance is moderate (0.623),Structural brakes: fragility pressure is heavy (0.710); constraint complexity is moderate (0.551)
67,16,42013,"Blair County, Pennsylvania",PA,Northeast,advance,,0.9540190146931721,0.536002333664391,0.9503025064822818,0.07121975958131155,0.9874675885911841,0.19248217757615035,0.7299763963326438,0.1902300265410224,190,120269.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.2%, inside the not-hot gate. Market-depth adequacy is high (0.730).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is moderate (0.642); fragility/support balance is moderate (0.610). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.642); fragility/support balance is moderate (0.610),Structural brakes: no major structural brakes flagged
68,253,40057,"Harmon County, Oklahoma",OK,South,review,very_small_market; thin_market_depth; recent_population_decline,0.9524200518582541,0.5884686932688918,0.9693171996542783,0.0017337863209669392,0.8003457216940363,0.06740116655865197,0.06088540015333599,0.0376355525889131,669,2315.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 6.7%, inside the not-hot gate. Market-depth adequacy is low (0.061).",Wave 3 support is moderate; structural brakes are moderate. Supports: developability is moderate (0.619). Brakes: fragility pressure is moderate (0.584).,Structural support: developability is moderate (0.619),Structural brakes: fragility pressure is moderate (0.584)
69,46,42051,"Fayette County, Pennsylvania",PA,Northeast,advance_with_notes,recent_population_decline,0.9513396715643907,0.5531716891361986,0.95980985306828,0.017909596022363472,0.8751080380293863,0.2151652624756967,0.7387435414356902,0.2004631095689263,455,123941.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 21.5%, inside the not-hot gate. Market-depth adequacy is high (0.739).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is moderate (0.654); optionality is moderate (0.650); scarcity/amenity balance is moderate (0.633). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is moderate (0.654); optionality is moderate (0.650); scarcity/amenity balance is moderate (0.633),Structural brakes: no major structural brakes flagged
70,251,35023,"Hidalgo County, New Mexico",NM,West,review,very_small_market; thin_market_depth,0.9511668107173725,0.6183418049635157,0.9796888504753674,-0.01602905940432457,0.6944684528954191,0.08457550226830848,0.1178336631826522,0.1899051422996575,2597,3966.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 8.5%, inside the not-hot gate. Market-depth adequacy is low (0.118).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.704); scarcity/amenity balance is strong (0.702); site-thesis support is strong (0.673). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.704); scarcity/amenity balance is strong (0.702); site-thesis support is strong (0.673),Structural brakes: no major structural brakes flagged
71,281,48245,"Jefferson County, Texas",TX,South,review,moderate_market_depth; negative_wave3_net_support; low_structural_support; heavy_structural_brakes,0.9511668107173725,0.5924221312281465,0.9719101123595506,-0.0039208603190165215,0.7644770959377701,0.10758263123784835,0.6273274893355365,-0.4165901779686727,1567,253948.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 10.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.627).",Wave 3 support is moderate; structural brakes are heavy. Supports: scarcity/amenity balance is moderate (0.619). Brakes: fragility pressure is heavy (0.978); wetlands constraint is heavy (0.968); constraint complexity is heavy (0.773).,Structural support: scarcity/amenity balance is moderate (0.619),Structural brakes: fragility pressure is heavy (0.978); wetlands constraint is heavy (0.968); constraint complexity is heavy (0.773)
72,80,21221,"Trigg County, Kentucky",KY,South,review,very_small_market; moderate_market_depth,0.951037165082109,0.551041681161887,0.958513396715644,0.020442608108517,0.8837510803802938,0.008425145819831496,0.5204921058697882,0.2011298446958329,2278,14559.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 0.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.520).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.826); fragility/support balance is strong (0.729); optionality is strong (0.719). Brakes: wetlands constraint is moderate (0.629).,Structural support: scarcity/amenity balance is strong (0.826); fragility/support balance is strong (0.729); optionality is strong (0.719),Structural brakes: wetlands constraint is moderate (0.629)
73,39,26061,"Houghton County, Michigan",MI,Midwest,advance_with_notes,small_market,0.9506482281763181,0.559707250362393,0.9615384615384616,0.013209994760357953,0.8526361279170268,0.3723266364225535,0.8909107266656966,0.153890298220951,188,38041.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 37.2%, inside the not-hot gate. Market-depth adequacy is high (0.891).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.860); fragility/support balance is strong (0.730); site-thesis support is moderate (0.641). Brakes: wetlands constraint is heavy (0.719); constraint pressure is moderate (0.601).,Structural support: scarcity/amenity balance is strong (0.860); fragility/support balance is strong (0.730); site-thesis support is moderate (0.641),Structural brakes: wetlands constraint is heavy (0.719); constraint pressure is moderate (0.601)
74,8,42121,"Venango County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.9492653414001728,0.5264035178521966,0.9468452895419187,0.05595763258770774,0.9710458081244598,0.46014257939079717,0.9846990702029416,0.1634900329855637,132,49476.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.0%, inside the not-hot gate. Market-depth adequacy is high (0.985).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624). Brakes: constraint pressure is moderate (0.600).,Structural support: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624),Structural brakes: constraint pressure is moderate (0.600)
75,131,08091,"Ouray County, Colorado",CO,West,review,very_small_market; thin_market_depth,0.9475367329299913,0.5444231935360369,0.9554883318928262,0.018245471987118764,0.8759723422644771,0.49902786779001945,0.27761593209803137,0.1567362175367975,2303,5197.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 49.9%, inside the not-hot gate. Market-depth adequacy is low (0.278).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.692); optionality is moderate (0.631); site-thesis support is moderate (0.602). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.692); optionality is moderate (0.631); site-thesis support is moderate (0.602),Structural brakes: no major structural brakes flagged
76,162,37131,"Northampton County, North Carolina",NC,South,review,very_small_market; moderate_market_depth; negative_wave3_net_support; low_structural_support; heavy_structural_brakes; recent_population_decline,0.9471910112359551,0.5221455185203324,0.9442523768366465,0.05938010212372486,0.973638720829732,0.12086843810758263,0.5693488790358436,-0.2303336869731828,619,16580.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 12.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.569).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: wetlands constraint is heavy (0.712); fragility pressure is heavy (0.671); constraint complexity is moderate (0.613).,Structural support: no major structural supports flagged,Structural brakes: wetlands constraint is heavy (0.712); fragility pressure is heavy (0.671); constraint complexity is moderate (0.613)
