blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
17,169,37091,"Hertford County, North Carolina",NC,South,review,very_small_market; moderate_market_depth; negative_wave3_net_support; low_structural_support; heavy_structural_brakes,0.9810717372515126,0.6817145208129519,0.9891961970613656,0.026170960599200665,0.907951598962835,0.15132858068697344,0.6143542596549312,-0.3050700100189862,1494,19169.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 15.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.614).",Wave 3 support is thin; structural brakes are heavy. Supports: no major structural supports flagged. Brakes: fragility pressure is heavy (0.737); wetlands constraint is heavy (0.710); constraint complexity is moderate (0.666).,Structural support: no major structural supports flagged,Structural brakes: fragility pressure is heavy (0.737); wetlands constraint is heavy (0.710); constraint complexity is moderate (0.666)
18,49,16019,"Bonneville County, Idaho",ID,West,advance_with_notes,moderate_market_depth,0.9806395851339671,0.6625842000382623,0.9857389801210026,0.03599021002129792,0.9347450302506483,0.13836681788723265,0.696662733952822,0.0599250429343566,2174,133644.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 13.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.697).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.789); optionality is moderate (0.659); site-thesis support is moderate (0.642). Brakes: fragility pressure is moderate (0.595); constraint complexity is moderate (0.566); constraint pressure is moderate (0.555).,Structural support: scarcity/amenity balance is strong (0.789); optionality is moderate (0.659); site-thesis support is moderate (0.642),Structural brakes: fragility pressure is moderate (0.595); constraint complexity is moderate (0.566); constraint pressure is moderate (0.555)
19,152,38041,"Hettinger County, North Dakota",ND,Midwest,review,very_small_market; thin_market_depth; low_structural_support,0.9796888504753674,0.6608954199791621,0.9853068280034573,0.034046638252832835,0.9291270527225584,0.11244329228775113,0.08270773853086821,0.0356812708920367,1825,2419.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.2%, inside the not-hot gate. Market-depth adequacy is low (0.083).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged
20,19,55043,"Grant County, Wisconsin",WI,Midwest,advance,,0.9794727744165945,0.666838743306634,0.9870354364736387,0.02720804079775037,0.9114088159031979,0.5521710952689566,0.977524513772997,0.0651473722051872,236,52330.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 55.2%, inside the not-hot gate. Market-depth adequacy is high (0.978).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.608). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.608),Structural brakes: no major structural brakes flagged
21,2,42031,"Clarion County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.9782195332757131,0.6118032550508549,0.9770959377700951,0.07289087592496318,0.9883318928262749,0.2375243033052495,0.881085089711573,0.2171597191795655,180,36855.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 23.8%, inside the not-hot gate. Market-depth adequacy is high (0.881).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638). Brakes: constraint pressure is moderate (0.576).,Structural support: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638),Structural brakes: constraint pressure is moderate (0.576)
22,55,26053,"Gogebic County, Michigan",MI,Midwest,review,very_small_market; moderate_market_depth; already_high_in_live_ranking,0.978219533275713,0.6447424774189068,0.9822817631806395,0.03813960846587194,0.9416594641313742,0.5220349967595593,0.557052107023218,0.1224241755590345,8,14217.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 52.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.557).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.887); fragility/support balance is strong (0.719); site-thesis support is moderate (0.647). Brakes: wetlands constraint is heavy (0.776); constraint pressure is moderate (0.640).,Structural support: scarcity/amenity balance is strong (0.887); fragility/support balance is strong (0.719); site-thesis support is moderate (0.647),Structural brakes: wetlands constraint is heavy (0.776); constraint pressure is moderate (0.640)
23,20,36033,"Franklin County, New York",NY,Northeast,review,small_market; negative_wave3_net_support,0.9781763180639584,0.6128122142810378,0.9779602420051858,0.06217913682746574,0.9801210025929127,0.49546338302009074,0.945938720848503,-0.0104118839109976,699,47086.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 49.5%, inside the not-hot gate. Market-depth adequacy is high (0.946).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.817); site-thesis support is moderate (0.607). Brakes: constraint pressure is heavy (0.721); wetlands constraint is heavy (0.708); constraint complexity is moderate (0.566).,Structural support: scarcity/amenity balance is strong (0.817); site-thesis support is moderate (0.607),Structural brakes: constraint pressure is heavy (0.721); wetlands constraint is heavy (0.708); constraint complexity is moderate (0.566)
24,30,21019,"Boyd County, Kentucky",KY,South,advance_with_notes,small_market; labor_stress,0.9779170267934313,0.658006501164401,0.9848746758859118,0.028598006918078064,0.9152981849611063,0.11535968891769281,0.96083224127864,0.0240887719446271,643,47777.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.5%, inside the not-hot gate. Market-depth adequacy is high (0.961).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged
25,28,35006,"Cibola County, New Mexico",NM,West,advance_with_notes,small_market; moderate_market_depth,0.9778738115816766,0.6221271175240561,0.9801210025929127,0.046460620074039935,0.9576490924805532,0.34996759559300067,0.649216955862457,0.1704649993789556,784,26686.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.649).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607). Brakes: fragility pressure is moderate (0.633).,Structural support: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607),Structural brakes: fragility pressure is moderate (0.633)
26,7,24001,"Allegany County, Maryland",MD,South,advance_with_notes,already_high_in_live_ranking,0.9773120138288678,0.6016044434441595,0.9753673292999135,0.08274581667492621,0.9948141745894555,0.339598185353208,0.8820301887480312,0.1435444898070478,36,67097.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.0%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616),Structural brakes: no major structural brakes flagged
