display_guarded_residual_rank,current_residual_rank,fips,county,state_abbr,investable_residual_model_score,preboom_classifier_score,total_population,emerging_market_depth_adequacy,wave3_net_support,preboom_prior_momentum_rank_pct,short_thesis,structural_summary
14,20.0,04003,"Cochise County, Arizona",AZ,0.07879535554391404,0.30913028622535604,125773.0,0.7309274673160532,0.1371032178972209,0.31399870382372,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 31.4%, inside the not-hot gate. Market-depth adequacy is high (0.731).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.690); site-thesis support is moderate (0.638). Brakes: fragility pressure is moderate (0.610).
15,21.0,42097,"Northumberland County, Pennsylvania",PA,0.07709475999135193,0.550743378960796,90027.0,0.8128246620345736,0.1289845661824599,0.2427090084251458,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 24.3%, inside the not-hot gate. Market-depth adequacy is high (0.813).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626). Brakes: fragility pressure is moderate (0.557).
16,24.0,17199,"Williamson County, Illinois",IL,0.07390034148512716,0.41582068146465545,67064.0,0.8713118401279016,0.074210726683256,0.3233959818535321,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 32.3%, inside the not-hot gate. Market-depth adequacy is high (0.871).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.826); optionality is moderate (0.641); site-thesis support is moderate (0.620). Brakes: wetlands constraint is moderate (0.658); constraint pressure is moderate (0.570).
17,25.0,22101,"St. Mary Parish, Louisiana",LA,0.07383222570206456,0.7407139231592521,46799.0,0.9765860629757497,-0.2814415363563649,0.12410887880751782,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 12.4%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are heavy. Supports: scarcity/amenity balance is moderate (0.641). Brakes: wetlands constraint is heavy (0.978); fragility pressure is heavy (0.773); constraint complexity is moderate (0.647).
18,26.0,17077,"Jackson County, Illinois",IL,0.07344225136870162,0.26652077522526585,53199.0,0.9824112027994387,-0.0344955123471178,0.28418664938431626,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.4%, inside the not-hot gate. Market-depth adequacy is high (0.982).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.756). Brakes: wetlands constraint is moderate (0.659); constraint pressure is moderate (0.609); constraint complexity is moderate (0.567).
19,28.0,42031,"Clarion County, Pennsylvania",PA,0.07289087592496318,0.6118032550508549,36855.0,0.881085089711573,0.2171597191795655,0.2375243033052495,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 23.8%, inside the not-hot gate. Market-depth adequacy is high (0.881).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638). Brakes: constraint pressure is moderate (0.576).
20,30.0,42013,"Blair County, Pennsylvania",PA,0.07121975958131155,0.536002333664391,120269.0,0.7299763963326438,0.1902300265410224,0.19248217757615035,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.2%, inside the not-hot gate. Market-depth adequacy is high (0.730).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is moderate (0.642); fragility/support balance is moderate (0.610). Brakes: no major structural brakes flagged.
21,31.0,24510,"Baltimore city, Maryland",MD,0.06978659042838646,0.6904100114560183,568271.0,0.5221202771354487,0.285614313956667,0.29261179520414776,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 29.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.522).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666). Brakes: no major structural brakes flagged.
22,36.0,17057,"Fulton County, Illinois",IL,0.0669043562056529,0.35073788124961114,32510.0,0.8328593547447791,0.0549042501047255,0.11795204147764096,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.8%, inside the not-hot gate. Market-depth adequacy is high (0.833).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.628); scarcity/amenity balance is moderate (0.613). Brakes: constraint pressure is moderate (0.571).
23,37.0,39145,"Scioto County, Ohio",OH,0.06599218595762471,0.07826385435278481,71798.0,0.8706749612181329,0.0752376927319545,0.7171095268956578,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 71.7%, inside the not-hot gate. Market-depth adequacy is high (0.871).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.689); optionality is moderate (0.664); site-thesis support is moderate (0.600). Brakes: constraint pressure is moderate (0.631).
24,38.0,36031,"Essex County, New York",NY,0.0657072347805,0.04644297161148486,36744.0,0.9606014305615008,0.0367271755012363,0.6723914452365521,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 67.2%, inside the not-hot gate. Market-depth adequacy is high (0.961).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.872); site-thesis support is moderate (0.634). Brakes: constraint pressure is heavy (0.684); wetlands constraint is heavy (0.675); constraint complexity is moderate (0.560).
25,39.0,42033,"Clearfield County, Pennsylvania",PA,0.06547665138202631,0.6963546423958137,78132.0,0.8299693585813452,0.1950322113039113,0.04115359688917693,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is high (0.830).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.697); optionality is moderate (0.635); fragility/support balance is moderate (0.613). Brakes: constraint pressure is moderate (0.552).
26,40.0,39087,"Lawrence County, Ohio",OH,0.0652758443212466,0.5967492568782681,55829.0,0.9567717436245275,0.1704154739379719,0.38107582631237846,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.1%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631). Brakes: constraint pressure is moderate (0.565).
27,42.0,05051,"Garland County, Arkansas",AR,0.06420591988454462,0.025319561528721366,99902.0,0.7493536771666963,0.0665439385118917,0.6357744653272845,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 63.6%, inside the not-hot gate. Market-depth adequacy is high (0.749).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.808); optionality is moderate (0.658); site-thesis support is moderate (0.647). Brakes: wetlands constraint is moderate (0.601); fragility pressure is moderate (0.559); constraint complexity is moderate (0.551).
28,43.0,29169,"Pulaski County, Missouri",MO,0.06420394984961209,0.04923671891832949,53964.0,0.9895459745332729,0.0157730866765439,0.7310434219053791,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 73.1%, inside the not-hot gate. Market-depth adequacy is high (0.990).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is moderate (0.561); constraint complexity is moderate (0.557).
29,46.0,54045,"Logan County, West Virginia",WV,0.06272454553443446,0.049582883004297786,30560.0,0.7894596216602915,0.3244033719454326,0.7232663642255347,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 72.3%, inside the not-hot gate. Market-depth adequacy is high (0.789).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.711); optionality is strong (0.674); developability is moderate (0.648). Brakes: no major structural brakes flagged.
30,47.0,36033,"Franklin County, New York",NY,0.06217913682746574,0.6128122142810378,47086.0,0.945938720848503,-0.0104118839109976,0.49546338302009074,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 49.5%, inside the not-hot gate. Market-depth adequacy is high (0.946).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.817); site-thesis support is moderate (0.607). Brakes: constraint pressure is heavy (0.721); wetlands constraint is heavy (0.708); constraint complexity is moderate (0.566).
31,48.0,02020,"Anchorage Municipality, Alaska",AK,0.06213842973851086,0.4775466628325494,289600.0,0.5938163330077948,0.2361525037791313,0.35029163966299415,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.594).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.906); fragility/support balance is strong (0.712); optionality is strong (0.701). Brakes: fragility pressure is moderate (0.618).
32,49.0,54029,"Hancock County, West Virginia",WV,0.061869976144951815,0.2945894989755735,28054.0,0.7960581174866075,0.2029615983162467,0.44134802333117307,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 44.1%, inside the not-hot gate. Market-depth adequacy is high (0.796).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.738); scarcity/amenity balance is strong (0.711); optionality is strong (0.676). Brakes: wetlands constraint is moderate (0.579).
33,50.0,29029,"Camden County, Missouri",MO,0.06176221288510609,0.5591235245458869,44135.0,0.8912146565192852,0.0066626553790813,0.17368762151652625,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.891).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.617). Brakes: wetlands constraint is moderate (0.616).
34,51.0,29213,"Taney County, Missouri",MO,0.0616029348455979,0.34026694200033386,56744.0,0.8753635493661502,0.1728580094689453,0.5038885288399222,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 50.4%, inside the not-hot gate. Market-depth adequacy is high (0.875).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.808); optionality is strong (0.682); fragility/support balance is moderate (0.638). Brakes: no major structural brakes flagged.
35,55.0,40031,"Comanche County, Oklahoma",OK,0.06063090651291213,0.42373704211334234,121396.0,0.7379277039443354,-0.0099272137628367,0.5307841866493843,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 53.1%, inside the not-hot gate. Market-depth adequacy is high (0.738).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.641). Brakes: fragility pressure is moderate (0.667).
36,57.0,17183,"Vermilion County, Illinois",IL,0.060568712325151666,0.1818823332706744,71106.0,0.8827400470018691,0.1165214957972939,0.41963707064160727,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 42.0%, inside the not-hot gate. Market-depth adequacy is high (0.883).",Wave 3 support is moderate; structural brakes are light. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.
37,61.0,05125,"Saline County, Arkansas",AR,0.059548046016825285,0.22747563252037126,131252.0,0.7244514659686107,-0.0371487834972856,0.355800388852884,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.6%, inside the not-hot gate. Market-depth adequacy is high (0.724).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: fragility pressure is moderate (0.589).
38,63.0,02170,"Matanuska-Susitna Borough, Alaska",AK,0.05832994393322873,0.27384908007555375,117613.0,0.7429902913525154,0.2582476090563238,0.31270252754374595,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 31.3%, inside the not-hot gate. Market-depth adequacy is high (0.743).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.784); optionality is strong (0.726); fragility/support balance is strong (0.713). Brakes: no major structural brakes flagged.
39,65.0,54049,"Marion County, West Virginia",WV,0.0571353022559442,0.40641439486119324,55649.0,0.9342218773100395,0.207997791296489,0.3833441348023331,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.3%, inside the not-hot gate. Market-depth adequacy is high (0.934).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.665); optionality is moderate (0.634). Brakes: no major structural brakes flagged.
40,66.0,17095,"Knox County, Illinois",IL,0.05630278998644224,0.3196941628385575,48716.0,0.9891577967214756,0.1029681668016586,0.1561892417368762,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 15.6%, inside the not-hot gate. Market-depth adequacy is high (0.989).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.
41,67.0,42065,"Jefferson County, Pennsylvania",PA,0.056289584016789476,0.4809176985368864,43367.0,0.9768408868835001,0.10344321825676,0.10661049902786779,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 10.7%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is moderate (0.650).
42,68.0,42121,"Venango County, Pennsylvania",PA,0.05595763258770774,0.5264035178521966,49476.0,0.9846990702029416,0.1634900329855637,0.46014257939079717,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.0%, inside the not-hot gate. Market-depth adequacy is high (0.985).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is moderate (0.667); fragility/support balance is moderate (0.639); optionality is moderate (0.624). Brakes: constraint pressure is moderate (0.600).
43,69.0,05033,"Crawford County, Arkansas",AR,0.055566583686347294,0.3214549997782239,62258.0,0.9040661903527161,0.048359313090816,0.42482177576150354,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 42.5%, inside the not-hot gate. Market-depth adequacy is high (0.904).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.748); optionality is moderate (0.627). Brakes: fragility pressure is moderate (0.592).
44,70.0,51167,"Russell County, Virginia",VA,0.055494874876193846,0.20875291237800833,25420.0,0.7085678311506589,0.0872665207776771,0.48768632534024625,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 48.8%, inside the not-hot gate. Market-depth adequacy is high (0.709).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.625). Brakes: no major structural brakes flagged.
45,71.0,42073,"Lawrence County, Pennsylvania",PA,0.05533056145036735,0.28525963790074194,84233.0,0.8110838253892846,0.1400452535909302,0.5777705767984446,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 57.8%, inside the not-hot gate. Market-depth adequacy is high (0.811).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is moderate (0.632); optionality is moderate (0.618). Brakes: no major structural brakes flagged.
46,72.0,32005,"Douglas County, Nevada",NV,0.055001225043372855,0.22800087219364035,49564.0,0.9191140249977642,-0.0848973959750294,0.13026571613739468,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 13.0%, inside the not-hot gate. Market-depth adequacy is high (0.919).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.824). Brakes: wetlands constraint is moderate (0.665); constraint pressure is moderate (0.646); constraint complexity is moderate (0.639).
47,73.0,39081,"Jefferson County, Ohio",OH,0.054500227773831796,0.05345418761595418,63900.0,0.9001857677613752,0.1896801928174316,0.6824368114063513,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 68.2%, inside the not-hot gate. Market-depth adequacy is high (0.900).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.669); optionality is moderate (0.653). Brakes: no major structural brakes flagged.
48,74.0,36089,"St. Lawrence County, New York",NY,0.05439409698073447,0.13803197576490778,106198.0,0.8212878029986572,0.025223597098926,0.6471160077770577,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 64.7%, inside the not-hot gate. Market-depth adequacy is high (0.821).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.807). Brakes: wetlands constraint is heavy (0.721); constraint pressure is moderate (0.645).
49,75.0,24023,"Garrett County, Maryland",MD,0.053230314056611695,0.2953150129332741,28393.0,0.8904441987452876,0.0036465662757969,0.32274789371354506,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 32.3%, inside the not-hot gate. Market-depth adequacy is high (0.890).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is heavy (0.674).
50,76.0,37123,"Montgomery County, North Carolina",NC,0.0532178911405223,0.025940268179309584,26364.0,0.7979060988404888,0.1384473716082285,0.7164614387556708,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 71.6%, inside the not-hot gate. Market-depth adequacy is high (0.798).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.681); optionality is moderate (0.666); fragility/support balance is moderate (0.629). Brakes: no major structural brakes flagged.
51,78.0,39013,"Belmont County, Ohio",OH,0.051864908299534086,0.5909908151233977,64692.0,0.8860612888964715,0.0915763569846039,0.28548282566429034,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.5%, inside the not-hot gate. Market-depth adequacy is high (0.886).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629). Brakes: constraint pressure is moderate (0.560).
