batch_id,provider_year_key,attempt_label,census_street,census_city,census_state,census_zip
220084__2023__0064,220084__2023,provider_original,113 ORNC,CONCORD,MA,01742
150015__2023__0065,150015__2023,provider_original,3500 FRANCISCAN WAY,MICHIGAN CITY,IN,46360
100189__2023__0066,100189__2023,provider_original,2801 NORTH STATE ROAD 7,MARGATE,FL,33063
100269__2024__0067,100269__2024,provider_original,13001 STATE ROAD 80,LOXAHATCHEE,FL,33470
140164__2024__0068,140164__2024,provider_original,405 W. JACKSON ST.,CARBONDALE,IL,62902
140164__2024__0069,140164__2024,punctuation_normalized,405 W JACKSON ST,CARBONDALE,IL,62902
140164__2024__0070,140164__2024,street_token_expanded,405 WEST JACKSON STREET,CARBONDALE,IL,62902
264010__2024__0071,264010__2024,provider_original,500 ARSENAL STREET,ST.LOUIS,MO,63119
110192__2024__0072,110192__2024,provider_original,1700 MEDICAL WAY,SNELLVILLE,GA,30278
100224__2024__0073,100224__2024,provider_original,7201 UNIVERSITY DRIVE,TAMARAC,FL,33321
440068__2023__0074,440068__2023,provider_original,1114 MADISON AVENUE,ATHENS,TN,37303
440194__2024__0075,440194__2024,provider_original,355 NEW SHACKLE ISLAND,HENDERSONVILLE,TN,37215
140008__2024__0076,140008__2024,provider_original,8700 WEST NORTH AVENUE,MELROSE PARK,IL,60160
054154__2023__0077,054154__2023,provider_original,455 SILICON VALLEY BLVD,SANN JOSE,CA,95138
054154__2023__0078,054154__2023,street_token_expanded,455 SILICON VALLEY BOULEVARD,SANN JOSE,CA,95138
110023__2023__0079,110023__2023,provider_original,1035 RED BUD ROAD,CALHOUN,GA,30703
460013__2024__0080,460013__2024,provider_original,1000 EAST 100 NORTH,PAYSON,UT,84651
230193__2023__0081,230193__2023,provider_original,1375 NORTH MAIN STREET,LAPEER,MI,48436
440065__2024__0082,440065__2024,provider_original,100 NORTHCREST DRIVE,SPRINGFIELD,TN,37172
450587__2024__0083,450587__2024,provider_original,1501 BURNET DRIVE,BROWNWOOD,TX,76804
190014__2023__0084,190014__2023,provider_original,1125 MARGUERITE STREET,MORGAN CITY,LA,70308
194114__2023__0085,194114__2023,provider_original,500 RUE DE SANTE,LAPLACE,LA,70068
110128__2024__0086,110128__2024,provider_original,1 MEADOWS PARKWAY,VIDALIA,GA,30474
061317__2023__0087,061317__2023,provider_original,501 AIRPORT ROAD,RIFLE,CO,81650
