address_key,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_status,acceptance_issue,candidate_source,queue_row_count,queue_row_ids,entity_names,filing_dates
300 CADMAN PLAZA WEST|BROOKLYN|NY|11201,assign_county,36047,"Kings County, New York",0.92,"Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Kings County, New York (36047) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,census_geographies_addressbatch:parsed_original,1,sec_pit_0126,DT Cloud Star Acquisition Corp,2025-03-31
"110 EAST 40TH STREET, SUITE 803|NEW YORK|NY|10016",assign_county,36061,"New York County, New York",0.92,"Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned New York County, New York (36061) for 2 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,census_geographies_addressbatch:parsed_original,2,sec_pit_0357; sec_pit_0358,Energy Transition Special Opportunities,2025-09-23; 2026-02-04
"17 STATE STREET, 21ST FLOOR|NEW YORK|NY|10004",assign_county,36061,"New York County, New York",0.92,"Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned New York County, New York (36061) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,census_geographies_addressbatch:parsed_original,1,sec_pit_0333,Dragonfly Energy Holdings Corp.,2021-09-23
299 PARK AVENUE|NEW YORK|NY|10171,assign_county,36061,"New York County, New York",0.92,"Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned New York County, New York (36061) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,census_geographies_addressbatch:parsed_original,1,sec_pit_0362,"Eos Energy Enterprises, Inc.",2020-06-26
477 MADISON AVENUE|NEW YORK|NY|10022,assign_county,36061,"New York County, New York",0.92,"Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned New York County, New York (36061) for 1 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,census_geographies_addressbatch:parsed_original,1,sec_pit_0186,"GCT Semiconductor Holding, Inc.",2022-03-18
"1001 S CAPITAL OF TEXAS HWY BUILDING L, SUITE 250|AUSTIN|TX|78746",assign_county,48453,"Travis County, Texas",0.88,"Accepted report-only SEC point-in-time HQ geocode review: census_geographies_addressbatch:parsed_original assigned Travis County, Texas (48453) for 3 queue row(s). Remains pending SEC source-maturity and promotion gates.",accepted,,census_geographies_addressbatch:parsed_original,3,sec_pit_0502; sec_pit_0421; sec_pit_0503,Alussa Energy Acquisition Corp. II,2025-12-19; 2026-03-27; 2026-05-12
