external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
44,100224__2024,100224,2024,HCA FLORIDA WOODMONT HOSPITAL,7201 UNIVERSITY DRIVE,TAMARAC,FL,33321,"7201 UNIVERSITY DRIVE, TAMARAC, FL, 33321",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.4602,accept,12011,"Broward County, Florida",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Broward County, Florida (12011) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: HCA Florida Woodmont Hospital, 7201, North University Drive, Tamarac, Broward County, Florida, 33321, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
45,440068__2023,440068,2023,ATHENS REGIONAL MEDICAL CENTER,1114 MADISON AVENUE,ATHENS,TN,37303,"1114 MADISON AVENUE, ATHENS, TN, 37303",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.408,accept,47107,"McMinn County, Tennessee",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to McMinn County, Tennessee (47107) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Starr Regional Medical Center, 1114, West Madison Avenue, Avalon Heights, Athens, McMinn County, East Tennessee, Tennessee, 37303, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
46,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,355 NEW SHACKLE ISLAND,HENDERSONVILLE,TN,37215,"355 NEW SHACKLE ISLAND, HENDERSONVILLE, TN, 37215",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.4058,hold,47165,"Sumner County, Tennessee",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
47,140008__2024,140008,2024,GOTTLIEB MEMORIAL HOSPITAL,8700 WEST NORTH AVENUE,MELROSE PARK,IL,60160,"8700 WEST NORTH AVENUE, MELROSE PARK, IL, 60160",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.3529,hold,17031,"Cook County, Illinois",0.78,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
48,110023__2023,110023,2023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30703,"1035 RED BUD ROAD, CALHOUN, GA, 30703",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.332,hold,13129,"Gordon County, Georgia",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
49,230193__2023,230193,2023,MCLAREN LAPEER REGION,1375 NORTH MAIN STREET,LAPEER,MI,48436,"1375 NORTH MAIN STREET, LAPEER, MI, 48436",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2886,hold,26087,"Lapeer County, Michigan",0.82,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
50,460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,1000 EAST 100 NORTH,PAYSON,UT,84651,"1000 EAST 100 NORTH, PAYSON, UT, 84651",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2823,hold,49049,"Utah County, Utah",0.78,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: house_number_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
51,450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNET DRIVE,BROWNWOOD,TX,76804,"1501 BURNET DRIVE, BROWNWOOD, TX, 76804",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2815,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
52,440065__2024,440065,2024,NORTHCREST MEDICAL CENTER,100 NORTHCREST DRIVE,SPRINGFIELD,TN,37172,"100 NORTHCREST DRIVE, SPRINGFIELD, TN, 37172",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2585,accept,47147,"Robertson County, Tennessee",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Robertson County, Tennessee (47147) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: TriStar NorthCrest Medical Center, 100, Northcrest Drive, Springfield, Robertson County, Middle Tennessee, Tennessee, 37172, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
53,061317__2023,061317,2023,GRAND RIVER HOSPITAL DISTRICT,501 AIRPORT ROAD,RIFLE,CO,81650,"501 AIRPORT ROAD, RIFLE, CO, 81650",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2572,accept,08045,"Garfield County, Colorado",1.0,openstreetmap_nominatim_point_in_county_external_geocoder,external_geocoder_house_zip_city_state_point_county,"Accepted from strict OSM/Nominatim external geocoder review: returned point maps to Garfield County, Colorado (08045) in local county polygons with house number, ZIP, city/state, and supported result type; confidence 1.0. Result: Grand River Medical Center, 501, Airport Road, Rifle, Garfield County, Colorado, 81650, United States.",codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
54,100320__2024,100320,2024,HCA FLORIDA POINCIANA HOSPITAL,325 CYPRESS PARKWAY,KISSIMMMEE,FL,34758,"325 CYPRESS PARKWAY, KISSIMMMEE, FL, 34758",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2528,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
55,190014__2023,190014,2023,OCHSNER ST. MARY,1125 MARGUERITE STREET,MORGAN CITY,LA,70308,"1125 MARGUERITE STREET, MORGAN CITY, LA, 70308",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2491,hold,22101,"St. Mary Parish, Louisiana",0.78,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: postcode_not_supported; confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
56,110128__2024,110128,2024,MEADOWS REGIONAL MEDICAL CENTER,1 MEADOWS PARKWAY,VIDALIA,GA,30474,"1 MEADOWS PARKWAY, VIDALIA, GA, 30474",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2469,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
57,194114__2023,194114,2023,RIVER PLACE BEHAVIORAL HEALTH,500 RUE DE SANTE,LAPLACE,LA,70068,"500 RUE DE SANTE, LAPLACE, LA, 70068",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2467,hold,22095,"St. John the Baptist Parish, Louisiana",0.88,openstreetmap_nominatim_point_in_county_external_geocoder,,Held by strict OSM/Nominatim external geocoder review: confidence_below_0_90.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
58,170006__2024,170006,2024,VIA CHRISTI HOSPITAL PITTSBURG  INC.,1 MT CARMEL WAY,PITTSBURG,KS,66762,"1 MT CARMEL WAY, PITTSBURG, KS, 66762",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2295,hold,,,,,,Held by strict OSM/Nominatim external geocoder review: no_geocoder_result.,codex_osm_nominatim_external_geocoder_policy,2026-06-05T03:25:02.457641+00:00
