boundary_name,boundary_n,boundary_window,boundary_margin,boundary_side,boundary_review_label,boundary_risk_points,primary_issue,review_action,fips,county_name,state,overall_rank,pred_avg_5yr,fiveyr_interval_width,fiveyr_model_disagreement_abs,confidence,confidence_score,source_confidence_score,source_confidence_band,n_runs_present,std_rank,rank_range,top25_presence_share,top50_presence_share,top100_presence_share,is_stable_top25,is_watchlist_boundary,risk_interval_uncertainty,risk_model_disagreement,risk_source_confidence,risk_run_history_churn,risk_confidence_label,operator_summary
top_25,25,10,-6,inside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,39095,"Lucas County, Ohio",OH,19,0.20664614155674077,0.541410838560139,0.08811690985727494,MEDIUM,0.7841165792689592,77.06666666666668,high,12.0,3.366501646120692,15.0,0.9166666666666666,1.0,1.0,True,False,1,1,0,0,1,rank #19 at top_25 (inside); interval 0.541; model gap 0.088; source confidence 77.1; run std 3.4; run range 15.
top_25,25,10,-3,inside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,42021,"Cambria County, Pennsylvania",PA,22,0.27424406156765097,0.6798895699314418,0.05899204255792834,MEDIUM,0.6958844367795776,77.06666666666668,high,12.0,6.38653887390336,27.0,0.9166666666666666,1.0,1.0,True,False,2,0,0,0,1,rank #22 at top_25 (inside); interval 0.680; model gap 0.059; source confidence 77.1; run std 6.4; run range 27.
top_25,25,10,-2,inside,watch,2,run_history_churn,hold_for_model_source_review_before_policy_change,17041,"Douglas County, Illinois",IL,23,0.21217961286677195,0.5972083885165806,0.05696922044303554,HIGH,0.8131269090062241,77.06666666666668,high,12.0,31.87320999133151,112.0,0.75,0.9166666666666666,0.9166666666666666,True,True,1,0,0,2,0,rank #23 at top_25 (inside); interval 0.597; model gap 0.057; source confidence 77.1; run std 31.9; run range 112.
top_25,25,10,0,inside,watch,2,model_disagreement,hold_for_model_source_review_before_policy_change,17199,"Williamson County, Illinois",IL,25,0.182495454177724,0.4834092067414347,0.1061794061968061,HIGH,0.7927566816979447,77.06666666666668,high,12.0,4.273774855458756,15.0,0.6666666666666666,1.0,1.0,False,False,0,2,0,0,0,rank #25 at top_25 (inside); interval 0.483; model gap 0.106; source confidence 77.1; run std 4.3; run range 15.
top_25,25,10,6,outside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,17115,"Macon County, Illinois",IL,31,0.21629789532754062,0.5706532308378267,0.04799911651081312,MEDIUM,0.7226362433351767,77.06666666666668,high,12.0,4.077841080619483,18.0,0.0833333333333333,1.0,1.0,False,False,1,0,0,0,1,rank #31 at top_25 (outside); interval 0.571; model gap 0.048; source confidence 77.1; run std 4.1; run range 18.
top_25,25,10,7,outside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,55067,"Langlade County, Wisconsin",WI,32,0.2006872513469803,0.6314059586271921,0.03570370354717034,HIGH,0.8687668102396963,68.26666666666668,medium,12.0,20.96895251787675,69.0,0.0,0.75,0.9166666666666666,False,True,1,0,0,1,0,rank #32 at top_25 (outside); interval 0.631; model gap 0.036; source confidence 68.3; run std 21.0; run range 69.
top_25,25,10,9,outside,watch,2,interval_uncertainty,hold_for_model_source_review_before_policy_change,18041,"Fayette County, Indiana",IN,34,0.20270904985059957,0.5711090981640964,0.07248023474195908,HIGH,0.8166057658750556,77.06666666666668,high,12.0,2.5524794837866,9.0,0.0,1.0,1.0,False,False,1,1,0,0,0,rank #34 at top_25 (outside); interval 0.571; model gap 0.072; source confidence 77.1; run std 2.6; run range 9.
top_50,50,12,4,outside,do_not_promote_boundary,7,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,20049,"Elk County, Kansas",KS,54,0.2395743356532385,0.722148929088843,0.0724565220104596,MEDIUM,0.6969763479068609,64.26666666666667,medium,12.0,319.88402254377735,1124.0,0.0,0.1666666666666666,0.75,False,True,2,1,1,2,1,rank #54 at top_50 (outside); interval 0.722; model gap 0.072; source confidence 64.3; run std 319.9; run range 1124.
top_50,50,12,7,outside,do_not_promote_boundary,7,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,51590,"Danville city, Virginia",VA,57,0.22348165322107766,0.7416849612796611,0.11851558320199074,MEDIUM,0.7806087626952922,68.26666666666668,medium,12.0,92.99670082124614,312.0,0.0,0.0,0.75,False,True,2,2,0,2,1,rank #57 at top_50 (outside); interval 0.742; model gap 0.119; source confidence 68.3; run std 93.0; run range 312.
top_50,50,12,-11,inside,do_not_promote_boundary,4,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,36003,"Allegany County, New York",NY,39,0.24422254935519438,0.7246530921777558,0.02061084209647701,HIGH,0.8562105540168995,73.33333333333334,high,12.0,34.133760946658604,119.0,0.0,0.75,0.9166666666666666,False,True,2,0,0,2,0,rank #39 at top_50 (inside); interval 0.725; model gap 0.021; source confidence 73.3; run std 34.1; run range 119.
top_50,50,12,-3,inside,do_not_promote_boundary,4,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,51111,"Lunenburg County, Virginia",VA,47,0.2341221333673933,0.712524456916307,0.08964444823437168,HIGH,0.7999900712251834,68.26666666666668,medium,12.0,33.07876275580067,94.0,0.0,0.6666666666666666,0.8333333333333334,False,True,2,1,0,1,0,rank #47 at top_50 (inside); interval 0.713; model gap 0.090; source confidence 68.3; run std 33.1; run range 94.
top_50,50,12,6,outside,do_not_promote_boundary,4,run_history_churn,block_boundary_promotion_until_uncertainty_reconciled,17105,"Livingston County, Illinois",IL,56,0.18895993270229466,0.6319009629268745,0.05244885311029679,MEDIUM,0.7728442258469631,77.06666666666668,high,12.0,64.66674476721307,229.0,0.0,0.0,0.9166666666666666,False,True,1,0,0,2,1,rank #56 at top_50 (outside); interval 0.632; model gap 0.052; source confidence 77.1; run std 64.7; run range 229.
top_50,50,12,10,outside,do_not_promote_boundary,4,interval_uncertainty,block_boundary_promotion_until_uncertainty_reconciled,20001,"Allen County, Kansas",KS,60,0.22237801495243498,0.6516940382491422,0.02663913405039675,HIGH,0.8407387853861974,77.06666666666668,high,12.0,41.07052323489291,148.0,0.0,0.0,0.9166666666666666,False,True,2,0,0,2,0,rank #60 at top_50 (outside); interval 0.652; model gap 0.027; source confidence 77.1; run std 41.1; run range 148.
top_50,50,12,-12,inside,stable,1,interval_uncertainty,eligible_for_operator_acceptance_only_no_auto_promotion,17083,"Jersey County, Illinois",IL,38,0.1802257453616648,0.5259449671919778,0.022964415407938032,HIGH,0.9060024306378883,77.06666666666668,high,12.0,11.662878172763673,35.0,0.0,0.75,1.0,False,False,1,0,0,0,0,rank #38 at top_50 (inside); interval 0.526; model gap 0.023; source confidence 77.1; run std 11.7; run range 35.
