facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_birthing_friendly_designation,hospital_overall_rating,hospital_overall_rating_footnote,mort_group_measure_count,count_of_facility_mort_measures,count_of_mort_measures_better,count_of_mort_measures_no_different,count_of_mort_measures_worse,mort_group_footnote,safety_group_measure_count,count_of_facility_safety_measures,count_of_safety_measures_better,count_of_safety_measures_no_different,count_of_safety_measures_worse,safety_group_footnote,readm_group_measure_count,count_of_facility_readm_measures,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse,readm_group_footnote,pt_exp_group_measure_count,count_of_facility_pt_exp_measures,pt_exp_group_footnote,te_group_measure_count,count_of_facility_te_measures,te_group_footnote,cms_hgi_fetch_status,cms_hgi_query_url,cms_hgi_result_count
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,(949) 764-4624,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,8,8,1,7,0,,8,7,4,3,0,,11,10,1,9,0,,15,15,,10,10,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=050224&limit=5,1.0
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,(610) 447-2000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,1,,8,7,0,7,0,,8,6,2,2,2,,11,9,1,8,0,,15,15,,10,8,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=390180&limit=5,1.0
220084,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,MIDDLESEX,(978) 369-1400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,8,7,1,6,0,,8,7,1,6,0,,11,9,1,8,0,,15,15,,10,10,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=220084&limit=5,1.0
100269,HCA FLORIDA PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,LOXAHATCHEE,FL,33470,PALM BEACH,(561) 798-3300,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,7,0,7,0,,8,7,2,5,0,,11,6,0,2,4,,15,15,,10,7,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=100269&limit=5,1.0
110192,PIEDMONT EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,SNELLVILLE,GA,30078,GWINNETT,(770) 979-0200,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,7,0,7,0,,8,7,1,6,0,,11,8,0,7,1,,15,15,,10,9,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110192&limit=5,1.0
264010,ST LOUIS FORENSIC TREATMENT CENTER,5400 ARSENAL ST,SAINT LOUIS,MO,63139,ST. LOUIS,(314) 644-8000,Psychiatric,Government - State,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=264010&limit=5,1.0
440194,TRISTAR HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,SUMNER,(615) 338-1000,Acute Care Hospitals,Proprietary,Yes,Y,4,,8,7,0,7,0,,8,7,1,6,0,,11,8,1,7,0,,15,15,,10,9,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=440194&limit=5,1.0
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,COOK,(708) 681-3200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,8,7,0,7,0,,8,5,2,3,0,,11,7,0,4,3,,15,15,,10,8,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=140008&limit=5,1.0
110023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30701,GORDON,(706) 629-2895,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,3,,8,7,0,7,0,,8,5,0,4,1,,11,8,2,6,0,,15,15,,10,8,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110023&limit=5,1.0
100320,HCA FLORIDA POINCIANA HOSPITAL,325 CYPRESS PKWY,KISSIMMEE,FL,34758,OSCEOLA,(407) 530-2000,Acute Care Hospitals,Proprietary,Yes,,2,,8,6,0,6,0,,8,2,1,1,0,,11,5,0,3,2,,15,15,,10,7,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=100320&limit=5,1.0
230193,MCLAREN LAPEER REGION,1375 N MAIN ST,LAPEER,MI,48446,LAPEER,(810) 667-5500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,8,6,0,6,0,,8,5,0,5,0,,11,6,0,5,1,,15,15,,10,8,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=230193&limit=5,1.0
450587,HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNET DR,BROWNWOOD,TX,76801,BROWN,(325) 646-8541,Acute Care Hospitals,Proprietary,Yes,Y,1,,8,6,0,6,0,,8,4,0,4,0,,11,10,1,8,1,,15,15,,10,9,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=450587&limit=5,1.0
110128,MEMORIAL HEALTH MEADOWS HOSPITAL,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,(912) 535-5828,Acute Care Hospitals,Proprietary,Yes,,5,,8,6,0,6,0,,8,3,1,2,0,,11,7,1,6,0,,15,15,,10,9,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110128&limit=5,1.0
460013,MOUNTAIN VIEW HOSPITAL,1000 EAST 100 NORTH,PAYSON,UT,84651,UTAH,(801) 465-7100,Acute Care Hospitals,Proprietary,Yes,Y,5,,8,3,0,3,0,,8,3,1,2,0,,11,6,2,4,0,,15,15,,10,7,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=460013&limit=5,1.0
190014,OCHSNER ST MARY,1125 MARGUERITE STREET,MORGAN CITY,LA,70380,ST. MARY,(985) 384-2200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,8,4,0,4,0,,8,2,0,2,0,,11,5,0,4,1,,15,15,,10,8,,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=190014&limit=5,1.0
170006,"MERCY HOSPITAL PITTSBURG, INC",1 MT CARMEL WAY,PITTSBURG,KS,66762,CRAWFORD,(620) 231-6100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,29,8,6,0,5,1,29,8,2,0,2,0,29,11,10,1,9,0,29,15,10,29,10,8,29,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=170006&limit=5,1.0
194114,RIVER PLACE BEHAVIORAL HEALTH,500 RUE DE SANTE,LAPLACE,LA,70068,ST. JOHN BAPTIST,(985) 303-2327,Psychiatric,Proprietary,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19,found,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=194114&limit=5,1.0
