provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,geocoder_name,geocoder_display_name,attempt_label,attempt_query,candidate_issue
670112__2024,670112,2024,CUMBERLAND SURGICAL HOSPITAL,TX,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,78249,same_city_unresolved_after_census_external_geocoder,accept,48029,"Bexar County, Texas",1.0,Cumberland Surgical Hospital,"Cumberland Surgical Hospital, 5330, North Loop 1604 West, San Antonio, Bexar County, Texas, 78249, United States",address_only,"5330 NORTH LOOP 1604 WEST, SAN ANTONIO, TX, 78249",
343025__2023,343025,2023,CAREPARTNERS REHAB HOSPITAL,NC,68 SWEETEN CREEK ROAD,ASHEVILLE,28803,same_city_unresolved_after_census_external_geocoder,accept,37021,"Buncombe County, North Carolina",1.0,CarePartners Rehabilitation Hospital,"CarePartners Rehabilitation Hospital, 68, Sweeten Creek Road, Biltmore, Biltmore Village, Asheville, Buncombe County, North Carolina, 28803, United States",address_only,"68 SWEETEN CREEK ROAD, ASHEVILLE, NC, 28803",
212002__2024,212002,2024,WESTERN MARYLAND HOSPITAL CENTER,MD,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,21740,same_city_unresolved_after_census_external_geocoder,hold,24043,"Washington County, Maryland",0.82,Western Maryland Hospital Center,"Western Maryland Hospital Center, 1500, Pennsylvania Avenue, Hagerstown, Washington County, Maryland, 21742, United States",address_only,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",postcode_not_supported; confidence_below_0_90
190044__2023,190044,2023,ACADIA GENERAL HOSPITAL,LA,190044,CROWLEY,70526,same_city_unresolved_after_census_external_geocoder,hold,22001,"Acadia Parish, Louisiana",0.6,Acadia General Hospital,"Acadia General Hospital, 1305, Crowley Rayne Highway, Crowley, Acadia Parish, Louisiana, 70546, United States",provider_city_zip,"ACADIA GENERAL HOSPITAL, CROWLEY, LA, 70526",house_number_not_supported; postcode_not_supported; confidence_below_0_90
103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,11595 BURNT MILL ROAD,JACKSONVILLE,32256,same_city_unresolved_after_census_external_geocoder,hold,12031,"Duval County, Florida",0.7,Burnt Mill Road,"Burnt Mill Road, Jacksonville, Duval County, Florida, 32256, United States",address_only,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",house_number_not_supported; confidence_below_0_90
670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,1401 EAST TRINITY MILLS ROAD,CARROLLTON,75007,same_city_unresolved_after_census_external_geocoder,hold,48113,"Dallas County, Texas",0.82,Legent Orthopedic Hospital,"Legent Orthopedic Hospital, 1401, East Trinity Mills Road, New Koreatown, Carrollton, Dallas County, Texas, 75006, United States",address_only,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",postcode_not_supported; confidence_below_0_90
054149__2024,054149,2024,WILLOW ROCK CENTER,CA,22050 FAIRMONT DRIVE,SAN LEANDRO,94578,same_city_unresolved_after_census_external_geocoder,hold,06001,"Alameda County, California",0.7,Fairmont Drive,"Fairmont Drive, San Leandro, Alameda County, California, 94578, United States",address_only,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",house_number_not_supported; confidence_below_0_90
400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,PONCE DE LEON,SAN JUAN,00919,same_city_unresolved_after_census_external_geocoder,hold,72127,San Juan Muno,0.82,Hospital Auxilio Mutuo,"Hospital Auxilio Mutuo, 735, Avenida Juan Ponce de León, Blondet, Hato Rey Sur, Río Piedras, San Juan, Puerto Rico, 00919, United States",provider_address,"AUXILIO MUTUO HOSPITAL, PONCE DE LEON, SAN JUAN, PR, 00919",house_number_not_supported; confidence_below_0_90
400044__2023,400044,2023,SAN LUCAS PONCE,PR,917 AVE TITO CASTRO,PONCE,00733,same_city_unresolved_after_census_external_geocoder,accept,72113,Ponce Muno,1.0,Hospital San Lucas,"Hospital San Lucas, 917, Avenida Tito Castro, La Coroza, Sector Lajes, Machuelo Abajo, Ponce, Puerto Rico, 00733, United States",provider_city_zip,"SAN LUCAS PONCE, PONCE, PR, 00733",
400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,BO. MONACILLO,SAN JUAN,00922,same_city_unresolved_after_census_external_geocoder,hold,72127,San Juan Muno,0.48,Monacillo,"Monacillo, Río Piedras, San Juan, Puerto Rico, 00826, United States",address_only,"BO. MONACILLO, SAN JUAN, PR, 00922",house_number_not_supported; postcode_not_supported; result_type_name_or_road_not_supported; confidence_below_0_90
400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,CENTRO MEDICO,SAN JUAN,00922,same_city_unresolved_after_census_external_geocoder,hold,72127,San Juan Muno,0.48,Centro Médico,"Centro Médico, Calle 9 Sureste, Puerto Nuevo, Río Piedras, San Juan, Puerto Rico, 00927, United States",address_only,"CENTRO MEDICO, SAN JUAN, PR, 00922",house_number_not_supported; postcode_not_supported; result_type_name_or_road_not_supported; confidence_below_0_90
400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,RIO PIEDRAS STATION,SAN JUAN,00928,same_city_unresolved_after_census_external_geocoder,hold,72127,San Juan Muno,0.52,Hospital Municipal de San Juan Dr. Rafael López Nussa,"Hospital Municipal de San Juan Dr. Rafael López Nussa, Plaza Central del Centro Médico, Reparto Metropolitano, Puerto Nuevo, Río Piedras, San Juan, Puerto Rico, 00936, United States",provider_city_zip,"SAN JUAN MUNICIPAL HOSPITAL, SAN JUAN, PR, 00928",house_number_not_supported; postcode_not_supported; confidence_below_0_90
400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,DE DIEGO AVE. #371,RIO PIEDRAS,00923,same_city_unresolved_after_census_external_geocoder,hold,72127,San Juan Muno,0.9,Hospital San Francisco,"Hospital San Francisco, 371, Avenida José de Diego, Victoria, Oriente, Río Piedras, San Juan, Puerto Rico, 00923, United States",provider_city_zip,"HOSPITAL SAN FRANCISCO, RIO PIEDRAS, PR, 00923",city_not_supported
400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,21 #1785,RIO PIEDRAS,00922,same_city_unresolved_after_census_external_geocoder,hold,72127,San Juan Muno,0.68,Hospital Metropolitano de San Juan,"Hospital Metropolitano de San Juan, 1785, Calle Sandalio Enrique Alonso, Urbanización Santiago Iglesias Pantín, Polvorín, Puerto Nuevo, San Juan, Puerto Rico, 00922, United States",provider_city_zip,"HOSPITAL METROPOLITANO, RIO PIEDRAS, PR, 00922",house_number_not_supported; city_not_supported; confidence_below_0_90
400022__2023,400022,2023,HOSPITAL DAMAS,PR,2213 PONCE BY PASS,PONCE,00717,same_city_unresolved_after_census_external_geocoder,accept,72113,Ponce Muno,1.0,Hospital Damas,"Hospital Damas, 2213, Ponce Bypass, Playa, Ponce, Puerto Rico, 00717, United States",provider_city_zip,"HOSPITAL DAMAS, PONCE, PR, 00717",
224045__2023,224045,2023,HOSPITAL FOR BEHAVIORAL MEDICINE,MA,100 CENTURY DR,WORCESTER,01606,same_city_unresolved_after_census_external_geocoder,accept,25027,"Worcester County, Massachusetts",1.0,Hospital for Behavioral Medicine,"Hospital for Behavioral Medicine, 100, Century Drive, Great Brook Valley, Worcester, Worcester County, Massachusetts, 01606, United States",address_only,"100 CENTURY DR, WORCESTER, MA, 01606",
400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,1395 SAN RAFAEL ST. PDA. 20,SAN JUAN,00910,same_city_unresolved_after_census_external_geocoder,hold,,,,,,,,no_geocoder_result
450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,400 W I-635 SUITE 101,IRVING,75063,same_city_unresolved_after_census_external_geocoder,hold,,,,,,,,no_geocoder_result
403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PR,PO BOX 191079,SAN JUAN,00910,same_city_unresolved_after_census_external_geocoder,hold,,,,,,,,no_geocoder_result
