state_abbr,packet_rows,high_priority_rows,same_city_unresolved_after_census_external_geocoder_rows,weak_same_fips_census_context_manual_review_rows,external_geocoder_required_no_local_candidate_rows
PR,5,0,5,0,0
LA,2,2,2,0,0
OK,2,2,2,0,0
TX,2,1,2,0,0
CA,1,1,1,0,0
FL,1,1,1,0,0
MD,1,1,1,0,0
NE,1,1,0,1,0
NV,1,1,1,0,0
VT,1,1,1,0,0
WV,1,1,1,0,0
