triage_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,triage_priority,provider_volume_score,corrected_address,nppes_organization_name,nppes_other_names,nppes_status,nppes_taxonomy,nppes_location_address,nppes_location_address_2,nppes_location_city,nppes_location_state,nppes_location_postal_code,manual_fips,manual_county_name,authority_kind,authority_evidence_score,authority_evidence_checks,reviewer_decision,authority_review_issue,prior_osm_fips,prior_osm_county_name,prior_osm_confidence,prior_osm_candidate_issue,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_confidence
1,400115__2023,400115,2023,HOSPITAL WILMA N VAZQUEZ,PR,#2 KM 39.5,VEGA BAJA,00693,P2,0.2101,"Carr. Num. 2 Km. 39.5, Vega Baja, PR 00693",,,,,,,,,,72145,Vega Baja Muno,provider_site_census_county_equivalent,0.8800,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; prior_osm_candidate_same_fips; provider_site_county_reference_used_without_nppes,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,72145,Vega Baja Muno,0.78,house_number_not_supported; confidence_below_0_90,72143,Vega Alta Muno,Match,Non_Exact,"39 CLL 5, VEGA BAJA, PR, 00693",0.86
2,480002__2023,480002,2023,GOV. JUAN F. LUIS HOSPITAL,VI,4007 EAST DIAMOND RUBY,CHRISTIANSTED,00820,P2,0.204,"4007 Estate Diamond Ruby, Christiansted, St. Croix VI 00821",GOVERNOR JUAN F. LUIS HOSPITAL & MEDICAL CENTER,,A,General Acute Care Hospital,#4007 ESTATE DIAMOND RUBY,,"CHRISTIANSTED, ST. CROIX",VI,008214421,78010,St. Croix Island,nppes_provider_site_census_county_equivalent,1.0000,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; nppes_npi_found; nppes_active; nppes_state_matches_provider; nppes_zip_prefix_support,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,,,0.68,geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; confidence_below_0_90,,,,,,
3,224039__2023,224039,2023,HAVERHILL PAVILION,MA,76 SUMMER STREED,HAVERHILL,01832,P2,0.1522,"76 Summer St, Haverhill, MA 01830",,,,,,,,,,25009,"Essex County, Massachusetts",provider_site_municipal_county_reference,0.8000,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; provider_site_county_reference_used_without_nppes,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,,,,no_geocoder_result,,,,,,
4,403027__2023,403027,2023,MULTY MEDICAL FACILITIES,PR,MUNOZ RIVERA AVENUE #402,SAN JUAN PR 00918,00918,P2,0.1222,"402 Munoz Rivera Ave, San Juan, PR 00918",MULTY MEDICAL FACILITIES CORP,MULTY MEDICAL PHYSICAL REHABILITATION HOSPITAL,A,Rehabilitation Hospital,402 MUNOZ RIVERA AVE,URB. EL VEDADO,SAN JUAN,PR,009183310,72127,San Juan Muno,nppes_census_county_equivalent,1.0000,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; prior_osm_candidate_same_fips; nppes_npi_found; nppes_active; nppes_state_matches_provider; nppes_zip_prefix_support,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,72127,San Juan Muno,0.78,city_not_supported; confidence_below_0_90,,,,,,
5,400122__2024,400122,2024,PROFESSIONAL HOSPITAL,PR,AVE LAS CUMBRES,GUAYNABO,00970,P2,0.1086,"Ave Las Cumbres, Street 199 Km 1.2, Guaynabo, PR 00969",PROFESSIONAL HOSPITAL GUAYNABO INC,,A,General Acute Care Hospital,AVE LAS CUMBRES,STREET 199 KM 1.2,GUAYNABO,PR,009690000,72061,Guaynabo Muno,nppes_provider_site_census_county_equivalent,1.0000,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; prior_osm_candidate_same_fips; nppes_npi_found; nppes_active; nppes_state_matches_provider; nppes_zip_prefix_support,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,72061,Guaynabo Muno,0.6,house_number_not_supported; postcode_not_supported; confidence_below_0_90,,,,,,
6,400137__2023,400137,2023,DOCTORS CENTER HOSPITAL OH-DORADO,PR,RD 696 INTERSEC  EFRON AVE  BO HIGUI,DORADO,00646,P2,0.1072,"Road 696 Interseccion Ave Efron, Bo Higuillar, Dorado, PR 00646",SHC OWNER LLC,DOCTORS' CENTER HOSPITAL - ORLANDO HEALTH - DORADO,A,General Acute Care Hospital,ROAD 696 INTERSECCION,AVE EFRON BO HIGUILLAR,DORADO,PR,00646,72051,Dorado Muno,nppes_provider_site_census_county_equivalent,1.0000,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; nppes_npi_found; nppes_active; nppes_state_matches_provider; nppes_zip_prefix_support,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,,,,no_geocoder_result,,,,,,
7,400012__2024,400012,2024,HOSPITAL I GONZALEZ MARTINEZ,PR,CENTRO MEDICO,PO BOX 191811 SAN JUAN,00919,P2,0.0858,"Bo Monacillos 150 Ave Americo Miranda, Centro Medico, San Juan, PR 00935",LIGA PUERTORRIQUENA CONTRA EL CANCER,HOSPITAL ONCOLOGICO DR. ISSAC GONZALEZ MARTINEZ,A,Special Hospital,BO MONACILLOS 150 AVE AMERICO MIRANDA,AREA CENTRO MEDICO METROPOLITANO,SAN JUAN,PR,009350001,72127,San Juan Muno,nppes_provider_site_census_county_equivalent,1.0000,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; nppes_npi_found; nppes_active; nppes_state_matches_provider; nppes_zip_prefix_support,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,,,,no_geocoder_result,,,,,,
8,400010__2023,400010,2023,CASTANER HOSPITAL,PR,PO BOX 1003,CASTANER,00631,P2,0.0,"Carr. 135 Km. 4.5, Castaner, Lares, PR 00631",,,,,,,,,,72081,Lares Muno,public_health_directory_census_county_equivalent,0.8800,provider_or_nppes_name_support; provider_or_authority_city_support; expected_fips_state_matches_provider_state; two_or_more_authoritative_sources; prior_osm_candidate_same_fips; provider_site_county_reference_used_without_nppes,accept,Official provider/NPPES evidence and official county-equivalent references support this county assignment.,72081,Lares Muno,0.64,house_number_not_supported; city_not_supported; confidence_below_0_90,,,,,,
