spotcheck_priority,spotcheck_reason,recommended_action,spotcheck_acceptance_status,spotcheck_acceptance_evidence,spotcheck_accepted,normalized_business_street,normalized_snapshot_street,snapshot_token_coverage,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,business_street,business_city,business_state,business_zip,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,fips,county_name,geocode_confidence,address_key
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,36743 APPLE INC CALIFORNIA 94 2404110 1 APPLE PARK WAY,1 APPLE PARK WAY,1.0,sec_pit_0033,Apple Inc.,AAPL,2025-10-31,10-K,0000320193-25-000079,36743 Apple Inc. California 94-2404110 One Apple Park Way,Cupertino,CA,95014,ONE APPLE PARK WAY,CUPERTINO,CA,95014,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0000320193/000032019325000079/aapl-20250927.htm,06085,Santa Clara County,0.98,36743 APPLE INC. CALIFORNIA 94-2404110 ONE APPLE PARK WAY|CUPERTINO|CA|95014
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,36743 APPLE INC CALIFORNIA 94 2404110 1 APPLE PARK WAY,1 APPLE PARK WAY,1.0,sec_pit_0232,Apple Inc.,AAPL,2026-05-01,10-Q,0000320193-26-000013,36743 Apple Inc. California 94-2404110 One Apple Park Way,Cupertino,CA,95014,ONE APPLE PARK WAY,CUPERTINO,CA,95014,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0000320193/000032019326000013/aapl-20260328.htm,06085,Santa Clara County,0.98,36743 APPLE INC. CALIFORNIA 94-2404110 ONE APPLE PARK WAY|CUPERTINO|CA|95014
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,4 GATEHALL DR STE 110,8 SYLVAN WAY,0.0,sec_pit_0036,"B&G Foods, Inc.",BGS,2006-03-07,10-K,0001104659-06-014414,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,8 SYLVAN WAY,PARSIPPANY,NJ,07054,34027,Morris County,data/raw/sec_edgar_hq/filing_documents/CIK0001278027/000110465906014414/a06-5925_110k.htm,34027,Morris County,1.0,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,4 GATEHALL DR STE 110,8 SYLVAN WAY,0.0,sec_pit_0037,"B&G Foods, Inc.",BGS,2007-03-08,10-K,0001104659-07-017413,"Four Gatehall Drive, Suite 110",Parsippany,NJ,07054,8 SYLVAN WAY,PARSIPPANY,NJ,07054,34027,Morris County,data/raw/sec_edgar_hq/filing_documents/CIK0001278027/000110465907017413/a07-5909_110k.htm,34027,Morris County,1.0,"FOUR GATEHALL DRIVE, SUITE 110|PARSIPPANY|NJ|07054"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,8 TH FL,12100 WILSHIRE BLVD 8TH FL,0.0,sec_pit_0237,BARFRESH FOOD GROUP INC.,BRFH,2026-05-14,10-Q,0001493152-26-023106,8 th Floor,Los Angeles,CA,90025,"12100 WILSHIRE BOULEVARD, 8TH FLOOR,",LOS ANGELES,CA,90025,06037,Los Angeles County,data/raw/sec_edgar_hq/filing_documents/CIK0001487197/000149315226023106/form10-q.htm,06037,Los Angeles County,1.0,8 TH FLOOR|LOS ANGELES|CA|90025
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_parsed_street_embedded_in_snapshot,parsed filing street appears inside the snapshot street text,True,330 CLEMATIS ST STE 217,3330 CLEMATIS ST STE 217,0.75,sec_pit_0259,Blue Star Foods Corp.,BSFC,2018-05-01,10-Q,0001493152-18-006055,"330 Clematis Street, Suite 217",West Palm Beach,FL,33401,3330 CLEMATIS STREET SUITE 217,WEST PALM BEACH,FL,33401,12099,Palm Beach County,data/raw/sec_edgar_hq/filing_documents/CIK0001730773/000149315218006055/form10-q.htm,12099,Palm Beach County,0.95,"330 CLEMATIS STREET, SUITE 217|WEST PALM BEACH|FL|33401"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,24960 COVENANT TRANSPORTATION GROUP INC NEVADA 88 0320154 OR ORGANIZATION 400 BIRMINGHAM HWY,400 BIRMINGHAM HWY,1.0,sec_pit_0277,"COVENANT LOGISTICS GROUP, INC.",CVLG,2011-08-12,10-Q,0001008886-11-000094,"24960 COVENANT TRANSPORTATION GROUP, INC. Nevada 88-0320154 or organization) 400 Birmingham Hwy",. Chattanooga,TN,37419,400 BIRMINGHAM HIGHWAY,CHATTANOOGA,TN,37419,47065,Hamilton County,data/raw/sec_edgar_hq/filing_documents/CIK0000928658/000100888611000094/form10q.htm,47065,Hamilton County,1.0,"24960 COVENANT TRANSPORTATION GROUP, INC. NEVADA 88-0320154 OR ORGANIZATION) 400 BIRMINGHAM HWY|. CHATTANOOGA|TN|37419"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,24960 COVENANT TRANSPORTATION GROUP INC NEVADA 88 0320154 400 BIRMINGHAM HWY,400 BIRMINGHAM HWY,1.0,sec_pit_0082,"COVENANT LOGISTICS GROUP, INC.",CVLG,2012-03-09,10-K,0001008886-12-000041,"24960 COVENANT TRANSPORTATION GROUP, INC. Nevada 88-0320154 400 Birmingham Hwy",. Chattanooga,TN,37419,400 BIRMINGHAM HIGHWAY,CHATTANOOGA,TN,37419,47065,Hamilton County,data/raw/sec_edgar_hq/filing_documents/CIK0000928658/000100888612000041/form10k.htm,47065,Hamilton County,1.0,"24960 COVENANT TRANSPORTATION GROUP, INC. NEVADA 88-0320154 400 BIRMINGHAM HWY|. CHATTANOOGA|TN|37419"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,42192 COVENANT LOGISTICS GROUP INC NEVADA 88 0320154 400 BIRMINGHAM HWY,400 BIRMINGHAM HWY,1.0,sec_pit_0083,"COVENANT LOGISTICS GROUP, INC.",CVLG,2026-02-27,10-K,0001437749-26-006086,"42192 COVENANT LOGISTICS GROUP, INC. Nevada 88-0320154 400 Birmingham Hwy",. Chattanooga,TN,37419,400 BIRMINGHAM HIGHWAY,CHATTANOOGA,TN,37419,47065,Hamilton County,data/raw/sec_edgar_hq/filing_documents/CIK0000928658/000143774926006086/cvti20251231_10k.htm,47065,Hamilton County,1.0,"42192 COVENANT LOGISTICS GROUP, INC. NEVADA 88-0320154 400 BIRMINGHAM HWY|. CHATTANOOGA|TN|37419"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,42192 COVENANT LOGISTICS GROUP INC NEVADA 88 0320154 OR ORGANIZATION 400 BIRMINGHAM HWY,400 BIRMINGHAM HWY,1.0,sec_pit_0278,"COVENANT LOGISTICS GROUP, INC.",CVLG,2026-05-07,10-Q,0001437749-26-015445,"42192 COVENANT LOGISTICS GROUP, INC. Nevada 88-0320154 or organization) 400 Birmingham Hwy",. Chattanooga,TN,37419,400 BIRMINGHAM HIGHWAY,CHATTANOOGA,TN,37419,47065,Hamilton County,data/raw/sec_edgar_hq/filing_documents/CIK0000928658/000143774926015445/cvti20260331_10q.htm,47065,Hamilton County,1.0,"42192 COVENANT LOGISTICS GROUP, INC. NEVADA 88-0320154 OR ORGANIZATION) 400 BIRMINGHAM HWY|. CHATTANOOGA|TN|37419"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,35249 THE CHEFS WAREHOUSE INC DELAWARE 20 3031526 100 E RIDGE RD,100 E RIDGE RD,1.0,sec_pit_0283,"Chefs' Warehouse, Inc.",CHEF,2011-09-09,10-Q,0000950123-11-083751,"35249 THE CHEFS’ WAREHOUSE, INC. Delaware 20-3031526 100 East Ridge Road",Ridgefield,CT,06877,100 EAST RIDGE ROAD,RIDGEFIELD,CT,06877,09190,Western Connecticut Planning Region,data/raw/sec_edgar_hq/filing_documents/CIK0001517175/000095012311083751/g27958e10vq.htm,09190,Western Connecticut Planning Region,1.0,"35249 THE CHEFS’ WAREHOUSE, INC. DELAWARE 20-3031526 100 EAST RIDGE ROAD|RIDGEFIELD|CT|06877"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,accepted_snapshot_street_embedded_in_parse,snapshot street appears inside the parsed filing street text,True,35249 THE CHEFS WAREHOUSE INC DELAWARE 20 3031526 IDENTIFICATION NO 100 E RIDGE RD,100 E RIDGE RD,1.0,sec_pit_0088,"Chefs' Warehouse, Inc.",CHEF,2012-03-29,10-K,0001193125-12-139054,"35249 THE CHEFS’ WAREHOUSE, INC. Delaware 20-3031526 Identification No.) 100 East Ridge Road",Ridgefield,CT,06877,100 EAST RIDGE ROAD,RIDGEFIELD,CT,06877,09190,Western Connecticut Planning Region,data/raw/sec_edgar_hq/filing_documents/CIK0001517175/000119312512139054/d267564d10k.htm,09190,Western Connecticut Planning Region,1.0,"35249 THE CHEFS’ WAREHOUSE, INC. DELAWARE 20-3031526 IDENTIFICATION NO.) 100 EAST RIDGE ROAD|RIDGEFIELD|CT|06877"
high,same city/state/ZIP reuse but street number or street text differs,operator_spot_check_before_source_promotion,operator_review_required_street_mismatch_same_city_zip,street text or number differs enough that same city/state/ZIP is not enough for source-promotion review,False,700 MILAM ST STE 800,845 TEXAS AVE STE 1250,0.0,sec_pit_0285,"Cheniere Energy Partners, L.P.",CQP,2007-05-09,10-Q,0001193125-07-106387,"700 Milam Street, Suite 800",Houston,TX,77002,845 TEXAS AVENUE SUITE 1250,HOUSTON,TX,77002,48201,Harris County,data/raw/sec_edgar_hq/filing_documents/CIK0001383650/000119312507106387/d10q.htm,48201,Harris County,1.0,"700 MILAM STREET, SUITE 800|HOUSTON|TX|77002"
