cms_provider_number,fiscal_year,provider_year_key,npi,nppes_query_url,nppes_fetch_status,nppes_result_count,nppes_organization_name,nppes_other_names,nppes_status,nppes_taxonomy,nppes_location_address,nppes_location_address_2,nppes_location_city,nppes_location_state,nppes_location_postal_code,nppes_location_telephone
480002,2023,480002__2023,1972503647,https://npiregistry.cms.hhs.gov/api/?number=1972503647&version=2.1,found,1,GOVERNOR JUAN F. LUIS HOSPITAL & MEDICAL CENTER,,A,General Acute Care Hospital,#4007 ESTATE DIAMOND RUBY,,"CHRISTIANSTED, ST. CROIX",VI,008214421,340-778-6311
403027,2023,403027__2023,1891120648,https://npiregistry.cms.hhs.gov/api/?number=1891120648&version=2.1,found,1,MULTY MEDICAL FACILITIES CORP,MULTY MEDICAL PHYSICAL REHABILITATION HOSPITAL,A,Rehabilitation Hospital,402 MUNOZ RIVERA AVE,URB. EL VEDADO,SAN JUAN,PR,009183310,787-705-8677
400122,2024,400122__2024,1922254952,https://npiregistry.cms.hhs.gov/api/?number=1922254952&version=2.1,found,1,PROFESSIONAL HOSPITAL GUAYNABO INC,,A,General Acute Care Hospital,AVE LAS CUMBRES,STREET 199 KM 1.2,GUAYNABO,PR,009690000,787-708-6560
400137,2023,400137__2023,1194480806,https://npiregistry.cms.hhs.gov/api/?number=1194480806&version=2.1,found,1,SHC OWNER LLC,DOCTORS' CENTER HOSPITAL - ORLANDO HEALTH - DORADO,A,General Acute Care Hospital,ROAD 696 INTERSECCION,AVE EFRON BO HIGUILLAR,DORADO,PR,00646,787-625-5050
400012,2024,400012__2024,1407852338,https://npiregistry.cms.hhs.gov/api/?number=1407852338&version=2.1,found,1,LIGA PUERTORRIQUENA CONTRA EL CANCER,HOSPITAL ONCOLOGICO DR. ISSAC GONZALEZ MARTINEZ,A,Special Hospital,BO MONACILLOS 150 AVE AMERICO MIRANDA,AREA CENTRO MEDICO METROPOLITANO,SAN JUAN,PR,009350001,787-763-4149
