triage_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,triage_priority,provider_volume_score,facility_id,facility_name,address,citytown,state,zip_code,countyparish,cms_hgi_fips,cms_hgi_candidate_fips,cms_hgi_county_name,cms_hgi_address_score,cms_hgi_address_checks,reviewer_decision,cms_hgi_review_issue,prior_osm_fips,prior_osm_county_name,prior_osm_confidence,prior_osm_candidate_issue,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_confidence,cms_hgi_query_url
1,050224__2023,050224,2023,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,NEWPORT BEACH,92658,P0,1.0,050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,06059,06059,"Orange County, California",0.8800,state_match; city_match; cms_zip_available; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,06059,"Orange County, California",0.64,house_number_not_supported; postcode_not_supported; confidence_below_0_90,06059,"Orange County, California",Match,Non_Exact,"1 HOAG DR, NEWPORT BEACH, CA, 92663",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=050224&limit=5
2,390180__2023,390180,2023,CROZER CHESTER MEDICAL CENTER,PA,ONE MEDICAL CENTER BLVD.,UPLAND,19013,P0,1.0,390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,42045,42045,"Delaware County, Pennsylvania",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,42045,"Delaware County, Pennsylvania",0.7,house_number_not_supported; confidence_below_0_90,42045,"Delaware County, Pennsylvania",Match,Non_Exact,"1 MEDICAL CENTER BLVD, CHESTER, PA, 19013",0.86,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=390180&limit=5
3,220084__2023,220084,2023,EMERSON HOSPITAL,MA,113 ORNC,CONCORD,01742,P0,0.9569,220084,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,MIDDLESEX,25017,25017,"Middlesex County, Massachusetts",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,25017,"Middlesex County, Massachusetts",0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=220084&limit=5
4,100269__2024,100269,2024,HCA FLORIDA PALMS WEST HOSPITAL,FL,13001 STATE ROAD 80,LOXAHATCHEE,33470,P0,0.8782,100269,HCA FLORIDA PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,LOXAHATCHEE,FL,33470,PALM BEACH,12099,12099,"Palm Beach County, Florida",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=100269&limit=5
5,110192__2024,110192,2024,PIEDMONT EASTSIDE MEDICAL CENTER,GA,1700 MEDICAL WAY,SNELLVILLE,30278,P0,0.7441,110192,PIEDMONT EASTSIDE MEDICAL CENTER,1700 MEDICAL WAY,SNELLVILLE,GA,30078,GWINNETT,13135,13135,"Gwinnett County, Georgia",0.8800,state_match; city_match; cms_zip_available; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,13135,"Gwinnett County, Georgia",0.82,postcode_not_supported; confidence_below_0_90,13135,"Gwinnett County, Georgia",Match,Non_Exact,"1700 MEDICAL WAY, SNELLVILLE, GA, 30078",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110192&limit=5
6,264010__2024,264010,2024,ST. LOUIS FORENSIC TREATMENT CENTER,MO,500 ARSENAL STREET,ST.LOUIS,63119,P0,0.6048,264010,ST LOUIS FORENSIC TREATMENT CENTER,5400 ARSENAL ST,SAINT LOUIS,MO,63139,ST. LOUIS,29510,29189;29510,"St. Louis city, Missouri",0.5000,state_match; city_differs; cms_zip_available; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,29510,"St. Louis city, Missouri",0.64,postcode_not_supported; city_not_supported; confidence_below_0_90,29510,"St. Louis city, Missouri",Match,Non_Exact,"500 ARSENAL ST, SAINT LOUIS, MO, 63118",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=264010&limit=5
7,440194__2024,440194,2024,TRISTAR HENDERSONVILLE MEDICAL CENTE,TN,355 NEW SHACKLE ISLAND,HENDERSONVILLE,37215,P0,0.5467,440194,TRISTAR HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,SUMNER,47165,47165,"Sumner County, Tennessee",0.8800,state_match; city_match; cms_zip_available; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,47165,"Sumner County, Tennessee",0.82,postcode_not_supported; confidence_below_0_90,47165,"Sumner County, Tennessee",Match,Non_Exact,"355 NEW SHACKLE ISLAND RD, HENDERSONVILLE, TN, 37075",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=440194&limit=5
8,140008__2024,140008,2024,GOTTLIEB MEMORIAL HOSPITAL,IL,8700 WEST NORTH AVENUE,MELROSE PARK,60160,P0,0.3827,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,COOK,17031,17031,"Cook County, Illinois",0.8200,state_match; city_match; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,17031,"Cook County, Illinois",0.78,house_number_not_supported; confidence_below_0_90,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=140008&limit=5
9,110023__2023,110023,2023,ADVENTHEALTH GORDON,GA,1035 RED BUD ROAD,CALHOUN,30703,P0,0.3601,110023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30701,GORDON,13129,13129,"Gordon County, Georgia",0.8800,state_match; city_match; cms_zip_available; street_match; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,13129,"Gordon County, Georgia",0.82,postcode_not_supported; confidence_below_0_90,13129,"Gordon County, Georgia",Match,Non_Exact,"1035 RED BUD RD NE, CALHOUN, GA, 30701",0.76,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=110023&limit=5
10,100320__2024,100320,2024,HCA FLORIDA POINCIANA HOSPITAL,FL,325 CYPRESS PARKWAY,KISSIMMMEE,34758,P0,0.3405,100320,HCA FLORIDA POINCIANA HOSPITAL,325 CYPRESS PKWY,KISSIMMEE,FL,34758,OSCEOLA,12097,12097,"Osceola County, Florida",0.6200,state_match; city_differs; zip_match; cms_street_available; cms_county_present,accept,Official CMS HGI Facility ID row provides county/parish and state-supported address evidence.,,,,no_geocoder_result,,,,,,,https://data.cms.gov/provider-data/api/1/datastore/query/xubh-q36u/0?conditions%5B0%5D%5Bproperty%5D=facility_id&conditions%5B0%5D%5Boperator%5D=%3D&conditions%5B0%5D%5Bvalue%5D=100320&limit=5
