external_manual_rank,provider_year_key,cms_provider_number,fiscal_year,provider_name,street_address,city,state_abbr,zip5,geocoder_query,external_manual_lane,review_priority,review_issue,provider_volume_score,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
50,054154__2023,054154,2023,SAN JOSE BEHAVIORAL HEALTH,455 SILICON VALLEY BLVD,SANN JOSE,CA,95138,"455 SILICON VALLEY BLVD, SANN JOSE, CA, 95138",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.3173,accept,06085,"Santa Clara County, California",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Santa Clara County, California (06085) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 455 SILICON VALLEY BLVD, SAN JOSE, CA, 95138.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
51,460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,1000 EAST 100 NORTH,PAYSON,UT,84651,"1000 EAST 100 NORTH, PAYSON, UT, 84651",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2839,hold,49049,"Utah County, Utah",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: street_direction_conflict; street_or_route_support_missing.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
52,230193__2023,230193,2023,MCLAREN LAPEER REGION,1375 NORTH MAIN STREET,LAPEER,MI,48436,"1375 NORTH MAIN STREET, LAPEER, MI, 48436",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2786,hold,26087,"Lapeer County, Michigan",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
53,450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,1501 BURNET DRIVE,BROWNWOOD,TX,76804,"1501 BURNET DRIVE, BROWNWOOD, TX, 76804",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2717,hold,48049,"Brown County, Texas",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
55,190014__2023,190014,2023,OCHSNER ST. MARY,1125 MARGUERITE STREET,MORGAN CITY,LA,70308,"1125 MARGUERITE STREET, MORGAN CITY, LA, 70308",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.2505,hold,22101,"St. Mary Parish, Louisiana",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
63,524042__2023,524042,2023,MIRAMOUNT BEHAVIORAL HEALTH,3169 DEMMING WAY,MIDDLETON,WI,53562,"3169 DEMMING WAY, MIDDLETON, WI, 53562",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.1718,accept,55025,"Dane County, Wisconsin",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Dane County, Wisconsin (55025) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 3169 DEMING WAY, MIDDLETON, WI, 53562.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
69,230100__2024,230100,2024,ASCENSION ST. JOSEPH HOSPITAL,200 HEMLOCK ST,TAWAS,MI,48764,"200 HEMLOCK ST, TAWAS, MI, 48764",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.1258,hold,26069,"Iosco County, Michigan",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
71,231325__2024,231325,2024,MYMICHIGAN MEDICAL CENTER GLADWIN,515 QUATER STREET,GLADWIN,MI,48624,"515 QUATER STREET, GLADWIN, MI, 48624",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.1012,accept,26051,"Gladwin County, Michigan",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Gladwin County, Michigan (26051) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 515 QUARTER ST, GLADWIN, MI, 48624.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
87,014006__2023,014006,2023,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HWY,GADSEN,AL,35904,"3001 SCENIC HWY, GADSEN, AL, 35904",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.0,accept,01055,"Etowah County, Alabama",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Etowah County, Alabama (01055) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 3001 SCENIC HWY, GADSDEN, AL, 35904.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
88,194118__2023,194118,2023,MERCY BEHAVIORAL HOSPITAL,2810 US HIGHWAY 71 S,LECOMPTE,LA,71346,"2810 US HIGHWAY 71 S, LECOMPTE, LA, 71346",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.0,accept,22079,"Rapides Parish, Louisiana",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Rapides Parish, Louisiana (22079) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 2810 US HWY 71, LECOMPTE, LA, 71346.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
90,414003__2023,414003,2023,EMMA P BRADLEY HOSPITAL,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,02915,"1011 VETERANS MEMORIAL PARKWAY, EAST PROVIDENCE, RI, 02915",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.0,hold,44007,"Providence County, Rhode Island",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: matched_address_lacks_city_support.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
92,464007__2024,464007,2024,BENCHMARK BEHAVIORAL HEALTH SYSTEM I,592 WEST 1350 SOUTH,WOOD CROSS,UT,84087,"592 WEST 1350 SOUTH, WOOD CROSS, UT, 84087",external_geocoder_required_no_local_candidate,high,cms_county_blank,0.0,hold,49011,"Davis County, Utah",0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
95,110215__2024,110215,2024,PIEDMONT FAYETTE HOSPITAL INC.,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,"1255 HIGHWAY 54 WEST, FAYETTEVILLE, GA, 30214",external_geocoder_required_no_local_candidate,medium,county_text_unmatched,1.0,accept,13113,"Fayette County, Georgia",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Fayette County, Georgia (13113) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 1255 STATE RTE 54, FAYETTEVILLE, GA, 30214.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
96,400109__2023,400109,2023,HOSPITAL HIMA SAN PABLO BAYAMON,SANTA CRUZ # 70,BAYAMON,PR,00959,"SANTA CRUZ # 70, BAYAMON, PR, 00959",external_geocoder_required_no_local_candidate,medium,cms_county_blank,1.0,hold,72021,Bayamón Muno,0.76,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; retry_confidence_below_0_86; matched_address_missing_provider_zip5.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
111,460060__2024,460060,2024,LONE PEAK HOSPITAL,11925 S STATE STREET,DRAPER,UT,84020,"11925 S STATE STREET, DRAPER, UT, 84020",external_geocoder_required_no_local_candidate,medium,county_text_unmatched,0.2795,accept,49035,"Salt Lake County, Utah",0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,"Accepted from strict official Census residual context spot-check: provider-original non-exact match supports Salt Lake County, Utah (49035) with matching leading street number, provider ZIP, city/state support, street or route support, no directional contradiction, no conflicting FIPS, score 0.88, confidence 0.86. Matched address: 11925 STATE ST, DRAPER, UT, 84020.",codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
113,400115__2023,400115,2023,HOSPITAL WILMA N VAZQUEZ,#2 KM 39.5,VEGA BAJA,PR,00693,"#2 KM 39.5, VEGA BAJA, PR, 00693",external_geocoder_required_no_local_candidate,medium,cms_county_blank,0.2338,hold,72143,Vega Alta Muno,0.86,official_census_geographies_residual_context_spotcheck,census_non_exact_street_number_zip_context,Held by strict residual Census context spot-check: retry_score_below_0_88; leading_street_number_not_supported; street_or_route_support_missing.,codex_residual_context_spotcheck_policy,2026-06-04T19:03:47.209650+00:00
