provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,geocoder_name,geocoder_display_name,attempt_label,attempt_query,candidate_issue
110023__2023,110023,2023,ADVENTHEALTH GORDON,GA,1035 RED BUD ROAD,CALHOUN,30703,external_geocoder_required_no_local_candidate,hold,13129,"Gordon County, Georgia",0.82,AdventHealth Gordon Hospital,"AdventHealth Gordon Hospital, 1035, Red Bud Road Northeast, Calhoun, Gordon County, Georgia, 30701, United States",address_no_zip,"1035 RED BUD ROAD, CALHOUN, GA",postcode_not_supported; confidence_below_0_90
230193__2023,230193,2023,MCLAREN LAPEER REGION,MI,1375 NORTH MAIN STREET,LAPEER,48436,external_geocoder_required_no_local_candidate,hold,26087,"Lapeer County, Michigan",0.82,McLaren Lapeer Region,"McLaren Lapeer Region, 1375, North Main Street, Lapeer, Lapeer County, Michigan, 48446, United States",address_only,"1375 NORTH MAIN STREET, LAPEER, MI, 48436",postcode_not_supported; confidence_below_0_90
460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,UT,1000 EAST 100 NORTH,PAYSON,84651,external_geocoder_required_no_local_candidate,hold,49049,"Utah County, Utah",0.78,Mountain View Hospital,"Mountain View Hospital, 1000 E, 100 North, Payson, Utah County, Utah, 84651, United States",provider_city_zip,"MOUNTAIN VIEW HOSPITAL, PAYSON, UT, 84651",house_number_not_supported; confidence_below_0_90
450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,TX,1501 BURNET DRIVE,BROWNWOOD,76804,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
440065__2024,440065,2024,NORTHCREST MEDICAL CENTER,TN,100 NORTHCREST DRIVE,SPRINGFIELD,37172,external_geocoder_required_no_local_candidate,accept,47147,"Robertson County, Tennessee",1.0,TriStar NorthCrest Medical Center,"TriStar NorthCrest Medical Center, 100, Northcrest Drive, Springfield, Robertson County, Middle Tennessee, Tennessee, 37172, United States",address_only,"100 NORTHCREST DRIVE, SPRINGFIELD, TN, 37172",
061317__2023,061317,2023,GRAND RIVER HOSPITAL DISTRICT,CO,501 AIRPORT ROAD,RIFLE,81650,external_geocoder_required_no_local_candidate,accept,08045,"Garfield County, Colorado",1.0,Grand River Medical Center,"Grand River Medical Center, 501, Airport Road, Rifle, Garfield County, Colorado, 81650, United States",address_only,"501 AIRPORT ROAD, RIFLE, CO, 81650",
100320__2024,100320,2024,HCA FLORIDA POINCIANA HOSPITAL,FL,325 CYPRESS PARKWAY,KISSIMMMEE,34758,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
190014__2023,190014,2023,OCHSNER ST. MARY,LA,1125 MARGUERITE STREET,MORGAN CITY,70308,external_geocoder_required_no_local_candidate,hold,22101,"St. Mary Parish, Louisiana",0.78,Teche Regional Medical Center,"Teche Regional Medical Center, 1125, Marguerite Street, Morgan City, St. Mary Parish, Louisiana, 70380, United States",address_only,"1125 MARGUERITE STREET, MORGAN CITY, LA, 70308",postcode_not_supported; confidence_below_0_90
110128__2024,110128,2024,MEADOWS REGIONAL MEDICAL CENTER,GA,1 MEADOWS PARKWAY,VIDALIA,30474,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
194114__2023,194114,2023,RIVER PLACE BEHAVIORAL HEALTH,LA,500 RUE DE SANTE,LAPLACE,70068,external_geocoder_required_no_local_candidate,hold,22095,"St. John the Baptist Parish, Louisiana",0.88,,"500, Rue de Santé, LaPlace, St. John the Baptist Parish, Louisiana, 70068, United States",address_only,"500 RUE DE SANTE, LAPLACE, LA, 70068",confidence_below_0_90
