provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,geocoder_name,geocoder_display_name,attempt_label,attempt_query,candidate_issue
400004__2024,400004,2024,ASOCIACION HOSPITAL DEL MAESTRO,PR,SERGIO CUEVAS BUSTAMTE,SANJUAN,00969,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
394040__2024,394040,2024,THE MEADOWS HOSPITAL,PA,1 EARLYSTOWN RD,CENTRE HALL,16828,external_geocoder_required_no_local_candidate,hold,42027,"Centre County, Pennsylvania",0.78,The Meadows Behavioral Health Treatment Facility,"The Meadows Behavioral Health Treatment Facility, 132, The Meadows Drive, Centre Hall, Centre County, Pennsylvania, 16828, United States",provider_city_zip,"THE MEADOWS HOSPITAL, CENTRE HALL, PA, 16828",house_number_not_supported; confidence_below_0_90
400138__2023,400138,2023,PUERTO RICO WOMEN AND CHILDRENS HOSP,PR,CARR. PR-2 KM 11.6 (INTERIOR),BAYAMON,00959,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
400115__2023,400115,2023,HOSPITAL WILMA N VAZQUEZ,PR,#2 KM 39.5,VEGA BAJA,00693,external_geocoder_required_no_local_candidate,hold,72145,Vega Baja Muno,0.78,Hospital Wilma N. Vázquez,"Hospital Wilma N. Vázquez, Carretera Militar, Ojo de Agua, Sector El Criollo, Algarrobo, Vega Baja, Puerto Rico, 00693, United States",provider_city_zip,"HOSPITAL WILMA N VAZQUEZ, VEGA BAJA, PR, 00693",house_number_not_supported; confidence_below_0_90
660001__2023,660001,2023,COMMONWEALTH HEALTH CENTER,MP,LOWER NAVY HILL RD,SAIPAN,96950,external_geocoder_required_no_local_candidate,hold,,,0.42,Commonwealth Health Center Heliport,"Commonwealth Health Center Heliport, Hospital Drive, Mutcho, Navy Hill, Puerto Rico, Saipan Municipality, Northern Mariana Islands, 96950, United States",provider_city_zip,"COMMONWEALTH HEALTH CENTER, SAIPAN, MP, 96950",geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; house_number_not_supported; confidence_below_0_90
400105__2024,400105,2024,BAYAMON REGIONAL HOSPITAL,PR,LAUREL #100,BAYAMON,00956,external_geocoder_required_no_local_candidate,hold,72021,Bayamón Muno,0.86,Hospital Universitario Dr. Ramón Ruiz Arnau,"Hospital Universitario Dr. Ramón Ruiz Arnau, 100, Avenida Laurel, Urbanización Santa Juanita, 5ta Sección, Minillas, Bayamón, Puerto Rico, 00956, United States",address_only,"LAUREL #100, BAYAMON, PR, 00956",city_not_supported; confidence_below_0_90
480002__2023,480002,2023,GOV. JUAN F. LUIS HOSPITAL,VI,4007 EAST DIAMOND RUBY,CHRISTIANSTED,00820,external_geocoder_required_no_local_candidate,hold,,,0.68,Governor Juan F. Luis Hospital and Medical Center,"Governor Juan F. Luis Hospital and Medical Center, 4007, Lantana Drive, Diamond, Christiansted, Saint Croix District, United States Virgin Islands, 00820, United States",provider_city_zip,"GOV. JUAN F. LUIS HOSPITAL, CHRISTIANSTED, VI, 00820",geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; confidence_below_0_90
224039__2023,224039,2023,HAVERHILL PAVILION,MA,76 SUMMER STREED,HAVERHILL,01832,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
403027__2023,403027,2023,MULTY MEDICAL FACILITIES,PR,MUNOZ RIVERA AVENUE #402,SAN JUAN PR 00918,00918,external_geocoder_required_no_local_candidate,hold,72127,San Juan Muno,0.78,,"402, Avenida Luis Muñoz Rivera, El Vedado, Hato Rey Norte, Río Piedras, San Juan, Puerto Rico, 00918, United States",address_no_zip,"MUNOZ RIVERA AVENUE #402, SAN JUAN PR 00918, PR",city_not_supported; confidence_below_0_90
400137__2023,400137,2023,DOCTORS CENTER HOSPITAL OH-DORADO,PR,RD 696 INTERSEC EFRON AVE BO HIGUI,DORADO,00646,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
400122__2024,400122,2024,PROFESSIONAL HOSPITAL,PR,AVE LAS CUMBRES,GUAYNABO,00970,external_geocoder_required_no_local_candidate,hold,72061,Guaynabo Muno,0.6,Professional Hospital,"Professional Hospital, Avenida Gobernador Carlos Romero Barceló, Monte Verde, Sector Meliá León, Frailes, Guaynabo, Puerto Rico, 00969, United States",provider_city_zip,"PROFESSIONAL HOSPITAL, GUAYNABO, PR, 00970",house_number_not_supported; postcode_not_supported; confidence_below_0_90
400012__2024,400012,2024,HOSPITAL I GONZALEZ MARTINEZ,PR,CENTRO MEDICO,PO BOX 191811 SAN JUAN,00919,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
241347__2023,241347,2023,SANFORD HOSPITAL CANBY,MN,112 SAINT OLAF AVENUE,CANBY,56220,external_geocoder_required_no_local_candidate,accept,27173,"Yellow Medicine County, Minnesota",1.0,Sanford Canby Medical Center,"Sanford Canby Medical Center, 112, Saint Olaf Avenue South, Canby, Yellow Medicine County, Minnesota, 56220, United States",address_only,"112 SAINT OLAF AVENUE, CANBY, MN, 56220",
371307__2023,371307,2023,CIMARRON MEMORIAL HOSPITAL,OK,100 SOUTH ELLIS,BOISE CITY,73933,external_geocoder_required_no_local_candidate,accept,40025,"Cimarron County, Oklahoma",1.0,Cimarron Memorial Hospital and Nursing Home,"Cimarron Memorial Hospital and Nursing Home, 100, South Ellis Avenue, Boise City, Cimarron County, Oklahoma, 73933, United States",address_only,"100 SOUTH ELLIS, BOISE CITY, OK, 73933",
400010__2023,400010,2023,CASTANER HOSPITAL,PR,PO BOX 1003,CASTANER,00631,external_geocoder_required_no_local_candidate,hold,72081,Lares Muno,0.64,Hospital General Castañer,"Hospital General Castañer, Ruta Panorámica Luis Muñoz Marín, Castañer, Bartolo, Lares, Puerto Rico, 00631, United States",provider_city_zip,"CASTANER HOSPITAL, CASTANER, PR, 00631",house_number_not_supported; city_not_supported; confidence_below_0_90
