packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_row_id,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,census_candidate_confidence,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,production_model_rank_or_dashboard_change
31,450079,BAYLOR S&W MEDICAL CENTER - IRVING,TX,1901 NORTH MACARTHUR BLVD,IRVING,75061,,2024,cms_county_blank,high,48113,"Dallas County, Texas",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,269.0,12679.0,246654703.0,270930503.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.6482,450079__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
32,284003,LINCOLN REGIONAL CENTER,NE,FOLSOM & PROSPECTOR,LINCOLN,68509,,2024,cms_county_blank,high,31109,"Lancaster County, Nebraska",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,266.0,28.0,24666453.0,12927774.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.641,284003__2024,31109,"Lancaster County, Nebraska",Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
33,210024,MEDSTAR UNION MEMORIAL HOSPITAL,MD,201 EAST UNIVERSITY PARKWAY,BALTIMORE,21218,,2024,cms_county_blank,high,24005,"Baltimore County, Maryland",12,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,189.0,8756.0,317192934.0,422965084.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.6097,210024__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
34,170049,OLATHE MEDICAL CENTER,KS,20333 WEST 151 STREET,OLATHE,66061,,2023,cms_county_blank,high,20091,"Johnson County, Kansas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,248.0,10247.0,316222568.0,320595479.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5976,170049__2023,20091,"Johnson County, Kansas",Match,Exact,"20333 W 151ST ST, OLATHE, KS, 66061",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
35,130018,EASTERN IDAHO REGIONAL MEDICAL CENTE,ID,3100 CHANNING WAY,IDAHO FALLS,83403,,2023,cms_county_blank,high,16019,"Bonneville County, Idaho",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,246.0,9388.0,240233944.0,389757677.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5928,130018__2023,16019,"Bonneville County, Idaho",Match,Non_Exact,"3100 CHANNING WAY, IDAHO FALLS, ID, 83404",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
36,670082,BAYLOR S&W MEDICAL CENTER - MCKINNEY,TX,5252 W UNIVERSITY DR,MCKINNEY,75021,,2024,cms_county_blank,high,48085,"Collin County, Texas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,192.0,11627.0,239520801.0,327341007.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.564,670082__2024,48085,"Collin County, Texas",Match,Non_Exact,"5252 W UNIVERSITY DR, MCKINNEY, TX, 75071",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
37,072004,HOSPITAL FOR SPECIAL CARE,CT,2150 CORBIN AVENUE,NEW BRITAIN,06053,,2024,cms_county_blank,high,09003,"Hartford County, Connecticut",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,231.0,805.0,118903149.0,129782103.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5566,072004__2024,09003,"Hartford County, Connecticut",Match,Exact,"2150 CORBIN AVE, NEW BRITAIN, CT, 06053",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
38,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,,2024,cms_county_blank,high,40031,"Comanche County, Oklahoma",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,183.0,10649.0,224314285.0,339847745.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5166,370056__2024,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,False
39,100126,HCA FLORIDA PASADENA HOSPITAL,FL,1501 PASADENA AVE S,ST PETERSBURG,33707,,2023,cms_county_blank,high,12103,"Pinellas County, Florida",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,167.0,3681.0,77143646.0,88901851.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.4024,100126__2023,12103,"Pinellas County, Florida",Match,Exact,"1501 PASADENA AVE S, ST PETERSBURG, FL, 33707",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
40,310016,CHRIST HOSPITAL,NJ,176 PALISADES AVENUE,JERSEY CITY,07306,,2023,cms_county_blank,high,34017,"Hudson County, New Jersey",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,163.0,5294.0,145066899.0,124605950.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3928,310016__2023,34017,"Hudson County, New Jersey",Match,Non_Exact,"176 PALISADE AVE, JERSEY CITY, NJ, 07306",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
